"Status","Year","Region_london","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","London","AA","Heterosexual / straight","1100","1015","22160","22210"
"In post","2021","London","AA","LGBO","50","50","22440","22430"
"In post","2021","London","AA","Undeclared","150","135","21740","22210"
"In post","2021","London","AA","Unknown","470","440","22410","22210"
"In post","2021","London","AO","Heterosexual / straight","6855","6405","26030","25110"
"In post","2021","London","AO","LGBO","350","340","26780","25110"
"In post","2021","London","AO","Undeclared","980","900","25570","25110"
"In post","2021","London","AO","Unknown","2745","2530","26330","25110"
"In post","2021","London","EO","Heterosexual / straight","14245","13525","29980","30100"
"In post","2021","London","EO","LGBO","895","870","29740","29720"
"In post","2021","London","EO","Undeclared","2010","1875","30000","30270"
"In post","2021","London","EO","Unknown","4150","3925","30070","30330"
"In post","2021","London","G6","Heterosexual / straight","5295","5090","69400","68700"
"In post","2021","London","G6","LGBO","435","430","68150","66740"
"In post","2021","London","G6","Undeclared","735","700","70170","68720"
"In post","2021","London","G6","Unknown","1720","1645","69950","67750"
"In post","2021","London","G7","Heterosexual / straight","12790","12370","56790","56100"
"In post","2021","London","G7","LGBO","1215","1195","56200","54700"
"In post","2021","London","G7","Undeclared","1695","1650","57350","57290"
"In post","2021","London","G7","Unknown","3750","3635","56450","54770"
"In post","2021","London","HEO","Heterosexual / straight","12450","12170","35530","35200"
"In post","2021","London","HEO","LGBO","1095","1080","34830","34550"
"In post","2021","London","HEO","Undeclared","1710","1665","35720","35330"
"In post","2021","London","HEO","Unknown","4880","4790","34170","34020"
"In post","2021","London","SCS level","Heterosexual / straight","3120","3000","90370","81790"
"In post","2021","London","SCS level","LGBO","250","245","87880","78670"
"In post","2021","London","SCS level","Undeclared","310","300","88710","81200"
"In post","2021","London","SCS level","Unknown","1015","980","94100","84040"
"In post","2021","London","SEO","Heterosexual / straight","9165","8920","43000","42030"
"In post","2021","London","SEO","LGBO","730","720","42320","41760"
"In post","2021","London","SEO","Undeclared","1300","1260","43320","42470"
"In post","2021","London","SEO","Unknown","2605","2545","42400","41760"
"In post","2021","London","Unknown","Heterosexual / straight","1285","1245","33870","33950"
"In post","2021","London","Unknown","LGBO","80","80","33580","33020"
"In post","2021","London","Unknown","Undeclared","130","125","36740","35310"
"In post","2021","London","Unknown","Unknown","150","145","31160","26810"
"In post","2021","Outside London","AA","Heterosexual / straight","10785","9835","19630","19560"
"In post","2021","Outside London","AA","LGBO","580","555","19930","20070"
"In post","2021","Outside London","AA","Undeclared","1825","1560","19350","19560"
"In post","2021","Outside London","AA","Unknown","4125","3665","20200","20310"
"In post","2021","Outside London","AO","Heterosexual / straight","67215","60465","22560","21130"
"In post","2021","Outside London","AO","LGBO","3910","3735","22820","21050"
"In post","2021","Outside London","AO","Undeclared","9695","8565","22720","21430"
"In post","2021","Outside London","AO","Unknown","29520","26135","22390","21010"
"In post","2021","Outside London","EO","Heterosexual / straight","70430","65130","27230","27570"
"In post","2021","Outside London","EO","LGBO","4040","3905","27170","27570"
"In post","2021","Outside London","EO","Undeclared","9825","8940","27540","27570"
"In post","2021","Outside London","EO","Unknown","22425","20450","27450","27570"
"In post","2021","Outside London","G6","Heterosexual / straight","5425","5245","67810","65650"
"In post","2021","Outside London","G6","LGBO","255","250","67890","65030"
"In post","2021","Outside London","G6","Undeclared","655","625","68750","66530"
"In post","2021","Outside London","G6","Unknown","1505","1440","67970","65540"
"In post","2021","Outside London","G7","Heterosexual / straight","17510","16820","54190","52580"
"In post","2021","Outside London","G7","LGBO","790","770","53890","52580"
"In post","2021","Outside London","G7","Undeclared","2110","2030","54620","53030"
"In post","2021","Outside London","G7","Unknown","5005","4765","53460","52580"
"In post","2021","Outside London","HEO","Heterosexual / straight","37875","36010","32820","32000"
"In post","2021","Outside London","HEO","LGBO","2080","2030","32230","31810"
"In post","2021","Outside London","HEO","Undeclared","5155","4875","33340","33020"
"In post","2021","Outside London","HEO","Unknown","10255","9765","32770","31950"
"In post","2021","Outside London","SCS level","Heterosexual / straight","1565","1520","90510","83230"
"In post","2021","Outside London","SCS level","LGBO","70","70","86210","80600"
"In post","2021","Outside London","SCS level","Undeclared","145","135","92070","84710"
"In post","2021","Outside London","SCS level","Unknown","500","490","89480","82500"
"In post","2021","Outside London","SEO","Heterosexual / straight","26280","25175","41250","40000"
"In post","2021","Outside London","SEO","LGBO","1190","1165","40420","38650"
"In post","2021","Outside London","SEO","Undeclared","3695","3510","41930","40580"
"In post","2021","Outside London","SEO","Unknown","6265","5965","40630","39380"
"In post","2021","Outside London","Unknown","Heterosexual / straight","10090","9380","31570","30210"
"In post","2021","Outside London","Unknown","LGBO","565","540","29120","27540"
"In post","2021","Outside London","Unknown","Undeclared","1050","980","34490","33360"
"In post","2021","Outside London","Unknown","Unknown","1050","945","28700","24800"
"In post","2021","Overseas","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","AO","Heterosexual / straight","45","45","22410","23000"
"In post","2021","Overseas","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","AO","Unknown","5","5","[c]","[c]"
"In post","2021","Overseas","EO","Heterosexual / straight","200","195","27860","26990"
"In post","2021","Overseas","EO","LGBO","10","10","[c]","[c]"
"In post","2021","Overseas","EO","Undeclared","45","45","28070","27370"
"In post","2021","Overseas","EO","Unknown","25","25","[c]","[c]"
"In post","2021","Overseas","G6","Heterosexual / straight","305","305","66640","65400"
"In post","2021","Overseas","G6","LGBO","25","25","[c]","[c]"
"In post","2021","Overseas","G6","Undeclared","45","45","66290","64580"
"In post","2021","Overseas","G6","Unknown","85","85","66650","65230"
"In post","2021","Overseas","G7","Heterosexual / straight","550","545","56600","55620"
"In post","2021","Overseas","G7","LGBO","55","55","54800","54470"
"In post","2021","Overseas","G7","Undeclared","70","70","57910","55370"
"In post","2021","Overseas","G7","Unknown","205","205","56100","55060"
"In post","2021","Overseas","HEO","Heterosexual / straight","655","655","35070","34220"
"In post","2021","Overseas","HEO","LGBO","45","45","34940","34220"
"In post","2021","Overseas","HEO","Undeclared","100","100","34950","34220"
"In post","2021","Overseas","HEO","Unknown","270","270","41230","41600"
"In post","2021","Overseas","SCS level","Heterosexual / straight","210","210","86090","77600"
"In post","2021","Overseas","SCS level","LGBO","15","15","[c]","[c]"
"In post","2021","Overseas","SCS level","Undeclared","25","25","[c]","[c]"
"In post","2021","Overseas","SCS level","Unknown","35","35","86560","77460"
