"Status","Year","Function_of_post","Profession_of_post","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Commercial","East of England","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","South East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","South West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","West Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","West Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","South East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","East Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","London","Heterosexual / straight","55","50","46860","44170"
