"Status","Year","Parent_department","Profession_of_post","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Commercial","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","SEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","G6","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","HEO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","SEO","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","SEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","EO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","EO","Unknown","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","G6","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","G6","Unknown","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","G7","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","G7","Unknown","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","HEO","Heterosexual / straight","45","45","33790","33100"
"In post","2021","Attorney General's Departments","Counter Fraud","HEO","LGBO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","HEO","Undeclared","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","HEO","Unknown","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","SEO","Heterosexual / straight","55","55","41070","40390"
"In post","2021","Attorney General's Departments","Counter Fraud","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","SEO","Unknown","20","20","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
