"Status","Year","Age","Profession_of_post","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Commercial","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Westminster","5","5","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Plymouth","5","5","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","Westminster","25","25","26130","26250"
"In post","2021","16-19","Finance","Bath and North East Somerset, North Somerset and South Gloucestershire","20","20","19170","19040"
"In post","2021","16-19","Finance","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","North Lanarkshire","10","5","[c]","[c]"
"In post","2021","16-19","Finance","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Sheffield","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Lambeth","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","16-19","International Trade","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Knowledge and Information Management","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Knowledge and Information Management","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Barnet","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Barnsley, Doncaster and Rotherham","5","5","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Belfast","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Birmingham","10","10","19770","19930"
"In post","2021","16-19","Operational Delivery","Blackburn with Darwen","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Brent","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Bristol, City of","5","5","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Cardiff and Vale of Glamorgan","15","15","20040","20140"
"In post","2021","16-19","Operational Delivery","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","City of Edinburgh","15","15","22100","21490"
"In post","2021","16-19","Operational Delivery","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Durham CC","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","East Kent","25","25","21230","21430"
"In post","2021","16-19","Operational Delivery","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","East Surrey","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Falkirk","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Gwynedd","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Hertfordshire","5","5","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Hounslow and Richmond upon Thames","5","5","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Inverclyde, East Renfrewshire and Renfrewshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Kent Thames Gateway","5","5","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Lambeth","5","5","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Leeds","10","10","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Liverpool","15","10","20950","21430"
"In post","2021","16-19","Operational Delivery","Manchester","10","10","20180","20740"
"In post","2021","16-19","Operational Delivery","Medway","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Mid Lancashire","5","5","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Milton Keynes","5","5","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Monmouthshire and Newport","10","10","21040","21430"
"In post","2021","16-19","Operational Delivery","North and North East Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","North Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Nottingham","10","10","21140","20880"
"In post","2021","16-19","Operational Delivery","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Perth and Kinross and Stirling","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Peterborough","5","5","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Scottish Borders","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Sefton","5","5","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Sheffield","5","5","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Solihull","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","South Hampshire","5","5","[c]","[c]"
"In post","2021","16-19","Operational Delivery","South Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","South West Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Southampton","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Staffordshire CC","10","10","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Stoke-on-Trent","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Suffolk","5","5","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Sunderland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Swansea","40","30","19450","18060"
"In post","2021","16-19","Operational Delivery","Thurrock","5","5","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Wakefield","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","West Sussex (South West)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Westminster","10","10","23560","23520"
"In post","2021","16-19","Operational Delivery","Wiltshire","5","5","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Wirral","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Wolverhampton","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Worcestershire","5","5","[c]","[c]"
"In post","2021","16-19","Operational Delivery","York","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Research","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Bath and North East Somerset, North Somerset and South Gloucestershire","20","20","17930","17780"
"In post","2021","16-19","Other","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Nottingham","[c]","[c]","[c]","[c]"
