"Status","Year","Ethnicity","Function_of_post","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Analysis","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Attorney General's Departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Cabinet Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Chancellor's other departments","London","20","20","[c]","[c]"
"In post","2021","Asian","Analysis","Chancellor's other departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Charity Commission","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Competition and Markets Authority","London","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Department for Business, Energy and Industrial Strategy","London","25","25","[c]","[c]"
"In post","2021","Asian","Analysis","Department for Business, Energy and Industrial Strategy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Department for Digital, Culture, Media and Sport","London","15","15","[c]","[c]"
"In post","2021","Asian","Analysis","Department for Education","London","20","20","[c]","[c]"
"In post","2021","Asian","Analysis","Department for Education","Outside London","10","10","[c]","[c]"
"In post","2021","Asian","Analysis","Department for Environment, Food and Rural Affairs","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Department for Environment, Food and Rural Affairs","Outside London","10","10","[c]","[c]"
"In post","2021","Asian","Analysis","Department for International Trade","London","15","15","[c]","[c]"
"In post","2021","Asian","Analysis","Department for International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Department for Transport","London","25","25","[c]","[c]"
"In post","2021","Asian","Analysis","Department for Transport","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Department for Work and Pensions","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Department for Work and Pensions","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Department of Health and Social Care","London","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Department of Health and Social Care","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","ESTYN","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Food Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Foreign, Commonwealth and Development Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Foreign, Commonwealth and Development Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Foreign, Commonwealth and Development Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","HM Land Registry","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","HM Land Registry","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","HM Revenue and Customs","London","45","45","42990","41760"
"In post","2021","Asian","Analysis","HM Revenue and Customs","Outside London","25","25","[c]","[c]"
"In post","2021","Asian","Analysis","HM Treasury","London","20","20","[c]","[c]"
"In post","2021","Asian","Analysis","HM Treasury","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Ministry of Defence","London","10","10","[c]","[c]"
"In post","2021","Asian","Analysis","Ministry of Defence","Outside London","10","10","[c]","[c]"
"In post","2021","Asian","Analysis","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Ministry of Housing, Communities and Local Government","London","20","20","[c]","[c]"
"In post","2021","Asian","Analysis","Ministry of Housing, Communities and Local Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Ministry of Justice","London","35","30","45530","40480"
"In post","2021","Asian","Analysis","Ministry of Justice","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Office for Standards in Education","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Office for Standards in Education","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Office of Gas and Electricity Markets","London","10","10","[c]","[c]"
"In post","2021","Asian","Analysis","Office of Gas and Electricity Markets","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Office of Rail and Road","London","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Office of Rail and Road","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","UK Export Finance","London","10","10","[c]","[c]"
"In post","2021","Asian","Analysis","United Kingdom Statistics Authority","London","15","15","[c]","[c]"
"In post","2021","Asian","Analysis","United Kingdom Statistics Authority","Outside London","30","30","[c]","[c]"
"In post","2021","Asian","Analysis","Wales Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Water Services Regulation Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Water Services Regulation Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Welsh Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Attorney General's Departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Cabinet Office","London","20","20","[c]","[c]"
"In post","2021","Asian","Commercial","Cabinet Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Chancellor's other departments","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Chancellor's other departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Competition and Markets Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department for Business, Energy and Industrial Strategy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department for Digital, Culture, Media and Sport","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department for Digital, Culture, Media and Sport","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department for Education","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department for Education","Outside London","15","15","[c]","[c]"
"In post","2021","Asian","Commercial","Department for Environment, Food and Rural Affairs","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department for Environment, Food and Rural Affairs","Outside London","10","10","[c]","[c]"
"In post","2021","Asian","Commercial","Department for International Trade","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department for Transport","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department for Transport","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department for Work and Pensions","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department of Health and Social Care","London","5","5","[c]","[c]"
"In post","2021","Asian","Commercial","Department of Health and Social Care","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","ESTYN","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Food Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Foreign, Commonwealth and Development Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Foreign, Commonwealth and Development Office","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Commercial","Foreign, Commonwealth and Development Office","Overseas","[c]","[c]","[c]","[c]"
