"Status","Year","Function_of_post","Organisation","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Inner London - West","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Inner London - West","London","25","25","41860","35070"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Cornwall and Isles of Scilly","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Dorset and Somerset","Outside London","115","110","33040","29270"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East Anglia","Outside London","350","330","34300","30220"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","North Yorkshire","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Dorset and Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Inner London - West","London","5","5","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Merseyside","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Eastern Scotland","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Inner London - East","London","130","125","60780","56360"
"In post","2021","Analysis","Crown Prosecution Service","East Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Inner London - West","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","North Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Northumberland and Tyne and Wear","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","West Yorkshire","Outside London","10","10","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Inner London - West","London","25","25","69150","60930"
"In post","2021","Analysis","Defence Electronics and Components Agency","Shropshire and Staffordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","East Anglia","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","110","110","37730","37320"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Hampshire and Isle of Wight","Outside London","340","325","41040","38060"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Inner London - West","London","290","285","43330","36220"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Inner London - West","London","140","140","52490","49720"
"In post","2021","Analysis","Department for Education (excl. agencies)","Derbyshire and Nottinghamshire","Outside London","10","10","42290","42500"
"In post","2021","Analysis","Department for Education (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","20","15","41410","41990"
"In post","2021","Analysis","Department for Education (excl. agencies)","Greater Manchester","Outside London","40","40","37840","41990"
"In post","2021","Analysis","Department for Education (excl. agencies)","Inner London - West","London","175","165","46830","45540"
"In post","2021","Analysis","Department for Education (excl. agencies)","South Yorkshire","Outside London","120","115","44020","42420"
"In post","2021","Analysis","Department for Education (excl. agencies)","Tees Valley and Durham","Outside London","30","30","43530","42580"
"In post","2021","Analysis","Department for Education (excl. agencies)","West Midlands","Outside London","10","10","41650","40130"
"In post","2021","Analysis","Department for Education (excl. agencies)","West Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Inner London - West","London","20","20","45530","40060"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","North Yorkshire","Outside London","45","45","35100","31310"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Northumberland and Tyne and Wear","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Berkshire, Buckinghamshire and Oxfordshire","Outside London","15","15","49050","51970"
"In post","2021","Analysis","Department for International Trade","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Inner London - West","London","230","230","42740","38540"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Inner London - West","London","380","370","46950","43360"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Surrey, East and West Sussex","Outside London","10","10","45120","45620"
"In post","2021","Analysis","Department for Transport (excl. agencies)","West Midlands","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","West Wales and The Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","West Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Berkshire, Buckinghamshire and Oxfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Inner London - West","London","200","190","53940","53360"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","West Yorkshire","Outside London","85","85","47560","49530"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","West Wales and The Valleys","Outside London","25","25","27000","26780"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Derbyshire and Nottinghamshire","Outside London","15","15","32380","32830"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","East Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","15","15","33680","31380"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Greater Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Hampshire and Isle of Wight","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Herefordshire, Worcestershire and Warwickshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Leicestershire, Rutland and Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Northumberland and Tyne and Wear","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Outer London - South","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Shropshire and Staffordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","West Midlands","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","West Wales and The Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","West Yorkshire","Outside London","10","10","[c]","[c]"
"In post","2021","Analysis","Education and Skills Funding Agency","Inner London - West","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","East Wales","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","East Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Inner London - West","London","30","25","43150","40650"
"In post","2021","Analysis","Food Standards Agency","North Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Inner London - West","London","65","65","57940","58370"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Forestry and Land Scotland","Highlands and Islands","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","Eastern Scotland","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","Inner London - West","London","165","155","69370","65470"
"In post","2021","Analysis","Government Internal Audit Agency","Inner London - West","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Internal Audit Agency","West Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Legal Department","Inner London - West","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Derbyshire and Nottinghamshire","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Inner London - East","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Merseyside","Outside London","25","25","41550","39390"
"In post","2021","Analysis","Health and Safety Executive","North Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Northumberland and Tyne and Wear","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","South Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","West Midlands","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","Inner London - East","London","5","5","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","Inner London - West","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","West Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Derbyshire and Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","East Anglia","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Leicestershire, Rutland and Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Outer London - South","London","5","5","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Shropshire and Staffordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","West Midlands","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Prison and Probation Service","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","East Anglia","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Essex","Outside London","25","25","43620","38630"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Greater Manchester","Outside London","165","160","38420","32540"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Inner London - East","London","125","120","47660","41760"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Inner London - West","London","200","195","47580","41760"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Merseyside","Outside London","80","75","40000","38630"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Northumberland and Tyne and Wear","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Outer London - South","London","30","30","47610","41760"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Shropshire and Staffordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Surrey, East and West Sussex","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","West Central Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","West Midlands","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","West Yorkshire","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","HM Treasury (excl. agencies)","East Anglia","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury (excl. agencies)","Inner London - West","London","125","120","50770","52680"
"In post","2021","Analysis","Insolvency Service","Derbyshire and Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","Greater Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","Inner London - East","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","West Midlands","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Maritime and Coastguard Agency","Hampshire and Isle of Wight","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Berkshire, Buckinghamshire and Oxfordshire","Outside London","10","10","35340","33300"
