"Status","Year","Age","Disability","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Declared disabled","London","10","10","[c]","[c]"
"In post","2021","16-19","Declared disabled","Outside London","45","45","21350","21010"
"In post","2021","16-19","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","London","95","90","25500","25170"
"In post","2021","16-19","Declared non-disabled","Outside London","595","580","21030","21010"
"In post","2021","16-19","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","London","10","10","[c]","[c]"
"In post","2021","16-19","Undeclared","Outside London","20","20","[c]","[c]"
"In post","2021","16-19","Unknown","London","40","40","24560","24490"
"In post","2021","16-19","Unknown","Outside London","475","455","20460","20140"
"In post","2021","16-19","Unknown","Unknown","40","40","18910","15940"
"In post","2021","20-29","Declared disabled","London","1450","1430","35230","32790"
"In post","2021","20-29","Declared disabled","Outside London","3440","3370","26220","25560"
"In post","2021","20-29","Declared disabled","Overseas","15","15","[c]","[c]"
"In post","2021","20-29","Declared disabled","Unknown","25","25","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","London","13390","13310","36320","33570"
"In post","2021","20-29","Declared non-disabled","Outside London","32745","32140","26270","25560"
"In post","2021","20-29","Declared non-disabled","Overseas","215","215","36200","33860"
"In post","2021","20-29","Declared non-disabled","Unknown","150","150","29900","27570"
"In post","2021","20-29","Undeclared","London","1090","1080","36470","34020"
"In post","2021","20-29","Undeclared","Outside London","1660","1625","26610","26410"
"In post","2021","20-29","Undeclared","Overseas","5","5","[c]","[c]"
"In post","2021","20-29","Undeclared","Unknown","15","15","[c]","[c]"
"In post","2021","20-29","Unknown","London","7070","7045","34920","32540"
"In post","2021","20-29","Unknown","Outside London","15370","15090","25560","24500"
"In post","2021","20-29","Unknown","Overseas","70","70","39780","38600"
"In post","2021","20-29","Unknown","Unknown","705","705","29820","29250"
"In post","2021","30-39","Declared disabled","London","1755","1695","43740","40050"
"In post","2021","30-39","Declared disabled","Outside London","6280","5905","29350","27570"
"In post","2021","30-39","Declared disabled","Overseas","70","70","49000","52550"
"In post","2021","30-39","Declared disabled","Unknown","35","35","32060","27570"
"In post","2021","30-39","Declared non-disabled","London","16370","15825","45750","41970"
"In post","2021","30-39","Declared non-disabled","Outside London","51965","48705","30680","27570"
"In post","2021","30-39","Declared non-disabled","Overseas","700","695","45990","49370"
"In post","2021","30-39","Declared non-disabled","Unknown","210","200","34050","27570"
"In post","2021","30-39","Undeclared","London","1350","1310","45250","41970"
"In post","2021","30-39","Undeclared","Outside London","4050","3830","30710","27570"
"In post","2021","30-39","Undeclared","Overseas","40","40","42990","40580"
"In post","2021","30-39","Undeclared","Unknown","5","5","[c]","[c]"
"In post","2021","30-39","Unknown","London","4845","4745","46400","42710"
"In post","2021","30-39","Unknown","Outside London","14955","14235","30680","27570"
"In post","2021","30-39","Unknown","Overseas","255","250","50100","52430"
"In post","2021","30-39","Unknown","Unknown","525","525","38010","33570"
"In post","2021","40-49","Declared disabled","London","2035","1930","43560","37560"
"In post","2021","40-49","Declared disabled","Outside London","9670","8890","30480","27570"
