"Status","Year","Age","Organisation","Region_ITL1","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Accountant in Bankruptcy","Scotland","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","East Midlands (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","North West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","South East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","London","EO","5","5","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","South East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Yorkshire and The Humber","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Companies House","Wales","AO","5","5","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","West Midlands (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","Scotland","AO","10","5","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","East Midlands (England)","AO","5","5","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","East of England","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","North West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","South East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","South West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Wales","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","West Midlands (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Yorkshire and The Humber","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service Inspectorate","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","Wales","AA","15","15","15960","15820"
"In post","2021","16-19","Defence Electronics and Components Agency","Wales","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","West Midlands (England)","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","Scotland","EO","10","10","17080","16780"
"In post","2021","16-19","Defence Equipment and Support","South East (England)","EO","[c]","[c]","[c]","[c]"
