"Status","Year","Function_of_post","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","SEO/HEO","10","10","37390","38940"
"In post","2021","Analysis","Cabinet Office","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","G6/G7","10","10","57550","54700"
"In post","2021","Analysis","Cabinet Office","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","AA/AO","10","10","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","EO","10","10","28660","28230"
"In post","2021","Analysis","Chancellor's other departments","G6/G7","105","95","87640","82910"
"In post","2021","Analysis","Chancellor's other departments","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","SEO/HEO","55","55","41480","41210"
"In post","2021","Analysis","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","SEO/HEO","10","10","34440","32810"
"In post","2021","Analysis","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","G6/G7","80","75","65500","61590"
"In post","2021","Analysis","Competition and Markets Authority","SCS level","10","10","109610","101590"
"In post","2021","Analysis","Competition and Markets Authority","SEO/HEO","40","40","37930","34870"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","AA/AO","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","EO","35","35","28680","27680"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","G6/G7","85","85","61870","57990"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","SCS level","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","SEO/HEO","190","190","37380","35640"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","G6/G7","65","65","63180","60130"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","SEO/HEO","65","65","42770","42020"
"In post","2021","Analysis","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","EO","30","30","28730","29500"
"In post","2021","Analysis","Department for Education","G6/G7","135","125","55500","53890"
"In post","2021","Analysis","Department for Education","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","SEO/HEO","240","225","40060","41990"
"In post","2021","Analysis","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","AA/AO","50","45","20790","21050"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","EO","120","110","25210","24920"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","G6/G7","110","105","52320","48080"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","SEO/HEO","310","295","32890","30660"
"In post","2021","Analysis","Department for International Trade","AA/AO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","EO","20","20","27210","26510"
"In post","2021","Analysis","Department for International Trade","G6/G7","105","105","54090","51970"
"In post","2021","Analysis","Department for International Trade","SCS level","10","10","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","SEO/HEO","105","105","33040","31800"
"In post","2021","Analysis","Department for Transport","AA/AO","20","20","21810","21590"
"In post","2021","Analysis","Department for Transport","EO","65","65","28170","26780"
"In post","2021","Analysis","Department for Transport","G6/G7","175","165","57970","54760"
"In post","2021","Analysis","Department for Transport","SCS level","15","15","81090","77960"
"In post","2021","Analysis","Department for Transport","SEO/HEO","215","210","36460","35060"
"In post","2021","Analysis","Department for Work and Pensions","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","G6/G7","15","15","60430","59150"
"In post","2021","Analysis","Department for Work and Pensions","SEO/HEO","15","15","37730","37650"
"In post","2021","Analysis","Department of Health and Social Care","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","EO","15","15","27030","27270"
"In post","2021","Analysis","Department of Health and Social Care","G6/G7","215","210","57280","53360"
"In post","2021","Analysis","Department of Health and Social Care","SCS level","5","5","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","SEO/HEO","50","50","34900","32790"
"In post","2021","Analysis","ESTYN","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","G6/G7","10","10","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","SEO/HEO","25","20","36720","36080"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","AA/AO","5","5","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","G6/G7","35","35","66730","65590"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","SEO/HEO","25","25","49220","48870"
"In post","2021","Analysis","HM Land Registry","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","G6/G7","5","5","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","AA/AO","10","10","23540","24120"
"In post","2021","Analysis","HM Revenue and Customs","EO","40","35","28240","29570"
"In post","2021","Analysis","HM Revenue and Customs","G6/G7","245","230","57370","59160"
"In post","2021","Analysis","HM Revenue and Customs","SCS level","15","15","81260","79170"
"In post","2021","Analysis","HM Revenue and Customs","SEO/HEO","380","370","36520","36160"
"In post","2021","Analysis","HM Treasury","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury","EO","10","10","[c]","[c]"
"In post","2021","Analysis","HM Treasury","G6/G7","80","80","61450","57530"
"In post","2021","Analysis","HM Treasury","SCS level","15","15","92860","76270"
"In post","2021","Analysis","HM Treasury","SEO/HEO","50","50","35510","33710"
"In post","2021","Analysis","Ministry of Defence","AA/AO","10","10","21210","20920"
"In post","2021","Analysis","Ministry of Defence","EO","50","50","28140","27850"
"In post","2021","Analysis","Ministry of Defence","G6/G7","225","215","50630","46130"
"In post","2021","Analysis","Ministry of Defence","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","SEO/HEO","365","350","35760","37320"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","EO","20","20","29320","27850"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","G6/G7","95","90","58170","54760"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","SCS level","5","5","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","SEO/HEO","85","80","35740","34000"
"In post","2021","Analysis","Ministry of Justice","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","EO","50","50","26110","26410"
"In post","2021","Analysis","Ministry of Justice","G6/G7","140","130","60320","58130"
"In post","2021","Analysis","Ministry of Justice","SCS level","10","10","84050","83690"
"In post","2021","Analysis","Ministry of Justice","SEO/HEO","210","205","38030","39870"
"In post","2021","Analysis","Office for Standards in Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education","EO","20","20","26090","25880"
"In post","2021","Analysis","Office for Standards in Education","G6/G7","25","25","64280","62810"
"In post","2021","Analysis","Office for Standards in Education","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education","SEO/HEO","105","100","35860","35010"
"In post","2021","Analysis","Office of Gas and Electricity Markets","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","EO","10","10","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","G6/G7","40","40","60550","58150"
"In post","2021","Analysis","Office of Gas and Electricity Markets","SCS level","5","5","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","SEO/HEO","15","15","35990","35630"
"In post","2021","Analysis","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","G6/G7","25","25","61430","59210"
"In post","2021","Analysis","Office of Rail and Road","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","SEO/HEO","15","15","38110","36000"
"In post","2021","Analysis","Scottish Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scottish Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scottish Government","SEO/HEO","20","20","40700","39720"
"In post","2021","Analysis","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Export Finance","G6/G7","5","5","[c]","[c]"
"In post","2021","Analysis","UK Export Finance","SEO/HEO","15","15","37810","34850"
"In post","2021","Analysis","United Kingdom Statistics Authority","AA/AO","65","60","19490","19130"
"In post","2021","Analysis","United Kingdom Statistics Authority","EO","195","175","24160","23050"
"In post","2021","Analysis","United Kingdom Statistics Authority","G6/G7","355","340","52720","50090"
"In post","2021","Analysis","United Kingdom Statistics Authority","SCS level","35","35","86020","74890"
"In post","2021","Analysis","United Kingdom Statistics Authority","SEO/HEO","1055","1015","33600","32540"
"In post","2021","Analysis","Wales Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","G6/G7","15","15","85240","82920"
"In post","2021","Analysis","Water Services Regulation Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","SEO/HEO","15","15","47710","46630"
"In post","2021","Analysis","Welsh Government","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Welsh Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Welsh Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","G6/G7","10","10","59150","57500"
"In post","2021","Commercial","Attorney General's Departments","SEO/HEO","15","10","37360","38180"
"In post","2021","Commercial","Cabinet Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cabinet Office","EO","25","25","27240","27500"
"In post","2021","Commercial","Cabinet Office","G6/G7","795","785","63320","56920"
"In post","2021","Commercial","Cabinet Office","SCS level","480","470","93150","74000"
"In post","2021","Commercial","Cabinet Office","SEO/HEO","115","115","38140","38420"
"In post","2021","Commercial","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chancellor's other departments","G6/G7","10","10","[c]","[c]"
"In post","2021","Commercial","Chancellor's other departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","EO","20","20","26100","25630"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","G6/G7","105","105","53050","48540"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","SEO/HEO","115","110","37260","37420"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","G6/G7","15","15","60920","57670"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Commercial","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education","EO","15","15","26110","25000"
"In post","2021","Commercial","Department for Education","G6/G7","50","50","54580","52620"
"In post","2021","Commercial","Department for Education","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education","SEO/HEO","130","130","36360","36780"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","AA/AO","20","15","22710","22710"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","EO","20","20","26750","25230"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","G6/G7","35","35","53390","49930"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","SCS level","5","5","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","SEO/HEO","125","120","35580","36700"
"In post","2021","Commercial","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for International Trade","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for International Trade","SEO/HEO","20","20","36900","38160"
"In post","2021","Commercial","Department for Transport","AA/AO","35","30","20990","21590"
"In post","2021","Commercial","Department for Transport","EO","50","45","26080","26700"
"In post","2021","Commercial","Department for Transport","G6/G7","20","20","57300","54080"
"In post","2021","Commercial","Department for Transport","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport","SEO/HEO","100","95","36720","35060"
"In post","2021","Commercial","Department for Work and Pensions","AA/AO","5","5","[c]","[c]"
"In post","2021","Commercial","Department for Work and Pensions","EO","10","10","[c]","[c]"
"In post","2021","Commercial","Department for Work and Pensions","G6/G7","15","15","58700","53830"
"In post","2021","Commercial","Department for Work and Pensions","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Work and Pensions","SEO/HEO","15","15","37940","39390"
"In post","2021","Commercial","Department of Health and Social Care","AA/AO","5","5","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care","EO","20","20","26490","27270"
"In post","2021","Commercial","Department of Health and Social Care","G6/G7","65","60","56220","53360"
"In post","2021","Commercial","Department of Health and Social Care","SCS level","35","35","82680","74730"
"In post","2021","Commercial","Department of Health and Social Care","SEO/HEO","115","115","36880","38670"
"In post","2021","Commercial","ESTYN","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","ESTYN","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","AA/AO","25","25","23640","22850"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","EO","20","20","26940","26120"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","G6/G7","55","50","59400","55990"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","SEO/HEO","80","80","38660","39600"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","SEO/HEO","15","15","36730","38550"
"In post","2021","Commercial","HM Revenue and Customs","AA/AO","10","10","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs","EO","25","25","26020","25560"
"In post","2021","Commercial","HM Revenue and Customs","G6/G7","20","20","57390","54930"
"In post","2021","Commercial","HM Revenue and Customs","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs","SEO/HEO","85","80","36030","38630"
"In post","2021","Commercial","HM Treasury","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Treasury","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Treasury","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Treasury","SEO/HEO","10","10","38030","38760"
"In post","2021","Commercial","Ministry of Defence","AA/AO","235","225","21890","21130"
"In post","2021","Commercial","Ministry of Defence","EO","400","380","27190","26670"
"In post","2021","Commercial","Ministry of Defence","G6/G7","190","185","59340","56490"
"In post","2021","Commercial","Ministry of Defence","SCS level","20","20","98160","91580"
"In post","2021","Commercial","Ministry of Defence","SEO/HEO","1040","1005","37730","37320"
"In post","2021","Commercial","Ministry of Defence","Unknown","195","195","40890","37400"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government","EO","5","5","[c]","[c]"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government","SEO/HEO","15","15","40540","40720"
"In post","2021","Commercial","Ministry of Justice","AA/AO","95","90","21710","20890"
"In post","2021","Commercial","Ministry of Justice","EO","135","130","26580","26430"
"In post","2021","Commercial","Ministry of Justice","G6/G7","185","180","69300","69570"
"In post","2021","Commercial","Ministry of Justice","SCS level","15","15","96710","92570"
"In post","2021","Commercial","Ministry of Justice","SEO/HEO","580","570","42650","42550"
"In post","2021","Commercial","Ministry of Justice","Unknown","40","35","43740","41040"
"In post","2021","Commercial","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","National Crime Agency","EO","5","5","[c]","[c]"
"In post","2021","Commercial","National Crime Agency","G6/G7","5","5","[c]","[c]"
