"Status","Year","Age","Region_ITL2","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Bedfordshire and Hertfordshire","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Bedfordshire and Hertfordshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bedfordshire and Hertfordshire","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bedfordshire and Hertfordshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Cheshire","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Cheshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cornwall and Isles of Scilly","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cornwall and Isles of Scilly","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cornwall and Isles of Scilly","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cumbria","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cumbria","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cumbria","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","Outside London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","Outside London","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Devon","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","16-19","Devon","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon","Outside London","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Dorset and Somerset","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dorset and Somerset","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Anglia","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","16-19","East Anglia","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Anglia","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Anglia","Outside London","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","East Wales","Outside London","Heterosexual / straight","40","35","20030","20140"
"In post","2021","16-19","East Wales","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Wales","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Wales","Outside London","Unknown","30","30","20260","20140"
"In post","2021","16-19","East Yorkshire and Northern Lincolnshire","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Yorkshire and Northern Lincolnshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Yorkshire and Northern Lincolnshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Eastern Scotland","Outside London","Heterosexual / straight","55","50","21400","21150"
"In post","2021","16-19","Eastern Scotland","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Eastern Scotland","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2021","16-19","Eastern Scotland","Outside London","Unknown","30","30","20550","20140"
"In post","2021","16-19","Essex","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Essex","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Essex","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Heterosexual / straight","100","100","19110","19040"
"In post","2021","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2021","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Unknown","45","45","17460","16780"
"In post","2021","16-19","Greater Manchester","Outside London","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","16-19","Greater Manchester","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Greater Manchester","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Greater Manchester","Outside London","Unknown","15","15","[c]","[c]"
"In post","2021","16-19","Hampshire and Isle of Wight","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","16-19","Hampshire and Isle of Wight","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hampshire and Isle of Wight","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hampshire and Isle of Wight","Outside London","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Herefordshire, Worcestershire and Warwickshire","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Herefordshire, Worcestershire and Warwickshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Herefordshire, Worcestershire and Warwickshire","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Highlands and Islands","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Highlands and Islands","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Highlands and Islands","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Inner London - East","London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","16-19","Inner London - East","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inner London - East","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inner London - East","London","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Inner London - West","London","Heterosexual / straight","65","65","25690","25170"
"In post","2021","16-19","Inner London - West","London","LGBO","5","5","[c]","[c]"
"In post","2021","16-19","Inner London - West","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inner London - West","London","Unknown","25","25","[c]","[c]"
"In post","2021","16-19","Kent","Outside London","Heterosexual / straight","10","10","[c]","[c]"
