"Status","Year","Function_of_post","Organisation","Profession_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Operational Research","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Operational Research","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Unknown","Inner London - West","25","25","41860","35070"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Commercial","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Cornwall and Isles of Scilly","5","5","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Dorset and Somerset","115","110","33040","29270"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","East Anglia","350","330","34260","30220"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","North Yorkshire","5","5","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Intelligence Analysis","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Intelligence Analysis","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Operational Delivery","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Operational Delivery","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Other","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Other","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Policy","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Unknown","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Economics","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Economics","Inner London - East","90","85","63040","59890"
"In post","2021","Analysis","Competition and Markets Authority","Intelligence Analysis","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Intelligence Analysis","Inner London - East","30","30","53750","46940"
"In post","2021","Analysis","Competition and Markets Authority","Statistics","Inner London - East","5","5","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Digital, Data and Technology","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Digital, Data and Technology","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Digital, Data and Technology","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Digital, Data and Technology","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Digital, Data and Technology","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Digital, Data and Technology","West Yorkshire","10","10","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Digital, Data and Technology","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Operational Delivery","Inner London - West","10","10","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Policy","Inner London - West","15","10","78480","61540"
"In post","2021","Analysis","Defence Electronics and Components Agency","Knowledge and Information Management","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Commercial","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Digital, Data and Technology","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Intelligence Analysis","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Intelligence Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Knowledge and Information Management","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Knowledge and Information Management","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Operational Delivery","Gloucestershire, Wiltshire and Bath/Bristol area","10","10","38130","37320"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Operational Delivery","Hampshire and Isle of Wight","10","10","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Operational Research","Gloucestershire, Wiltshire and Bath/Bristol area","15","15","43310","46080"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Operational Research","Hampshire and Isle of Wight","240","230","41870","46080"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Project Delivery","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Project Delivery","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Science and Engineering","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Science and Engineering","Gloucestershire, Wiltshire and Bath/Bristol area","70","65","35320","37320"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Science and Engineering","Hampshire and Isle of Wight","85","80","38500","37320"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Science and Engineering","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Statistics","Gloucestershire, Wiltshire and Bath/Bristol area","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data and Technology","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","Inner London - West","195","195","40840","34400"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","Inner London - West","15","15","50070","46050"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Research","Inner London - West","15","15","51810","57620"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","Inner London - West","20","20","49380","53380"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","Inner London - West","30","30","46870","44280"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Commercial","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Economics","Inner London - West","75","75","53810","59730"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Operational Research","Inner London - West","20","20","41850","42020"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Science and Engineering","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Social Research","Inner London - West","25","25","56490","59730"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Statistics","Inner London - West","20","20","49200","43280"
"In post","2021","Analysis","Department for Education (excl. agencies)","Digital, Data and Technology","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Digital, Data and Technology","Greater Manchester","15","15","37080","33190"
"In post","2021","Analysis","Department for Education (excl. agencies)","Digital, Data and Technology","Inner London - West","45","45","48010","45250"
"In post","2021","Analysis","Department for Education (excl. agencies)","Digital, Data and Technology","South Yorkshire","55","50","44750","42420"
"In post","2021","Analysis","Department for Education (excl. agencies)","Digital, Data and Technology","Tees Valley and Durham","20","20","41450","42320"
"In post","2021","Analysis","Department for Education (excl. agencies)","Digital, Data and Technology","West Midlands","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Policy","Derbyshire and Nottinghamshire","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Policy","Gloucestershire, Wiltshire and Bath/Bristol area","15","10","41630","41990"
"In post","2021","Analysis","Department for Education (excl. agencies)","Policy","Greater Manchester","25","25","38280","41990"
"In post","2021","Analysis","Department for Education (excl. agencies)","Policy","Inner London - West","130","120","46400","45540"
"In post","2021","Analysis","Department for Education (excl. agencies)","Policy","South Yorkshire","70","65","43450","42500"
"In post","2021","Analysis","Department for Education (excl. agencies)","Policy","Tees Valley and Durham","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Policy","West Midlands","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Policy","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Statistics","Gloucestershire, Wiltshire and Bath/Bristol area","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Statistics","Inner London - West","20","20","45530","40060"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Statistics","North Yorkshire","45","45","35100","31310"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Statistics","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Economics","Berkshire, Buckinghamshire and Oxfordshire","15","15","48190","51970"
"In post","2021","Analysis","Department for International Trade","Economics","Inner London - West","130","130","42790","31800"
"In post","2021","Analysis","Department for International Trade","Operational Research","Inner London - West","5","5","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Other","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Other","Inner London - West","15","15","36070","30100"
"In post","2021","Analysis","Department for International Trade","Policy","Inner London - West","10","10","47180","39780"
"In post","2021","Analysis","Department for International Trade","Social Research","Inner London - West","20","20","44560","46050"
"In post","2021","Analysis","Department for International Trade","Statistics","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Statistics","Inner London - West","50","50","43330","40030"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Commercial","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Commercial","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Commercial","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Corporate Finance","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Digital, Data and Technology","Inner London - West","10","10","45940","43530"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Digital, Data and Technology","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Economics","Inner London - West","170","165","47670","54110"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Economics","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Operational Research","Inner London - West","20","20","44510","42470"
