"Status","Year","Ethnicity","Parent_department","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Attorney General's Departments","London","AA/AO","95","85","23500","23520"
"In post","2021","Asian","Attorney General's Departments","London","EO","115","105","28440","27750"
"In post","2021","Asian","Attorney General's Departments","London","G6/G7","280","260","58390","55970"
"In post","2021","Asian","Attorney General's Departments","London","SCS level","10","10","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","London","SEO/HEO","90","90","36900","36240"
"In post","2021","Asian","Attorney General's Departments","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Outside London","AA/AO","80","70","21970","21950"
"In post","2021","Asian","Attorney General's Departments","Outside London","EO","55","55","27000","26600"
"In post","2021","Asian","Attorney General's Departments","Outside London","G6/G7","130","120","53510","51470"
"In post","2021","Asian","Attorney General's Departments","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Outside London","SEO/HEO","45","40","37480","38180"
"In post","2021","Asian","Attorney General's Departments","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","London","AA/AO","10","10","[c]","[c]"
"In post","2021","Asian","Cabinet Office","London","EO","70","70","28100","27500"
"In post","2021","Asian","Cabinet Office","London","G6/G7","160","160","58530","56340"
"In post","2021","Asian","Cabinet Office","London","SCS level","25","25","[c]","[c]"
"In post","2021","Asian","Cabinet Office","London","SEO/HEO","145","145","37280","35590"
"In post","2021","Asian","Cabinet Office","Outside London","AA/AO","10","5","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Outside London","EO","5","5","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Outside London","SEO/HEO","15","15","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Unknown","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","London","AA/AO","5","5","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","London","EO","10","10","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","London","G6/G7","15","15","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","London","SEO/HEO","20","20","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","London","AA/AO","5","5","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","London","EO","20","20","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","London","G6/G7","35","35","66080","63620"
"In post","2021","Asian","Competition and Markets Authority","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","London","SEO/HEO","40","40","37300","35270"
"In post","2021","Asian","Competition and Markets Authority","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","London","AA/AO","25","25","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","London","EO","70","70","28660","27690"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","London","G6/G7","145","145","57960","54650"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","London","SCS level","15","15","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","London","SEO/HEO","240","235","37940","36170"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Outside London","AA/AO","65","60","20800","20880"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Outside London","EO","50","50","26230","25360"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Outside London","G6/G7","15","15","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Outside London","SEO/HEO","85","85","35740","35840"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","London","EO","15","15","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","London","G6/G7","50","50","58470","56000"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","London","SCS level","[c]","[c]","[c]","[c]"
