"Status","Year","Disability","Region_ITL1","Region_ITL2","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","East Midlands (England)","Derbyshire and Nottinghamshire","Heterosexual / straight","1145","1045","29710","27570"
"In post","2021","Declared disabled","East Midlands (England)","Derbyshire and Nottinghamshire","LGBO","105","105","30080","27570"
"In post","2021","Declared disabled","East Midlands (England)","Derbyshire and Nottinghamshire","Undeclared","195","175","29300","27570"
"In post","2021","Declared disabled","East Midlands (England)","Derbyshire and Nottinghamshire","Unknown","105","95","28020","27570"
"In post","2021","Declared disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Heterosexual / straight","555","500","26210","24550"
"In post","2021","Declared disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","LGBO","55","55","27280","27570"
"In post","2021","Declared disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Undeclared","80","75","27450","25160"
"In post","2021","Declared disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Unknown","50","40","23570","21440"
"In post","2021","Declared disabled","East Midlands (England)","Lincolnshire","Heterosexual / straight","300","275","28090","27570"
"In post","2021","Declared disabled","East Midlands (England)","Lincolnshire","LGBO","30","30","28690","27570"
"In post","2021","Declared disabled","East Midlands (England)","Lincolnshire","Undeclared","40","40","28510","26850"
"In post","2021","Declared disabled","East Midlands (England)","Lincolnshire","Unknown","20","20","[c]","[c]"
"In post","2021","Declared disabled","East of England","Bedfordshire and Hertfordshire","Heterosexual / straight","395","370","31420","29290"
"In post","2021","Declared disabled","East of England","Bedfordshire and Hertfordshire","LGBO","40","35","29170","28030"
"In post","2021","Declared disabled","East of England","Bedfordshire and Hertfordshire","Undeclared","45","40","30390","29170"
"In post","2021","Declared disabled","East of England","Bedfordshire and Hertfordshire","Unknown","30","25","29410","27670"
"In post","2021","Declared disabled","East of England","East Anglia","Heterosexual / straight","1060","970","29270","27570"
"In post","2021","Declared disabled","East of England","East Anglia","LGBO","80","75","27400","27570"
"In post","2021","Declared disabled","East of England","East Anglia","Undeclared","135","120","31130","27570"
"In post","2021","Declared disabled","East of England","East Anglia","Unknown","85","75","28320","27570"
"In post","2021","Declared disabled","East of England","Essex","Heterosexual / straight","520","470","30550","29290"
"In post","2021","Declared disabled","East of England","Essex","LGBO","50","50","29260","29290"
