"Status","Year","Disability","Function_of_post","Region_ITL1","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Analysis","East Midlands (England)","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","East of England","Outside London","25","25","[c]","[c]"
"In post","2021","Declared disabled","Analysis","London","London","230","220","47220","42460"
"In post","2021","Declared disabled","Analysis","North East (England)","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","North West (England)","Outside London","40","35","37860","36230"
"In post","2021","Declared disabled","Analysis","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Scotland","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","South East (England)","Outside London","100","95","38540","37320"
"In post","2021","Declared disabled","Analysis","South West (England)","Outside London","35","35","33390","31930"
"In post","2021","Declared disabled","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Wales","Outside London","85","85","36440","36030"
"In post","2021","Declared disabled","Analysis","West Midlands (England)","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Yorkshire and The Humber","Outside London","35","35","37590","34420"
"In post","2021","Declared disabled","Commercial","East Midlands (England)","Outside London","20","20","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East of England","Outside London","40","40","39070","38300"
"In post","2021","Declared disabled","Commercial","London","London","120","115","44960","40930"
"In post","2021","Declared disabled","Commercial","North East (England)","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","North West (England)","Outside London","55","50","36430","33300"
"In post","2021","Declared disabled","Commercial","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Scotland","Outside London","35","30","33340","33630"
"In post","2021","Declared disabled","Commercial","South East (England)","Outside London","65","65","33900","33300"
"In post","2021","Declared disabled","Commercial","South West (England)","Outside London","130","125","40630","40000"
"In post","2021","Declared disabled","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Wales","Outside London","25","25","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Midlands (England)","Outside London","25","25","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Yorkshire and The Humber","Outside London","45","45","37650","37450"
"In post","2021","Declared disabled","Communications","East Midlands (England)","Outside London","45","45","30670","26950"
"In post","2021","Declared disabled","Communications","East of England","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","London","London","120","120","40340","37380"
"In post","2021","Declared disabled","Communications","North East (England)","Outside London","115","105","26250","25560"
"In post","2021","Declared disabled","Communications","North West (England)","Outside London","45","40","30760","29360"
"In post","2021","Declared disabled","Communications","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Scotland","Outside London","25","20","[c]","[c]"
"In post","2021","Declared disabled","Communications","South East (England)","Outside London","35","30","34290","30390"
"In post","2021","Declared disabled","Communications","South West (England)","Outside London","30","30","33480","32550"
"In post","2021","Declared disabled","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Wales","Outside London","65","65","29550","25560"
"In post","2021","Declared disabled","Communications","West Midlands (England)","Outside London","20","20","[c]","[c]"
"In post","2021","Declared disabled","Communications","Yorkshire and The Humber","Outside London","40","35","29870","31810"
"In post","2021","Declared disabled","Counter Fraud","East Midlands (England)","Outside London","40","40","32420","31810"
"In post","2021","Declared disabled","Counter Fraud","East of England","Outside London","40","35","29800","28130"
"In post","2021","Declared disabled","Counter Fraud","London","London","160","150","38430","36160"
"In post","2021","Declared disabled","Counter Fraud","North East (England)","Outside London","55","50","32340","31810"
"In post","2021","Declared disabled","Counter Fraud","North West (England)","Outside London","155","140","33530","31810"
"In post","2021","Declared disabled","Counter Fraud","Northern Ireland","Outside London","35","35","28490","28130"
"In post","2021","Declared disabled","Counter Fraud","Scotland","Outside London","75","70","31090","28130"
"In post","2021","Declared disabled","Counter Fraud","South East (England)","Outside London","45","40","31970","28130"
"In post","2021","Declared disabled","Counter Fraud","South West (England)","Outside London","35","35","37920","35000"
"In post","2021","Declared disabled","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Wales","Outside London","40","35","30920","28130"
"In post","2021","Declared disabled","Counter Fraud","West Midlands (England)","Outside London","65","60","31090","31810"
"In post","2021","Declared disabled","Counter Fraud","Yorkshire and The Humber","Outside London","70","60","30030","25630"
"In post","2021","Declared disabled","Debt","East Midlands (England)","Outside London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Debt","East of England","Outside London","15","10","[c]","[c]"
"In post","2021","Declared disabled","Debt","London","London","50","45","26880","25630"
"In post","2021","Declared disabled","Debt","North East (England)","Outside London","35","30","22590","21440"
"In post","2021","Declared disabled","Debt","North West (England)","Outside London","30","25","22480","21440"
"In post","2021","Declared disabled","Debt","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","Scotland","Outside London","130","105","22090","20650"
"In post","2021","Declared disabled","Debt","South East (England)","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Debt","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","Wales","Outside London","25","25","[c]","[c]"
"In post","2021","Declared disabled","Debt","West Midlands (England)","Outside London","25","20","[c]","[c]"
"In post","2021","Declared disabled","Debt","Yorkshire and The Humber","Outside London","40","35","23300","21440"
"In post","2021","Declared disabled","Digital, Data & Technology","East Midlands (England)","Outside London","35","35","33230","31910"
"In post","2021","Declared disabled","Digital, Data & Technology","East of England","Outside London","50","45","34020","32960"
"In post","2021","Declared disabled","Digital, Data & Technology","London","London","280","275","45860","41760"
"In post","2021","Declared disabled","Digital, Data & Technology","North East (England)","Outside London","55","50","38150","36950"
"In post","2021","Declared disabled","Digital, Data & Technology","North West (England)","Outside London","70","65","36900","33300"
"In post","2021","Declared disabled","Digital, Data & Technology","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Scotland","Outside London","55","55","36510","33930"
"In post","2021","Declared disabled","Digital, Data & Technology","South East (England)","Outside London","85","80","35620","33300"
"In post","2021","Declared disabled","Digital, Data & Technology","South West (England)","Outside London","185","175","37150","34880"
"In post","2021","Declared disabled","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Wales","Outside London","105","100","39850","36680"
"In post","2021","Declared disabled","Digital, Data & Technology","West Midlands (England)","Outside London","85","80","37780","35000"
"In post","2021","Declared disabled","Digital, Data & Technology","Yorkshire and The Humber","Outside London","70","65","35690","31810"
"In post","2021","Declared disabled","Finance","East Midlands (England)","Outside London","30","30","34250","31810"
"In post","2021","Declared disabled","Finance","East of England","Outside London","40","40","33890","31810"
"In post","2021","Declared disabled","Finance","London","London","185","185","48840","44200"
"In post","2021","Declared disabled","Finance","North East (England)","Outside London","25","25","[c]","[c]"
"In post","2021","Declared disabled","Finance","North West (England)","Outside London","70","65","35540","31810"
"In post","2021","Declared disabled","Finance","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Scotland","Outside London","85","70","27670","21580"
"In post","2021","Declared disabled","Finance","South East (England)","Outside London","90","80","34460","32950"
"In post","2021","Declared disabled","Finance","South West (England)","Outside London","130","125","36670","33300"
"In post","2021","Declared disabled","Finance","Wales","Outside London","25","25","[c]","[c]"
"In post","2021","Declared disabled","Finance","West Midlands (England)","Outside London","40","40","42230","38630"
"In post","2021","Declared disabled","Finance","Yorkshire and The Humber","Outside London","80","70","32320","25850"
"In post","2021","Declared disabled","Grants Management","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Grants Management","East of England","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Grants Management","London","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Grants Management","North East (England)","Outside London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Grants Management","North West (England)","Outside London","70","60","24480","21050"
"In post","2021","Declared disabled","Grants Management","South East (England)","Outside London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Grants Management","South West (England)","Outside London","30","25","[c]","[c]"
"In post","2021","Declared disabled","Grants Management","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Grants Management","West Midlands (England)","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Grants Management","Yorkshire and The Humber","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","East Midlands (England)","Outside London","65","60","35160","31890"
"In post","2021","Declared disabled","Human Resources","East of England","Outside London","30","30","39800","34950"
"In post","2021","Declared disabled","Human Resources","London","London","350","335","47510","41040"
"In post","2021","Declared disabled","Human Resources","North East (England)","Outside London","80","70","28370","24000"
"In post","2021","Declared disabled","Human Resources","North West (England)","Outside London","160","150","35970","31810"
"In post","2021","Declared disabled","Human Resources","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Scotland","Outside London","110","100","29040","24850"
"In post","2021","Declared disabled","Human Resources","South East (England)","Outside London","80","75","36080","31340"
"In post","2021","Declared disabled","Human Resources","South West (England)","Outside London","140","130","36470","32740"
"In post","2021","Declared disabled","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Wales","Outside London","70","65","36030","31650"
"In post","2021","Declared disabled","Human Resources","West Midlands (England)","Outside London","40","35","36280","31820"
"In post","2021","Declared disabled","Human Resources","Yorkshire and The Humber","Outside London","85","80","40120","38420"
"In post","2021","Declared disabled","Internal Audit","East Midlands (England)","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","London","London","20","20","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","North East (England)","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","North West (England)","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Scotland","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","South East (England)","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","South West (England)","Outside London","15","10","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","West Midlands (England)","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Yorkshire and The Humber","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Legal","East Midlands (England)","Outside London","80","75","36110","31810"
"In post","2021","Declared disabled","Legal","East of England","Outside London","60","55","42380","39720"
"In post","2021","Declared disabled","Legal","London","London","440","410","49910","51510"
"In post","2021","Declared disabled","Legal","North East (England)","Outside London","60","55","35790","31700"
"In post","2021","Declared disabled","Legal","North West (England)","Outside London","165","150","37540","31810"
"In post","2021","Declared disabled","Legal","Northern Ireland","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Legal","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Scotland","Outside London","70","65","45810","43530"
"In post","2021","Declared disabled","Legal","South East (England)","Outside London","75","70","44700","40590"
"In post","2021","Declared disabled","Legal","South West (England)","Outside London","55","50","41720","42380"
"In post","2021","Declared disabled","Legal","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Wales","Outside London","50","45","42230","42300"
"In post","2021","Declared disabled","Legal","West Midlands (England)","Outside London","85","80","41200","43460"
"In post","2021","Declared disabled","Legal","Yorkshire and The Humber","Outside London","95","85","43050","42990"
"In post","2021","Declared disabled","No function","East Midlands (England)","Outside London","1240","1145","28410","25560"
"In post","2021","Declared disabled","No function","East of England","Outside London","880","810","29280","27380"
"In post","2021","Declared disabled","No function","London","London","3575","3450","40030","35590"
"In post","2021","Declared disabled","No function","North East (England)","Outside London","1150","1005","26080","22350"
"In post","2021","Declared disabled","No function","North West (England)","Outside London","2170","1965","28440","25560"
"In post","2021","Declared disabled","No function","Northern Ireland","Outside London","145","130","28240","25560"
"In post","2021","Declared disabled","No function","Overseas","Overseas","115","115","49360","52970"
"In post","2021","Declared disabled","No function","Scotland","Outside London","1000","910","30130","28130"
"In post","2021","Declared disabled","No function","South East (England)","Outside London","1700","1565","29430","27160"
"In post","2021","Declared disabled","No function","South West (England)","Outside London","1245","1145","31060","28400"
"In post","2021","Declared disabled","No function","Unknown","Unknown","20","20","[c]","[c]"
"In post","2021","Declared disabled","No function","Wales","Outside London","1555","1355","26050","21590"
"In post","2021","Declared disabled","No function","West Midlands (England)","Outside London","1460","1360","28720","26470"
"In post","2021","Declared disabled","No function","Yorkshire and The Humber","Outside London","1255","1155","30280","28130"
"In post","2021","Declared disabled","Project Delivery","East Midlands (England)","Outside London","70","65","37230","34800"
"In post","2021","Declared disabled","Project Delivery","East of England","Outside London","95","95","38300","37640"
"In post","2021","Declared disabled","Project Delivery","London","London","450","430","49460","45150"
"In post","2021","Declared disabled","Project Delivery","North East (England)","Outside London","90","85","38270","38550"
"In post","2021","Declared disabled","Project Delivery","North West (England)","Outside London","205","190","36880","33730"
"In post","2021","Declared disabled","Project Delivery","Northern Ireland","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Project Delivery","Overseas","Overseas","45","45","55230","54280"
"In post","2021","Declared disabled","Project Delivery","Scotland","Outside London","140","130","35710","33930"
"In post","2021","Declared disabled","Project Delivery","South East (England)","Outside London","235","225","36300","33300"
"In post","2021","Declared disabled","Project Delivery","South West (England)","Outside London","1065","1025","36960","34620"
"In post","2021","Declared disabled","Project Delivery","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Project Delivery","Wales","Outside London","65","60","34990","32180"
"In post","2021","Declared disabled","Project Delivery","West Midlands (England)","Outside London","100","90","33870","31840"
"In post","2021","Declared disabled","Project Delivery","Yorkshire and The Humber","Outside London","70","65","37270","31840"
"In post","2021","Declared disabled","Property","East Midlands (England)","Outside London","40","40","34870","31810"
"In post","2021","Declared disabled","Property","East of England","Outside London","50","50","33080","33280"
"In post","2021","Declared disabled","Property","London","London","115","110","44710","36800"
"In post","2021","Declared disabled","Property","North East (England)","Outside London","30","25","[c]","[c]"
"In post","2021","Declared disabled","Property","North West (England)","Outside London","50","50","31140","28130"
"In post","2021","Declared disabled","Property","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Property","Overseas","Overseas","5","5","[c]","[c]"
"In post","2021","Declared disabled","Property","Scotland","Outside London","70","65","29180","28120"
"In post","2021","Declared disabled","Property","South East (England)","Outside London","90","85","33420","33300"
"In post","2021","Declared disabled","Property","South West (England)","Outside London","125","120","33920","33000"
"In post","2021","Declared disabled","Property","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Property","Wales","Outside London","35","35","33090","31380"
"In post","2021","Declared disabled","Property","West Midlands (England)","Outside London","45","45","35540","33300"
"In post","2021","Declared disabled","Property","Yorkshire and The Humber","Outside London","70","65","32700","26670"
"In post","2021","Declared disabled","Security","East Midlands (England)","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Security","East of England","Outside London","55","50","36260","39070"
"In post","2021","Declared disabled","Security","London","London","105","105","41050","38940"
"In post","2021","Declared disabled","Security","North East (England)","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Security","North West (England)","Outside London","30","30","28960","25960"
"In post","2021","Declared disabled","Security","Northern Ireland","Outside London","20","20","[c]","[c]"
"In post","2021","Declared disabled","Security","Overseas","Overseas","10","10","[c]","[c]"
"In post","2021","Declared disabled","Security","Scotland","Outside London","65","60","30130","26670"
"In post","2021","Declared disabled","Security","South East (England)","Outside London","145","145","31670","29630"
"In post","2021","Declared disabled","Security","South West (England)","Outside London","90","85","27560","22080"
"In post","2021","Declared disabled","Security","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Security","Wales","Outside London","20","20","[c]","[c]"
"In post","2021","Declared disabled","Security","West Midlands (England)","Outside London","30","30","30510","28290"
"In post","2021","Declared disabled","Security","Yorkshire and The Humber","Outside London","65","60","29090","26670"
"In post","2021","Declared disabled","Unknown","East Midlands (England)","Outside London","965","850","25760","27570"
"In post","2021","Declared disabled","Unknown","East of England","Outside London","1175","1060","27670","27570"
"In post","2021","Declared disabled","Unknown","London","London","3005","2785","35980","31060"
"In post","2021","Declared disabled","Unknown","North East (England)","Outside London","1680","1455","25820","26120"
"In post","2021","Declared disabled","Unknown","North West (England)","Outside London","3690","3265","26170","26670"
"In post","2021","Declared disabled","Unknown","Northern Ireland","Outside London","90","90","24280","21670"
"In post","2021","Declared disabled","Unknown","Overseas","Overseas","35","35","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Scotland","Outside London","2595","2355","30170","27570"
"In post","2021","Declared disabled","Unknown","South East (England)","Outside London","1790","1605","27800","27570"
"In post","2021","Declared disabled","Unknown","South West (England)","Outside London","1450","1280","27320","27570"
"In post","2021","Declared disabled","Unknown","Unknown","Unknown","155","145","30100","27570"
"In post","2021","Declared disabled","Unknown","Wales","Outside London","1370","1230","28910","27570"
"In post","2021","Declared disabled","Unknown","West Midlands (England)","Outside London","1555","1375","26470","27570"
"In post","2021","Declared disabled","Unknown","Yorkshire and The Humber","Outside London","1950","1715","28010","27570"
"In post","2021","Declared non-disabled","Analysis","East Midlands (England)","Outside London","35","35","37700","33840"
"In post","2021","Declared non-disabled","Analysis","East of England","Outside London","245","235","33360","29990"
"In post","2021","Declared non-disabled","Analysis","London","London","2255","2190","50070","46030"
"In post","2021","Declared non-disabled","Analysis","North East (England)","Outside London","50","50","42140","42220"
"In post","2021","Declared non-disabled","Analysis","North West (England)","Outside London","260","250","39240","38630"
"In post","2021","Declared non-disabled","Analysis","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Analysis","Scotland","Outside London","40","40","47560","42290"
"In post","2021","Declared non-disabled","Analysis","South East (England)","Outside London","495","465","40460","37320"
"In post","2021","Declared non-disabled","Analysis","South West (England)","Outside London","315","305","37500","35900"
"In post","2021","Declared non-disabled","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Analysis","Wales","Outside London","565","535","38480","36030"
"In post","2021","Declared non-disabled","Analysis","West Midlands (England)","Outside London","40","40","43640","41870"
"In post","2021","Declared non-disabled","Analysis","Yorkshire and The Humber","Outside London","240","230","41910","42220"
"In post","2021","Declared non-disabled","Commercial","East Midlands (England)","Outside London","115","105","40300","36710"
"In post","2021","Declared non-disabled","Commercial","East of England","Outside London","215","210","39300","36260"
"In post","2021","Declared non-disabled","Commercial","London","London","965","945","55250","46700"
"In post","2021","Declared non-disabled","Commercial","North East (England)","Outside London","65","65","44620","40930"
"In post","2021","Declared non-disabled","Commercial","North West (England)","Outside London","345","335","42370","38220"
"In post","2021","Declared non-disabled","Commercial","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Commercial","Overseas","Overseas","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","Commercial","Scotland","Outside London","175","170","37000","34800"
