"Status","Year","Disability","Region_ITL1","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","East Midlands (England)","Derbyshire and Nottinghamshire","Derby","150","130","24950","21010"
"In post","2021","Declared disabled","East Midlands (England)","Derbyshire and Nottinghamshire","East Derbyshire","95","85","26580","27570"
"In post","2021","Declared disabled","East Midlands (England)","Derbyshire and Nottinghamshire","North Nottinghamshire","145","135","28400","27570"
"In post","2021","Declared disabled","East Midlands (England)","Derbyshire and Nottinghamshire","Nottingham","905","835","30340","27570"
"In post","2021","Declared disabled","East Midlands (England)","Derbyshire and Nottinghamshire","South and West Derbyshire","145","130","31600","27570"
"In post","2021","Declared disabled","East Midlands (England)","Derbyshire and Nottinghamshire","South Nottinghamshire","110","105","30910","27570"
"In post","2021","Declared disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Leicester","305","275","25450","22350"
"In post","2021","Declared disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Leicestershire CC and Rutland","200","185","28540","26850"
"In post","2021","Declared disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","North Northamptonshire","95","80","25410","27570"
"In post","2021","Declared disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","West Northamptonshire","140","125","25290","22920"
"In post","2021","Declared disabled","East Midlands (England)","Lincolnshire","Lincolnshire","390","360","28200","27570"
"In post","2021","Declared disabled","East of England","Bedfordshire and Hertfordshire","Bedford","105","95","30210","28200"
"In post","2021","Declared disabled","East of England","Bedfordshire and Hertfordshire","Central Bedfordshire","45","45","30810","26670"
"In post","2021","Declared disabled","East of England","Bedfordshire and Hertfordshire","Hertfordshire","280","260","32730","30000"
"In post","2021","Declared disabled","East of England","Bedfordshire and Hertfordshire","Luton","80","75","26210","27370"
"In post","2021","Declared disabled","East of England","East Anglia","Breckland and South Norfolk","55","50","27970","27570"
"In post","2021","Declared disabled","East of England","East Anglia","Cambridgeshire CC","350","325","32890","31220"
"In post","2021","Declared disabled","East of England","East Anglia","North and West Norfolk","110","105","28630","27570"
"In post","2021","Declared disabled","East of England","East Anglia","Norwich and East Norfolk","230","205","28290","27570"
"In post","2021","Declared disabled","East of England","East Anglia","Peterborough","205","185","27580","25310"
"In post","2021","Declared disabled","East of England","East Anglia","Suffolk","410","375","27970","27570"
"In post","2021","Declared disabled","East of England","Essex","Essex Haven Gateway","135","125","32570","29290"
"In post","2021","Declared disabled","East of England","Essex","Essex Thames Gateway","180","155","27370","29050"
"In post","2021","Declared disabled","East of England","Essex","Heart of Essex","120","110","31730","29290"
"In post","2021","Declared disabled","East of England","Essex","Southend-on-Sea","175","155","30820","29290"
"In post","2021","Declared disabled","East of England","Essex","Thurrock","30","30","27980","29290"
"In post","2021","Declared disabled","East of England","Essex","West Essex","70","60","29780","27850"
"In post","2021","Declared disabled","London","Inner London - East","Hackney and Newham","435","400","32960","31060"
"In post","2021","Declared disabled","London","Inner London - East","Haringey and Islington","175","170","32360","31060"
"In post","2021","Declared disabled","London","Inner London - East","Lambeth","265","250","36890","32090"
"In post","2021","Declared disabled","London","Inner London - East","Lewisham and Southwark","170","165","32700","31060"
"In post","2021","Declared disabled","London","Inner London - East","Tower Hamlets","520","495","45780","40600"
"In post","2021","Declared disabled","London","Inner London - West","Camden and City of London","295","275","35160","30850"
"In post","2021","Declared disabled","London","Inner London - West","Kensington & Chelsea and Hammersmith & Fulham","80","75","31750","31060"
"In post","2021","Declared disabled","London","Inner London - West","Wandsworth","105","95","31720","31880"
"In post","2021","Declared disabled","London","Inner London - West","Westminster","4700","4560","45830","40650"
"In post","2021","Declared disabled","London","Outer London - East and North East","Barking & Dagenham and Havering","105","90","30690","31060"
"In post","2021","Declared disabled","London","Outer London - East and North East","Bexley and Greenwich","180","175","30780","31060"
"In post","2021","Declared disabled","London","Outer London - East and North East","Enfield","55","50","31500","31060"
"In post","2021","Declared disabled","London","Outer London - East and North East","Redbridge and Waltham Forest","150","135","28740","30330"
