"Status","Year","Function_of_post","Organisation","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Inner London - West","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Inner London - West","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Inner London - West","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Inner London - West","G6/G7","10","10","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Inner London - West","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Cornwall and Isles of Scilly","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Cornwall and Isles of Scilly","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Devon","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Dorset and Somerset","AA/AO","10","10","20740","21050"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Dorset and Somerset","EO","30","25","25050","24920"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Dorset and Somerset","G6/G7","20","20","53690","49030"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Dorset and Somerset","SEO/HEO","55","55","32360","30220"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East Anglia","AA/AO","30","30","20750","21050"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East Anglia","EO","55","50","25050","24920"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East Anglia","G6/G7","70","65","51310","48080"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East Anglia","SEO/HEO","200","185","33050","30660"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","North Yorkshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","North Yorkshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Dorset and Somerset","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Inner London - West","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Inner London - West","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Inner London - West","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Merseyside","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Eastern Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Eastern Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Inner London - East","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Inner London - East","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Inner London - East","G6/G7","75","75","65410","61530"
"In post","2021","Analysis","Competition and Markets Authority","Inner London - East","SCS level","10","10","109610","101590"
"In post","2021","Analysis","Competition and Markets Authority","Inner London - East","SEO/HEO","40","40","37870","34720"
"In post","2021","Analysis","Crown Prosecution Service","East Wales","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Inner London - West","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Merseyside","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","North Yorkshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","North Yorkshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Northumberland and Tyne and Wear","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","West Yorkshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","West Yorkshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","West Yorkshire","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Inner London - West","G6/G7","15","15","72040","67790"
"In post","2021","Analysis","Debt Management Office","Inner London - West","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Inner London - West","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Analysis","Defence Electronics and Components Agency","Shropshire and Staffordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","East Anglia","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","East Anglia","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","30","30","48540","46110"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","80","75","33410","37320"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Hampshire and Isle of Wight","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Hampshire and Isle of Wight","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Hampshire and Isle of Wight","G6/G7","165","155","49180","46130"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Hampshire and Isle of Wight","SEO/HEO","175","165","33870","37320"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Lincolnshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Inner London - West","AA/AO","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Inner London - West","EO","30","30","29180","27680"
