"Status","Year","Disability","Profession_of_post","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Commercial","East Midlands (England)","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East of England","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","London","Heterosexual / straight","65","60","46410","41950"
"In post","2021","Declared disabled","Commercial","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","London","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","London","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","North East (England)","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","North West (England)","Heterosexual / straight","40","35","39810","37610"
"In post","2021","Declared disabled","Commercial","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","North West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","North West (England)","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Northern Ireland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Northern Ireland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Scotland","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","South East (England)","Heterosexual / straight","35","35","38090","34800"
"In post","2021","Declared disabled","Commercial","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","South East (England)","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","South West (England)","Heterosexual / straight","125","120","41050","38240"
"In post","2021","Declared disabled","Commercial","South West (England)","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","South West (England)","Undeclared","20","20","[c]","[c]"
"In post","2021","Declared disabled","Commercial","South West (England)","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Wales","Heterosexual / straight","20","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Wales","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Midlands (England)","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Yorkshire and The Humber","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Yorkshire and The Humber","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Yorkshire and The Humber","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","East Midlands (England)","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Declared disabled","Communications","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","East of England","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","London","Heterosexual / straight","65","60","42530","39390"
"In post","2021","Declared disabled","Communications","London","LGBO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Communications","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","London","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","North East (England)","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","North West (England)","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Declared disabled","Communications","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","North West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Northern Ireland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Northern Ireland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","South East (England)","Heterosexual / straight","25","20","[c]","[c]"
"In post","2021","Declared disabled","Communications","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","South East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","South West (England)","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Declared disabled","Communications","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","South West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Wales","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Declared disabled","Communications","Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","West Midlands (England)","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","West Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","West Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Yorkshire and The Humber","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","Yorkshire and The Humber","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Yorkshire and The Humber","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","East of England","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","North West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","North West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","South East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","South East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","South West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","South West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Wales","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","West Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","West Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","West Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","East Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","East of England","Heterosexual / straight","[c]","[c]","[c]","[c]"
