"Status","Year","Age","Function_of_post","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","60-64","Finance","SEO/HEO","Undeclared","35","30","40390","39650"
"In post","2021","60-64","Finance","SEO/HEO","Unknown","30","30","37860","38490"
"In post","2021","60-64","Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Grants Management","AA/AO","Heterosexual / straight","30","25","21050","21050"
"In post","2021","60-64","Grants Management","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Grants Management","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Grants Management","AA/AO","Unknown","50","40","21050","21050"
"In post","2021","60-64","Grants Management","EO","Heterosexual / straight","20","15","[c]","[c]"
"In post","2021","60-64","Grants Management","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Grants Management","EO","Undeclared","5","5","[c]","[c]"
"In post","2021","60-64","Grants Management","EO","Unknown","20","20","[c]","[c]"
"In post","2021","60-64","Grants Management","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Grants Management","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Grants Management","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Grants Management","SEO/HEO","Heterosexual / straight","15","10","[c]","[c]"
"In post","2021","60-64","Grants Management","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Grants Management","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Grants Management","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2021","60-64","Human Resources","AA/AO","Heterosexual / straight","105","85","21540","21440"
"In post","2021","60-64","Human Resources","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Human Resources","AA/AO","Undeclared","20","20","[c]","[c]"
"In post","2021","60-64","Human Resources","AA/AO","Unknown","30","25","21510","21440"
"In post","2021","60-64","Human Resources","EO","Heterosexual / straight","75","65","27750","27390"
"In post","2021","60-64","Human Resources","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Human Resources","EO","Undeclared","10","10","[c]","[c]"
"In post","2021","60-64","Human Resources","EO","Unknown","10","5","[c]","[c]"
"In post","2021","60-64","Human Resources","G6/G7","Heterosexual / straight","55","45","60310","58330"
"In post","2021","60-64","Human Resources","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Human Resources","G6/G7","Undeclared","5","5","[c]","[c]"
"In post","2021","60-64","Human Resources","G6/G7","Unknown","10","10","[c]","[c]"
"In post","2021","60-64","Human Resources","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","60-64","Human Resources","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Human Resources","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Human Resources","SEO/HEO","Heterosexual / straight","155","130","38300","38630"
"In post","2021","60-64","Human Resources","SEO/HEO","LGBO","5","5","[c]","[c]"
"In post","2021","60-64","Human Resources","SEO/HEO","Undeclared","25","20","[c]","[c]"
"In post","2021","60-64","Human Resources","SEO/HEO","Unknown","20","15","[c]","[c]"
"In post","2021","60-64","Human Resources","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","60-64","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Human Resources","Unknown","Undeclared","5","5","[c]","[c]"
"In post","2021","60-64","Internal Audit","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Internal Audit","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Internal Audit","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Internal Audit","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Internal Audit","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Internal Audit","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Internal Audit","G6/G7","Heterosexual / straight","10","5","[c]","[c]"
"In post","2021","60-64","Internal Audit","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Internal Audit","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Internal Audit","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Internal Audit","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Internal Audit","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Internal Audit","SEO/HEO","Heterosexual / straight","35","30","42140","43230"
"In post","2021","60-64","Internal Audit","SEO/HEO","LGBO","5","5","[c]","[c]"
"In post","2021","60-64","Internal Audit","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Internal Audit","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Legal","AA/AO","Heterosexual / straight","85","75","22920","23270"
"In post","2021","60-64","Legal","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Legal","AA/AO","Undeclared","120","95","21460","20850"
"In post","2021","60-64","Legal","AA/AO","Unknown","35","30","22590","21950"
"In post","2021","60-64","Legal","EO","Heterosexual / straight","70","60","28260","28430"
"In post","2021","60-64","Legal","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Legal","EO","Undeclared","45","40","27700","29350"
"In post","2021","60-64","Legal","EO","Unknown","30","25","28710","28430"
"In post","2021","60-64","Legal","G6/G7","Heterosexual / straight","215","180","62650","62590"
"In post","2021","60-64","Legal","G6/G7","LGBO","15","10","[c]","[c]"
"In post","2021","60-64","Legal","G6/G7","Undeclared","25","20","[c]","[c]"
"In post","2021","60-64","Legal","G6/G7","Unknown","95","80","62840","62120"
"In post","2021","60-64","Legal","SCS level","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","60-64","Legal","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Legal","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Legal","SCS level","Unknown","5","5","[c]","[c]"
"In post","2021","60-64","Legal","SEO/HEO","Heterosexual / straight","110","90","42150","41830"
"In post","2021","60-64","Legal","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Legal","SEO/HEO","Undeclared","40","30","41670","45190"
"In post","2021","60-64","Legal","SEO/HEO","Unknown","25","20","[c]","[c]"
"In post","2021","60-64","Legal","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Legal","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Legal","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","60-64","No function","AA/AO","Heterosexual / straight","3805","3060","22120","21400"
"In post","2021","60-64","No function","AA/AO","LGBO","105","85","22220","21440"
"In post","2021","60-64","No function","AA/AO","Undeclared","725","545","21720","21440"
"In post","2021","60-64","No function","AA/AO","Unknown","1775","1340","22900","21440"
"In post","2021","60-64","No function","EO","Heterosexual / straight","1560","1270","28630","27880"
"In post","2021","60-64","No function","EO","LGBO","35","30","28180","27810"
"In post","2021","60-64","No function","EO","Undeclared","410","325","28330","27380"
"In post","2021","60-64","No function","EO","Unknown","650","495","29490","28130"
"In post","2021","60-64","No function","G6/G7","Heterosexual / straight","650","575","62200","59540"
"In post","2021","60-64","No function","G6/G7","LGBO","20","20","[c]","[c]"
"In post","2021","60-64","No function","G6/G7","Undeclared","105","95","63620","59540"
"In post","2021","60-64","No function","G6/G7","Unknown","170","155","60580","58430"
"In post","2021","60-64","No function","SCS level","Heterosexual / straight","130","115","105210","98870"
"In post","2021","60-64","No function","SCS level","LGBO","5","5","[c]","[c]"
"In post","2021","60-64","No function","SCS level","Undeclared","25","20","[c]","[c]"
"In post","2021","60-64","No function","SCS level","Unknown","30","25","[c]","[c]"
"In post","2021","60-64","No function","SEO/HEO","Heterosexual / straight","1600","1325","38600","36710"
"In post","2021","60-64","No function","SEO/HEO","LGBO","40","35","38860","38160"
"In post","2021","60-64","No function","SEO/HEO","Undeclared","285","225","38270","36180"
"In post","2021","60-64","No function","SEO/HEO","Unknown","465","375","38740","37290"
"In post","2021","60-64","No function","Unknown","Heterosexual / straight","765","660","30400","28200"
"In post","2021","60-64","No function","Unknown","LGBO","30","25","[c]","[c]"
"In post","2021","60-64","No function","Unknown","Undeclared","105","90","33470","35260"
"In post","2021","60-64","No function","Unknown","Unknown","60","50","29390","28200"
"In post","2021","60-64","Project Delivery","AA/AO","Heterosexual / straight","30","25","[c]","[c]"
"In post","2021","60-64","Project Delivery","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Project Delivery","AA/AO","Undeclared","10","10","[c]","[c]"
"In post","2021","60-64","Project Delivery","AA/AO","Unknown","15","15","[c]","[c]"
"In post","2021","60-64","Project Delivery","EO","Heterosexual / straight","270","240","25210","26250"
"In post","2021","60-64","Project Delivery","EO","LGBO","5","5","[c]","[c]"
"In post","2021","60-64","Project Delivery","EO","Undeclared","75","65","25770","26670"
"In post","2021","60-64","Project Delivery","EO","Unknown","45","40","26720","26670"
"In post","2021","60-64","Project Delivery","G6/G7","Heterosexual / straight","285","255","60080","58530"
"In post","2021","60-64","Project Delivery","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Project Delivery","G6/G7","Undeclared","45","40","59400","57930"
"In post","2021","60-64","Project Delivery","G6/G7","Unknown","50","40","57800","58700"
"In post","2021","60-64","Project Delivery","SCS level","Heterosexual / straight","40","35","104380","94570"
"In post","2021","60-64","Project Delivery","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Project Delivery","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2021","60-64","Project Delivery","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Project Delivery","SEO/HEO","Heterosexual / straight","750","675","37680","37920"
"In post","2021","60-64","Project Delivery","SEO/HEO","LGBO","5","5","[c]","[c]"
"In post","2021","60-64","Project Delivery","SEO/HEO","Undeclared","165","145","38820","38630"
"In post","2021","60-64","Project Delivery","SEO/HEO","Unknown","90","80","38600","38510"
"In post","2021","60-64","Project Delivery","Unknown","Heterosexual / straight","65","60","45990","43490"
"In post","2021","60-64","Project Delivery","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Project Delivery","Unknown","Undeclared","15","15","[c]","[c]"
"In post","2021","60-64","Project Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Property","AA/AO","Heterosexual / straight","180","160","20250","19850"
"In post","2021","60-64","Property","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2021","60-64","Property","AA/AO","Undeclared","30","30","[c]","[c]"
"In post","2021","60-64","Property","AA/AO","Unknown","115","105","22990","22920"
"In post","2021","60-64","Property","EO","Heterosexual / straight","130","115","27990","26990"
"In post","2021","60-64","Property","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Property","EO","Undeclared","20","15","[c]","[c]"
"In post","2021","60-64","Property","EO","Unknown","40","40","29510","29290"
"In post","2021","60-64","Property","G6/G7","Heterosexual / straight","90","80","59890","58030"
"In post","2021","60-64","Property","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Property","G6/G7","Undeclared","10","10","[c]","[c]"
"In post","2021","60-64","Property","G6/G7","Unknown","15","15","[c]","[c]"
"In post","2021","60-64","Property","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","60-64","Property","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Property","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Property","SEO/HEO","Heterosexual / straight","295","265","38010","36520"
"In post","2021","60-64","Property","SEO/HEO","LGBO","5","5","[c]","[c]"
"In post","2021","60-64","Property","SEO/HEO","Undeclared","55","50","39500","40580"
"In post","2021","60-64","Property","SEO/HEO","Unknown","45","40","40710","42270"
"In post","2021","60-64","Property","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Property","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Security","AA/AO","Heterosexual / straight","435","395","23250","20060"
"In post","2021","60-64","Security","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2021","60-64","Security","AA/AO","Undeclared","70","65","27440","21100"
"In post","2021","60-64","Security","AA/AO","Unknown","40","35","27700","21580"
"In post","2021","60-64","Security","EO","Heterosexual / straight","70","65","28980","26670"
"In post","2021","60-64","Security","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Security","EO","Undeclared","10","10","[c]","[c]"
"In post","2021","60-64","Security","EO","Unknown","15","15","[c]","[c]"
"In post","2021","60-64","Security","G6/G7","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","60-64","Security","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Security","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Security","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2021","60-64","Security","SEO/HEO","Heterosexual / straight","75","70","39370","34640"
"In post","2021","60-64","Security","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Security","SEO/HEO","Undeclared","20","15","[c]","[c]"
"In post","2021","60-64","Security","SEO/HEO","Unknown","20","15","[c]","[c]"
"In post","2021","60-64","Unknown","AA/AO","Heterosexual / straight","4010","3365","21330","21010"
"In post","2021","60-64","Unknown","AA/AO","LGBO","95","80","21410","21010"
"In post","2021","60-64","Unknown","AA/AO","Undeclared","675","560","21440","21010"
"In post","2021","60-64","Unknown","AA/AO","Unknown","1165","920","21360","21010"
"In post","2021","60-64","Unknown","EO","Heterosexual / straight","4110","3245","28160","27570"
"In post","2021","60-64","Unknown","EO","LGBO","135","105","28360","27570"
"In post","2021","60-64","Unknown","EO","Undeclared","740","570","28190","27570"
"In post","2021","60-64","Unknown","EO","Unknown","1180","885","28130","27570"
"In post","2021","60-64","Unknown","G6/G7","Heterosexual / straight","470","415","62980","61010"
"In post","2021","60-64","Unknown","G6/G7","LGBO","15","15","[c]","[c]"
"In post","2021","60-64","Unknown","G6/G7","Undeclared","80","75","63130","61480"
"In post","2021","60-64","Unknown","G6/G7","Unknown","125","105","64000","61010"
"In post","2021","60-64","Unknown","SCS level","Heterosexual / straight","70","65","101680","87410"
"In post","2021","60-64","Unknown","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Unknown","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2021","60-64","Unknown","SCS level","Unknown","20","20","[c]","[c]"
"In post","2021","60-64","Unknown","SEO/HEO","Heterosexual / straight","1480","1245","37620","36300"
"In post","2021","60-64","Unknown","SEO/HEO","LGBO","35","30","36290","35210"
"In post","2021","60-64","Unknown","SEO/HEO","Undeclared","275","240","37640","36460"
"In post","2021","60-64","Unknown","SEO/HEO","Unknown","295","240","38420","36380"
"In post","2021","60-64","Unknown","Unknown","Heterosexual / straight","35","35","[c]","[c]"
"In post","2021","60-64","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Unknown","Unknown","Undeclared","15","15","[c]","[c]"
"In post","2021","60-64","Unknown","Unknown","Unknown","125","125","39990","37000"
"In post","2021","65+","Analysis","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","65+","Analysis","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Analysis","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","65+","Analysis","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","65+","Analysis","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Analysis","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","65+","Analysis","EO","Unknown","10","5","[c]","[c]"
"In post","2021","65+","Analysis","G6/G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","65+","Analysis","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Analysis","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","65+","Analysis","G6/G7","Unknown","10","5","[c]","[c]"
"In post","2021","65+","Analysis","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","65+","Analysis","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Analysis","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","65+","Analysis","SEO/HEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","65+","Analysis","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Analysis","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","65+","Analysis","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","65+","Commercial","AA/AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","65+","Commercial","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Commercial","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","65+","Commercial","AA/AO","Unknown","10","5","[c]","[c]"
"In post","2021","65+","Commercial","EO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","65+","Commercial","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Commercial","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","65+","Commercial","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","65+","Commercial","G6/G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","65+","Commercial","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Commercial","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","65+","Commercial","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2021","65+","Commercial","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","65+","Commercial","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Commercial","SCS level","Unknown","5","5","[c]","[c]"
"In post","2021","65+","Commercial","SEO/HEO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","65+","Commercial","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Commercial","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","65+","Commercial","SEO/HEO","Unknown","10","5","[c]","[c]"
"In post","2021","65+","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","65+","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Communications","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","65+","Communications","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Communications","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","65+","Communications","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","65+","Communications","EO","Heterosexual / straight","30","25","[c]","[c]"
"In post","2021","65+","Communications","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Communications","EO","Undeclared","5","5","[c]","[c]"
"In post","2021","65+","Communications","EO","Unknown","15","10","[c]","[c]"
"In post","2021","65+","Communications","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","65+","Communications","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Communications","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","65+","Communications","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","65+","Communications","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Communications","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","65+","Communications","SEO/HEO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","65+","Communications","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Communications","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","65+","Communications","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","65+","Counter Fraud","AA/AO","Heterosexual / straight","25","20","[c]","[c]"
"In post","2021","65+","Counter Fraud","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Counter Fraud","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2021","65+","Counter Fraud","AA/AO","Unknown","15","10","[c]","[c]"
"In post","2021","65+","Counter Fraud","EO","Heterosexual / straight","35","20","28620","28130"
"In post","2021","65+","Counter Fraud","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Counter Fraud","EO","Undeclared","5","5","[c]","[c]"
"In post","2021","65+","Counter Fraud","EO","Unknown","10","10","[c]","[c]"
"In post","2021","65+","Counter Fraud","G6/G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","65+","Counter Fraud","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Counter Fraud","G6/G7","Undeclared","5","5","[c]","[c]"
"In post","2021","65+","Counter Fraud","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2021","65+","Counter Fraud","SEO/HEO","Heterosexual / straight","40","30","37950","36060"
"In post","2021","65+","Counter Fraud","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Counter Fraud","SEO/HEO","Undeclared","10","5","[c]","[c]"
"In post","2021","65+","Counter Fraud","SEO/HEO","Unknown","20","15","[c]","[c]"
"In post","2021","65+","Debt","AA/AO","Heterosexual / straight","50","40","22620","21440"
"In post","2021","65+","Debt","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Debt","AA/AO","Undeclared","15","10","[c]","[c]"
"In post","2021","65+","Debt","AA/AO","Unknown","35","30","22290","21440"
"In post","2021","65+","Debt","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","65+","Debt","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Debt","EO","Undeclared","5","5","[c]","[c]"
"In post","2021","65+","Debt","EO","Unknown","10","5","[c]","[c]"
"In post","2021","65+","Debt","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","65+","Debt","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Debt","SEO/HEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","65+","Debt","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Debt","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","65+","Debt","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","65+","Digital, Data & Technology","AA/AO","Heterosexual / straight","15","10","[c]","[c]"
"In post","2021","65+","Digital, Data & Technology","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Digital, Data & Technology","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","65+","Digital, Data & Technology","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2021","65+","Digital, Data & Technology","EO","Heterosexual / straight","25","20","[c]","[c]"
"In post","2021","65+","Digital, Data & Technology","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Digital, Data & Technology","EO","Undeclared","5","5","[c]","[c]"
"In post","2021","65+","Digital, Data & Technology","EO","Unknown","10","5","[c]","[c]"
"In post","2021","65+","Digital, Data & Technology","G6/G7","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","65+","Digital, Data & Technology","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Digital, Data & Technology","G6/G7","Undeclared","5","5","[c]","[c]"
"In post","2021","65+","Digital, Data & Technology","G6/G7","Unknown","15","10","[c]","[c]"
"In post","2021","65+","Digital, Data & Technology","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","65+","Digital, Data & Technology","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Digital, Data & Technology","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","65+","Digital, Data & Technology","SEO/HEO","Heterosexual / straight","50","40","39790","36900"
"In post","2021","65+","Digital, Data & Technology","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Digital, Data & Technology","SEO/HEO","Undeclared","10","10","[c]","[c]"
"In post","2021","65+","Digital, Data & Technology","SEO/HEO","Unknown","25","25","[c]","[c]"
"In post","2021","65+","Digital, Data & Technology","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","65+","Digital, Data & Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","65+","Finance","AA/AO","Heterosexual / straight","40","30","21550","21440"
"In post","2021","65+","Finance","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Finance","AA/AO","Undeclared","10","5","[c]","[c]"
"In post","2021","65+","Finance","AA/AO","Unknown","25","20","[c]","[c]"
"In post","2021","65+","Finance","EO","Heterosexual / straight","40","35","28160","27940"
"In post","2021","65+","Finance","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Finance","EO","Undeclared","10","5","[c]","[c]"
"In post","2021","65+","Finance","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","65+","Finance","G6/G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","65+","Finance","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Finance","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","65+","Finance","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","65+","Finance","SEO/HEO","Heterosexual / straight","40","35","40600","40330"
"In post","2021","65+","Finance","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Finance","SEO/HEO","Undeclared","5","5","[c]","[c]"
"In post","2021","65+","Finance","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2021","65+","Grants Management","AA/AO","Heterosexual / straight","15","10","[c]","[c]"
"In post","2021","65+","Grants Management","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Grants Management","AA/AO","Unknown","15","10","[c]","[c]"
"In post","2021","65+","Grants Management","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","65+","Grants Management","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Grants Management","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","65+","Grants Management","EO","Unknown","5","5","[c]","[c]"
"In post","2021","65+","Grants Management","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","65+","Grants Management","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Grants Management","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","65+","Human Resources","AA/AO","Heterosexual / straight","35","30","21460","21280"
"In post","2021","65+","Human Resources","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Human Resources","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2021","65+","Human Resources","AA/AO","Unknown","10","5","[c]","[c]"
"In post","2021","65+","Human Resources","EO","Heterosexual / straight","15","10","[c]","[c]"
"In post","2021","65+","Human Resources","EO","LGBO","[c]","[c]","[c]","[c]"
