"Status","Year","Function_of_post","Organisation","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Operational Research","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Operational Research","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Unknown","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Unknown","G7","10","10","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Unknown","HEO","10","10","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Commercial","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","AA","5","5","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","AO","35","35","21170","21050"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","EO","95","90","25060","24920"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","G6","20","20","61530","59120"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","G7","65","60","48640","48080"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","HEO","150","145","29750","29270"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","SEO","105","100","37230","36580"
"In post","2021","Analysis","Charity Commission","Intelligence Analysis","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Intelligence Analysis","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Operational Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Operational Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Other","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Other","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Policy","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Policy","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Economics","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Economics","G6","25","25","76490","75140"
"In post","2021","Analysis","Competition and Markets Authority","Economics","G7","35","30","58040","56360"
"In post","2021","Analysis","Competition and Markets Authority","Economics","HEO","25","25","34170","33610"
"In post","2021","Analysis","Competition and Markets Authority","Economics","SCS level","10","10","110350","101610"
"In post","2021","Analysis","Competition and Markets Authority","Intelligence Analysis","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Intelligence Analysis","G7","10","10","57040","56360"
"In post","2021","Analysis","Competition and Markets Authority","Intelligence Analysis","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Intelligence Analysis","SEO","15","15","44430","43880"
"In post","2021","Analysis","Competition and Markets Authority","Statistics","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Statistics","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Statistics","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Digital, Data and Technology","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Digital, Data and Technology","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Digital, Data and Technology","HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Digital, Data and Technology","SEO","5","5","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Digital, Data and Technology","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Digital, Data and Technology","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Digital, Data and Technology","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Operational Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Operational Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Operational Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Operational Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Policy","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Policy","G7","5","5","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Policy","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Policy","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Electronics and Components Agency","Knowledge and Information Management","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Commercial","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Commercial","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Digital, Data and Technology","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Digital, Data and Technology","SEO","[c]","[c]","[c]","[c]"
