"Status","Year","Function_of_post","Organisation","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Intelligence Analysis","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Intelligence Analysis","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Intelligence Analysis","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Knowledge and Information Management","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Operational Delivery","G7","10","10","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Operational Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Operational Delivery","SEO","10","10","37320","37320"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Operational Research","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Operational Research","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Operational Research","G7","135","125","48790","46130"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Operational Research","HEO","45","45","28770","28650"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Operational Research","SEO","70","65","37710","37320"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Project Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Project Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Science and Engineering","G7","40","40","50010","46090"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Science and Engineering","HEO","55","55","27870","28650"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Science and Engineering","SEO","60","55","37110","37320"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Statistics","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Statistics","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Statistics","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Statistics","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data and Technology","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data and Technology","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","EO","25","25","28930","27680"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","G6","10","10","74800","71210"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","G7","25","25","58890","57730"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","HEO","120","120","35320","34090"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","SEO","10","10","46620","45750"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","SEO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Research","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Research","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Research","G7","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Research","HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","G7","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","HEO","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","AO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","G7","10","10","57460","57850"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Commercial","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Economics","AA","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Economics","G6","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Economics","G7","30","30","60120","59730"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Economics","HEO","35","30","42500","42020"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Operational Research","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Operational Research","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Operational Research","HEO","10","10","39420","42020"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Science and Engineering","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Science and Engineering","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Social Research","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Social Research","G7","15","15","61370","60130"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Social Research","HEO","10","10","47310","42280"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Statistics","AA","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Statistics","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Statistics","G7","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Statistics","HEO","10","10","43390","42280"
"In post","2021","Analysis","Department for Education (excl. agencies)","Digital, Data and Technology","EO","15","15","27800","26000"
"In post","2021","Analysis","Department for Education (excl. agencies)","Digital, Data and Technology","G6","10","10","64800","63090"
"In post","2021","Analysis","Department for Education (excl. agencies)","Digital, Data and Technology","G7","35","35","52510","51520"
"In post","2021","Analysis","Department for Education (excl. agencies)","Digital, Data and Technology","HEO","30","30","34350","33570"
"In post","2021","Analysis","Department for Education (excl. agencies)","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Digital, Data and Technology","SEO","50","45","43060","42420"
"In post","2021","Analysis","Department for Education (excl. agencies)","Policy","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Policy","EO","15","15","29780","30000"
"In post","2021","Analysis","Department for Education (excl. agencies)","Policy","G6","15","15","65000","65370"
"In post","2021","Analysis","Department for Education (excl. agencies)","Policy","G7","70","65","53420","53760"
"In post","2021","Analysis","Department for Education (excl. agencies)","Policy","HEO","65","65","35060","34050"
"In post","2021","Analysis","Department for Education (excl. agencies)","Policy","SEO","90","85","44140","45250"
"In post","2021","Analysis","Department for Education (excl. agencies)","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Statistics","AO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Statistics","EO","10","10","26240","25970"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Statistics","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Statistics","G7","15","15","53210","52090"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Statistics","HEO","25","25","31470","31380"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Statistics","SEO","10","10","38330","38110"
"In post","2021","Analysis","Department for International Trade","Economics","AO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Economics","EO","10","10","26430","26380"
"In post","2021","Analysis","Department for International Trade","Economics","G6","10","10","63680","62170"
"In post","2021","Analysis","Department for International Trade","Economics","G7","55","55","51680","51970"
"In post","2021","Analysis","Department for International Trade","Economics","HEO","55","55","30690","31800"
"In post","2021","Analysis","Department for International Trade","Economics","SCS level","5","5","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Economics","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Operational Research","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Operational Research","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Other","EO","10","10","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Other","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Other","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Other","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Policy","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Policy","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Policy","SEO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Social Research","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Social Research","G7","10","10","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Social Research","HEO","10","10","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Social Research","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Statistics","G6","5","5","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Statistics","G7","15","15","48450","51970"
"In post","2021","Analysis","Department for International Trade","Statistics","HEO","10","10","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Statistics","SEO","15","15","39850","39590"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Commercial","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Commercial","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Commercial","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Corporate Finance","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Corporate Finance","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Digital, Data and Technology","G7","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Digital, Data and Technology","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Digital, Data and Technology","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Economics","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Economics","EO","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Economics","G6","15","15","68730","69370"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Economics","G7","70","65","55450","54760"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Economics","HEO","60","60","31990","33990"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Economics","SCS level","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Economics","SEO","10","10","42600","42470"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Operational Research","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Operational Research","G7","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Operational Research","HEO","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Operational Research","SEO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Other","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Other","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Other","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Other","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Policy","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Policy","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Science and Engineering","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Science and Engineering","G7","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Science and Engineering","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Social Research","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Social Research","G7","15","15","55630","54760"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Social Research","HEO","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Social Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Social Research","SEO","15","15","43020","42890"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Statistics","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Statistics","EO","25","20","29720","30270"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Statistics","G6","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Statistics","G7","35","30","55470","54760"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Statistics","HEO","25","25","35160","35060"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Statistics","SEO","25","25","42960","42890"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Intelligence Analysis","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Intelligence Analysis","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Intelligence Analysis","G6","60","55","66560","66230"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Intelligence Analysis","G7","125","125","53560","53360"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Intelligence Analysis","HEO","25","25","31820","32790"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Intelligence Analysis","SEO","15","10","41060","41220"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Knowledge and Information Management","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Statistics","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Statistics","G7","30","25","53510","53360"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Statistics","HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Statistics","SEO","5","5","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","Digital, Data and Technology","AO","5","5","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","Digital, Data and Technology","EO","15","15","26560","26780"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","Digital, Data and Technology","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","Digital, Data and Technology","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Human Resources","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Knowledge and Information Management","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Knowledge and Information Management","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Knowledge and Information Management","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Knowledge and Information Management","HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Knowledge and Information Management","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Operational Research","AO","10","10","21590","21590"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Operational Research","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Operational Research","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Operational Research","HEO","15","15","32890","33350"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Operational Research","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Education and Skills Funding Agency","Digital, Data and Technology","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Education and Skills Funding Agency","Policy","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Knowledge and Information Management","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Social Research","HEO","[c]","[c]","[c]","[c]"
