"Status","Year","Ethnicity","Profession_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Finance","G6/G7","G7","115","115","56560","56750"
"In post","2021","Asian","Finance","SCS level","SCS level","15","15","[c]","[c]"
"In post","2021","Asian","Finance","SEO/HEO","HEO","210","205","34130","33950"
"In post","2021","Asian","Finance","SEO/HEO","SEO","170","165","42300","41620"
"In post","2021","Asian","Finance","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Human Resources","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","AA/AO","AO","50","45","22660","21490"
"In post","2021","Asian","Human Resources","EO","EO","85","80","27920","27670"
"In post","2021","Asian","Human Resources","G6/G7","G6","15","15","[c]","[c]"
"In post","2021","Asian","Human Resources","G6/G7","G7","50","50","56980","56270"
"In post","2021","Asian","Human Resources","SCS level","SCS level","10","10","[c]","[c]"
"In post","2021","Asian","Human Resources","SEO/HEO","HEO","130","125","33780","34000"
"In post","2021","Asian","Human Resources","SEO/HEO","SEO","70","70","41870","41950"
"In post","2021","Asian","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","G6/G7","G7","10","10","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","AA/AO","AO","20","20","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","EO","EO","105","100","28530","28990"
"In post","2021","Asian","Intelligence Analysis","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","G6/G7","G7","10","10","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","SEO/HEO","HEO","35","35","34780","35200"
"In post","2021","Asian","Intelligence Analysis","SEO/HEO","SEO","15","15","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","EO","EO","10","10","[c]","[c]"
