"Status","Year","Ethnicity","Region_ITL1","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Scotland","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","AO","Undeclared","10","5","[c]","[c]"
"In post","2021","Asian","Scotland","AO","Unknown","20","20","[c]","[c]"
"In post","2021","Asian","Scotland","EO","Heterosexual / straight","105","100","27090","27570"
"In post","2021","Asian","Scotland","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","EO","Undeclared","5","5","[c]","[c]"
"In post","2021","Asian","Scotland","EO","Unknown","15","15","[c]","[c]"
"In post","2021","Asian","Scotland","G6","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Asian","Scotland","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","G7","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Asian","Scotland","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","HEO","Heterosexual / straight","50","50","32230","32140"
"In post","2021","Asian","Scotland","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","HEO","Unknown","10","10","[c]","[c]"
"In post","2021","Asian","Scotland","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","SEO","Heterosexual / straight","65","65","49700","45190"
"In post","2021","Asian","Scotland","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","AA","Heterosexual / straight","85","80","20860","19560"
"In post","2021","Asian","South East (England)","AA","LGBO","5","5","[c]","[c]"
"In post","2021","Asian","South East (England)","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","AA","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","South East (England)","AO","Heterosexual / straight","305","270","23700","22440"
"In post","2021","Asian","South East (England)","AO","LGBO","10","10","[c]","[c]"
"In post","2021","Asian","South East (England)","AO","Undeclared","20","20","[c]","[c]"
"In post","2021","Asian","South East (England)","AO","Unknown","35","25","23470","22080"
"In post","2021","Asian","South East (England)","EO","Heterosexual / straight","435","410","28510","28350"
"In post","2021","Asian","South East (England)","EO","LGBO","10","5","[c]","[c]"
"In post","2021","Asian","South East (England)","EO","Undeclared","30","30","28030","27570"
"In post","2021","Asian","South East (England)","EO","Unknown","55","50","28480","28340"
"In post","2021","Asian","South East (England)","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","G7","Heterosexual / straight","60","55","58130","56540"
"In post","2021","Asian","South East (England)","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","G7","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","South East (England)","HEO","Heterosexual / straight","135","130","34060","33300"
"In post","2021","Asian","South East (England)","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","HEO","Undeclared","10","10","[c]","[c]"
"In post","2021","Asian","South East (England)","HEO","Unknown","15","15","[c]","[c]"
"In post","2021","Asian","South East (England)","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Asian","South East (England)","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","SEO","Heterosexual / straight","90","85","41440","40580"
"In post","2021","Asian","South East (England)","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","SEO","Undeclared","5","5","[c]","[c]"
"In post","2021","Asian","South East (England)","SEO","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","South East (England)","Unknown","Heterosexual / straight","30","30","26640","24020"
"In post","2021","Asian","South East (England)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","AA","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Asian","South West (England)","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","AO","Heterosexual / straight","85","75","21530","21010"
"In post","2021","Asian","South West (England)","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","AO","Undeclared","5","5","[c]","[c]"
"In post","2021","Asian","South West (England)","AO","Unknown","10","10","[c]","[c]"
"In post","2021","Asian","South West (England)","EO","Heterosexual / straight","140","135","25450","26670"
