"Status","Year","Function_of_post","Organisation","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","G6/G7","10","10","57550","54700"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","AA/AO","40","40","20750","21050"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","EO","95","90","25060","24920"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","G6/G7","90","85","51850","48080"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SEO/HEO","260","245","32850","30220"
"In post","2021","Analysis","Charity Commission","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Charity Commission","SEO/HEO","10","10","34440","32810"
"In post","2021","Analysis","Competition and Markets Authority","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Competition and Markets Authority","G6/G7","80","75","65500","61590"
"In post","2021","Analysis","Competition and Markets Authority","Competition and Markets Authority","SCS level","10","10","109610","101590"
"In post","2021","Analysis","Competition and Markets Authority","Competition and Markets Authority","SEO/HEO","40","40","37930","34870"
"In post","2021","Analysis","Crown Prosecution Service","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Attorney General's Departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Attorney General's Departments","SEO/HEO","10","10","36750","38180"
"In post","2021","Analysis","Debt Management Office","HM Treasury","G6/G7","15","15","72040","67790"
"In post","2021","Analysis","Debt Management Office","HM Treasury","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","HM Treasury","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Analysis","Defence Electronics and Components Agency","Ministry of Defence","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","G6/G7","200","190","49100","46130"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","SEO/HEO","255","245","33750","37320"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","AA/AO","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","EO","30","30","29180","27680"
