"Status","Year","Age","Function_of_post","Region_ITL1","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Analysis","London","London","20","20","26850","26510"
"In post","2021","16-19","Analysis","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","London","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","South West (England)","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Communications","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","London","London","5","5","[c]","[c]"
"In post","2021","16-19","Communications","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","North East (England)","Outside London","15","15","20140","20140"
"In post","2021","16-19","Debt","North West (England)","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Debt","Scotland","Outside London","20","20","20410","20140"
"In post","2021","16-19","Debt","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","West Midlands (England)","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Debt","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","South West (England)","Outside London","10","10","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Wales","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","London","London","5","5","[c]","[c]"
"In post","2021","16-19","Finance","North West (England)","Outside London","[c]","[c]","[c]","[c]"
