"Status","Year","Age","Function_of_post","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Analysis","Digital, Data and Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Economics","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","16-19","Analysis","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Economics","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Analysis","Operational Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Operational Research","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Statistics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Statistics","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Commercial","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Commercial","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Knowledge and Information Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Operational Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Operational Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Tax","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Tax","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Operational Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Operational Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Operational Delivery","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Debt","Tax","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","16-19","Debt","Tax","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Tax","Unknown","30","25","[c]","[c]"
"In post","2021","16-19","Debt","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Unknown","Unknown","[c]","[c]","[c]","[c]"
