"Status","Year","Function_of_post","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Attorney General's Departments","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Male","20","20","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Female","65","60","64330","65470"
"In post","2021","Analysis","Chancellor's other departments","Male","120","115","70090","59150"
"In post","2021","Analysis","Charity Commission","Female","10","5","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Female","55","50","57500","56360"
"In post","2021","Analysis","Competition and Markets Authority","Male","80","80","62080","56630"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Female","120","115","43070","35640"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Male","210","210","44140","38570"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Female","55","50","53780","59730"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Male","90","85","51690","43280"
"In post","2021","Analysis","Department for Education","Female","220","200","43850","42580"
"In post","2021","Analysis","Department for Education","Male","190","190","44950","44430"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Female","255","235","32170","29270"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Male","335","325","35700","30400"
"In post","2021","Analysis","Department for International Trade","Female","100","100","41910","38160"
"In post","2021","Analysis","Department for International Trade","Male","150","145","44020","40330"
"In post","2021","Analysis","Department for Transport","Female","205","195","44920","42890"
"In post","2021","Analysis","Department for Transport","Male","280","275","42850","39770"
"In post","2021","Analysis","Department for Work and Pensions","Female","20","15","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","Male","15","15","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","Female","145","135","52140","53360"
"In post","2021","Analysis","Department of Health and Social Care","Male","145","145","51970","53360"
"In post","2021","Analysis","ESTYN","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Female","20","20","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","Female","25","20","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","Male","45","45","57260","55020"
"In post","2021","Analysis","HM Land Registry","Female","10","10","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Male","10","10","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Female","305","285","44340","38630"
"In post","2021","Analysis","HM Revenue and Customs","Male","385","375","44180","38630"
"In post","2021","Analysis","HM Treasury","Female","50","50","57500","54170"
"In post","2021","Analysis","HM Treasury","Male","105","105","51590","52530"
"In post","2021","Analysis","Ministry of Defence","Female","230","215","38680","37320"
"In post","2021","Analysis","Ministry of Defence","Male","425","415","41140","38500"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","Female","75","75","46550","42980"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","Male","130","130","46350","46240"
"In post","2021","Analysis","Ministry of Justice","Female","200","190","45030","40480"
"In post","2021","Analysis","Ministry of Justice","Male","210","210","45320","40830"
"In post","2021","Analysis","Office for Standards in Education","Female","85","75","40340","35010"
"In post","2021","Analysis","Office for Standards in Education","Male","70","70","39160","35010"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Female","20","20","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Male","45","45","55030","52000"
"In post","2021","Analysis","Office of Rail and Road","Female","15","15","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","Male","35","30","54070","55430"
"In post","2021","Analysis","Scottish Government","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Scottish Government","Male","15","15","[c]","[c]"
"In post","2021","Analysis","UK Export Finance","Female","10","10","[c]","[c]"
"In post","2021","Analysis","UK Export Finance","Male","15","15","[c]","[c]"
"In post","2021","Analysis","United Kingdom Statistics Authority","Female","915","855","36230","33020"
"In post","2021","Analysis","United Kingdom Statistics Authority","Male","755","740","38310","36030"
"In post","2021","Analysis","United Kingdom Statistics Authority","Unknown","35","35","33970","32540"
"In post","2021","Analysis","Wales Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","Female","15","15","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","Male","20","20","[c]","[c]"
"In post","2021","Analysis","Welsh Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Welsh Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","Female","15","15","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","Male","10","10","[c]","[c]"
"In post","2021","Commercial","Cabinet Office","Female","665","645","66570","62250"
"In post","2021","Commercial","Cabinet Office","Male","750","750","74230","65440"
"In post","2021","Commercial","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chancellor's other departments","Male","10","10","[c]","[c]"
"In post","2021","Commercial","Charity Commission","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","Male","5","5","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Female","130","125","40940","39270"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Male","115","115","45590","47400"
