"Status","Year","Parent_department","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","AA/AO","AA","15","15","19760","20180"
"In post","2021","Attorney General's Departments","AA/AO","AO","1520","1395","22340","21950"
"In post","2021","Attorney General's Departments","EO","EO","1760","1640","28060","28430"
"In post","2021","Attorney General's Departments","G6/G7","G6","1085","1015","69080","67170"
"In post","2021","Attorney General's Departments","G6/G7","G7","3685","3395","55400","54390"
"In post","2021","Attorney General's Departments","SCS level","SCS level","310","295","87560","82500"
"In post","2021","Attorney General's Departments","SEO/HEO","HEO","1070","1030","35300","34480"
"In post","2021","Attorney General's Departments","SEO/HEO","SEO","380","375","40290","39750"
"In post","2021","Attorney General's Departments","Unknown","Unknown","10","10","39350","36360"
"In post","2021","Cabinet Office","AA/AO","AO","555","515","21810","20920"
"In post","2021","Cabinet Office","EO","EO","885","860","27210","27500"
"In post","2021","Cabinet Office","G6/G7","G6","845","835","70530","66730"
"In post","2021","Cabinet Office","G6/G7","G7","2180","2135","55360","54700"
"In post","2021","Cabinet Office","SCS level","SCS level","970","955","92190","78420"
"In post","2021","Cabinet Office","SEO/HEO","HEO","3265","3235","32060","32000"
"In post","2021","Cabinet Office","SEO/HEO","SEO","750","735","40570","40600"
"In post","2021","Chancellor's other departments","AA/AO","AA","5","5","[c]","[c]"
"In post","2021","Chancellor's other departments","AA/AO","AO","15","15","23140","23030"
"In post","2021","Chancellor's other departments","EO","EO","35","35","29760","29500"
"In post","2021","Chancellor's other departments","G6/G7","G6","115","105","88960","82360"
"In post","2021","Chancellor's other departments","G6/G7","G7","70","70","55580","56480"
"In post","2021","Chancellor's other departments","SCS level","SCS level","20","20","116130","107250"
"In post","2021","Chancellor's other departments","SEO/HEO","HEO","70","70","36580","36500"
"In post","2021","Chancellor's other departments","SEO/HEO","SEO","80","75","45800","45530"
"In post","2021","Charity Commission","AA/AO","AO","20","15","20130","19950"
"In post","2021","Charity Commission","EO","EO","110","100","24760","24440"
"In post","2021","Charity Commission","G6/G7","G6","20","20","63180","62480"
"In post","2021","Charity Commission","G6/G7","G7","45","45","52300","51070"
"In post","2021","Charity Commission","SCS level","SCS level","5","5","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","HEO","140","135","29430","29160"
"In post","2021","Charity Commission","SEO/HEO","SEO","95","95","38310","37910"
"In post","2021","Competition and Markets Authority","AA/AO","AO","25","25","23300","22860"
"In post","2021","Competition and Markets Authority","EO","EO","75","75","28540","28070"
"In post","2021","Competition and Markets Authority","G6/G7","G6","195","185","76550","75270"
"In post","2021","Competition and Markets Authority","G6/G7","G7","235","225","57760","56360"
"In post","2021","Competition and Markets Authority","SCS level","SCS level","110","110","109380","101280"
"In post","2021","Competition and Markets Authority","SEO/HEO","HEO","145","140","35310","34870"
"In post","2021","Competition and Markets Authority","SEO/HEO","SEO","55","55","44350","43880"
"In post","2021","Department for Business, Energy and Industrial Strategy","AA/AO","AA","95","85","19340","18900"
"In post","2021","Department for Business, Energy and Industrial Strategy","AA/AO","AO","1405","1290","21780","21000"
"In post","2021","Department for Business, Energy and Industrial Strategy","EO","EO","1945","1855","26470","26290"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","G6","940","905","66910","64990"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","G7","2675","2600","54590","53600"
"In post","2021","Department for Business, Energy and Industrial Strategy","SCS level","SCS level","390","380","83560","75540"
"In post","2021","Department for Business, Energy and Industrial Strategy","SEO/HEO","HEO","3020","2915","34130","33570"
"In post","2021","Department for Business, Energy and Industrial Strategy","SEO/HEO","SEO","2690","2595","41960","40220"
"In post","2021","Department for Digital, Culture, Media and Sport","AA/AO","AA","10","10","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","EO","EO","180","175","27400","26180"
"In post","2021","Department for Digital, Culture, Media and Sport","G6/G7","G6","200","195","66530","65000"
"In post","2021","Department for Digital, Culture, Media and Sport","G6/G7","G7","600","590","56020","52250"
"In post","2021","Department for Digital, Culture, Media and Sport","SCS level","SCS level","120","115","86600","76510"
"In post","2021","Department for Digital, Culture, Media and Sport","SEO/HEO","HEO","665","655","37010","34020"
"In post","2021","Department for Education","AA/AO","AO","110","105","21880","21000"
"In post","2021","Department for Education","EO","EO","960","925","26680","26000"
"In post","2021","Department for Education","G6/G7","G6","925","890","64970","64530"
"In post","2021","Department for Education","G6/G7","G7","1965","1895","52510","50850"
"In post","2021","Department for Education","SCS level","SCS level","300","285","84160","75030"
"In post","2021","Department for Education","SEO/HEO","HEO","1700","1645","31560","30200"
"In post","2021","Department for Education","SEO/HEO","SEO","1965","1895","39210","37100"
"In post","2021","Department for Education","Unknown","Unknown","10","10","38540","38180"
"In post","2021","Department for Environment, Food and Rural Affairs","AA/AO","AA","20","20","19160","18530"
"In post","2021","Department for Environment, Food and Rural Affairs","AA/AO","AO","2015","1840","21540","21050"
"In post","2021","Department for Environment, Food and Rural Affairs","EO","EO","2055","1935","26230","25330"
"In post","2021","Department for Environment, Food and Rural Affairs","G6/G7","G6","610","590","62490","62130"
"In post","2021","Department for Environment, Food and Rural Affairs","G6/G7","G7","1725","1670","51700","52290"
"In post","2021","Department for Environment, Food and Rural Affairs","SCS level","SCS level","235","225","83690","76850"
"In post","2021","Department for Environment, Food and Rural Affairs","SEO/HEO","HEO","2235","2145","31340","30710"
"In post","2021","Department for Environment, Food and Rural Affairs","SEO/HEO","SEO","2145","2045","38670","37590"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","AA/AO","AO","35","35","24940","25140"
"In post","2021","Department for International Trade","EO","EO","255","250","27360","26510"
"In post","2021","Department for International Trade","G6/G7","G6","295","290","63390","62170"
"In post","2021","Department for International Trade","G6/G7","G7","780","775","52430","51970"
"In post","2021","Department for International Trade","SCS level","SCS level","175","175","86280","76730"
"In post","2021","Department for International Trade","SEO/HEO","HEO","630","625","32290","32120"
"In post","2021","Department for International Trade","SEO/HEO","SEO","520","515","39060","38540"
"In post","2021","Department for Transport","AA/AO","AA","1315","1035","18380","18060"
"In post","2021","Department for Transport","AA/AO","AO","4390","3925","22820","21590"
"In post","2021","Department for Transport","EO","EO","4175","3920","28020","26780"
"In post","2021","Department for Transport","G6/G7","G6","520","505","69980","66230"
"In post","2021","Department for Transport","G6/G7","G7","1355","1320","56660","54760"
"In post","2021","Department for Transport","SCS level","SCS level","230","225","88940","80530"
"In post","2021","Department for Transport","SEO/HEO","HEO","2300","2235","33760","33350"
"In post","2021","Department for Transport","SEO/HEO","SEO","1685","1645","43220","42470"
"In post","2021","Department for Work and Pensions","AA/AO","AA","290","240","20160","20230"
"In post","2021","Department for Work and Pensions","AA/AO","AO","29310","25115","21190","21010"
"In post","2021","Department for Work and Pensions","EO","EO","49020","44370","28120","27570"
"In post","2021","Department for Work and Pensions","G6/G7","G6","870","835","66800","66250"
"In post","2021","Department for Work and Pensions","G6/G7","G7","2415","2315","53990","53000"
"In post","2021","Department for Work and Pensions","SCS level","SCS level","275","270","89630","80800"
"In post","2021","Department for Work and Pensions","SEO/HEO","HEO","7570","7105","33540","32470"
"In post","2021","Department for Work and Pensions","SEO/HEO","SEO","3775","3585","40780","38880"
"In post","2021","Department of Health and Social Care","AA/AO","AA","150","130","20190","19270"
"In post","2021","Department of Health and Social Care","AA/AO","AO","830","740","21530","21570"
"In post","2021","Department of Health and Social Care","EO","EO","1575","1485","26470","27140"
"In post","2021","Department of Health and Social Care","G6/G7","G6","1130","1075","68800","66560"
"In post","2021","Department of Health and Social Care","G6/G7","G7","2530","2425","53370","53360"
"In post","2021","Department of Health and Social Care","SCS level","SCS level","890","805","98740","93000"
"In post","2021","Department of Health and Social Care","SEO/HEO","HEO","2345","2220","32230","32790"
"In post","2021","Department of Health and Social Care","SEO/HEO","SEO","2305","2155","40280","40560"
"In post","2021","ESTYN","AA/AO","AO","10","10","23500","23830"
"In post","2021","ESTYN","EO","EO","25","20","28240","28850"
"In post","2021","ESTYN","G6/G7","G6","65","60","74490","74730"
"In post","2021","ESTYN","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","ESTYN","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","AA/AO","AO","10","10","[c]","[c]"
"In post","2021","Food Standards Agency","EO","EO","435","415","27280","26750"
"In post","2021","Food Standards Agency","G6/G7","G6","45","45","64750","62370"
"In post","2021","Food Standards Agency","G6/G7","G7","175","170","54220","53790"
"In post","2021","Food Standards Agency","SCS level","SCS level","20","20","87140","79230"
"In post","2021","Food Standards Agency","SEO/HEO","HEO","295","290","31890","30810"
"In post","2021","Food Standards Agency","SEO/HEO","SEO","325","320","39730","39300"
"In post","2021","Foreign, Commonwealth and Development Office","AA/AO","AA","5","5","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","AA/AO","AO","590","575","25580","24750"
"In post","2021","Foreign, Commonwealth and Development Office","EO","EO","970","940","29500","29300"
"In post","2021","Foreign, Commonwealth and Development Office","G6/G7","G6","1085","1065","67560","67370"
"In post","2021","Foreign, Commonwealth and Development Office","G6/G7","G7","2190","2130","55630","55620"
"In post","2021","Foreign, Commonwealth and Development Office","SCS level","SCS level","560","550","86520","78010"
"In post","2021","Foreign, Commonwealth and Development Office","SEO/HEO","HEO","2205","2170","35670","34770"
"In post","2021","Foreign, Commonwealth and Development Office","SEO/HEO","SEO","980","965","43100","42890"
"In post","2021","Foreign, Commonwealth and Development Office","Unknown","Unknown","45","45","22640","21600"
"In post","2021","HM Land Registry","AA/AO","AA","30","30","20740","21040"
"In post","2021","HM Land Registry","AA/AO","AO","1820","1725","22490","22350"
"In post","2021","HM Land Registry","EO","EO","2155","1885","27500","27130"
"In post","2021","HM Land Registry","G6/G7","G6","55","55","72870","73760"
"In post","2021","HM Land Registry","G6/G7","G7","240","225","60130","60520"
"In post","2021","HM Land Registry","SCS level","SCS level","25","25","92210","82040"
"In post","2021","HM Land Registry","SEO/HEO","HEO","1285","1135","34730","33840"
"In post","2021","HM Land Registry","SEO/HEO","SEO","740","685","42070","40860"
"In post","2021","HM Revenue and Customs","AA/AO","AA","985","775","20090","20070"
"In post","2021","HM Revenue and Customs","AA/AO","AO","20615","17960","20790","20140"
"In post","2021","HM Revenue and Customs","EO","EO","15640","14435","26440","25560"
"In post","2021","HM Revenue and Customs","G6/G7","G6","2080","1995","66980","64670"
"In post","2021","HM Revenue and Customs","G6/G7","G7","5625","5415","53710","52580"
"In post","2021","HM Revenue and Customs","SCS level","SCS level","505","495","85610","78860"
"In post","2021","HM Revenue and Customs","SEO/HEO","HEO","13950","13245","32660","31810"
"In post","2021","HM Revenue and Customs","SEO/HEO","SEO","7080","6770","39460","38630"
"In post","2021","HM Treasury","AA/AO","AO","70","70","22490","22500"
"In post","2021","HM Treasury","EO","EO","240","235","27030","26750"
"In post","2021","HM Treasury","G6/G7","G6","360","350","67280","64700"
"In post","2021","HM Treasury","G6/G7","G7","765","745","55140","52840"
"In post","2021","HM Treasury","SCS level","SCS level","185","175","86580","77660"
"In post","2021","HM Treasury","SEO/HEO","HEO","865","855","34450","32960"
"In post","2021","HM Treasury","SEO/HEO","SEO","190","180","44240","43830"
"In post","2021","Home Office","AA/AO","AA","920","790","19560","17990"
"In post","2021","Home Office","AA/AO","AO","7410","6595","22290","21430"
"In post","2021","Home Office","EO","EO","14365","13185","26950","26070"
"In post","2021","Home Office","G6/G7","G6","895","870","69900","68940"
"In post","2021","Home Office","G6/G7","G7","2470","2420","57540","57460"
"In post","2021","Home Office","SCS level","SCS level","290","285","91800","83790"
"In post","2021","Home Office","SEO/HEO","HEO","5250","5050","33450","33530"
"In post","2021","Home Office","SEO/HEO","SEO","3530","3440","41370","41970"
"In post","2021","Home Office","Unknown","Unknown","250","250","32730","28670"
"In post","2021","Ministry of Defence","AA/AO","AA","5090","4925","19390","19560"
"In post","2021","Ministry of Defence","AA/AO","AO","10825","10375","24420","21580"
"In post","2021","Ministry of Defence","EO","EO","10600","10235","26870","26670"
"In post","2021","Ministry of Defence","G6/G7","G6","1240","1195","69280","67250"
"In post","2021","Ministry of Defence","G6/G7","G7","5095","4905","54810","54540"
"In post","2021","Ministry of Defence","SCS level","SCS level","415","410","93020","86450"
"In post","2021","Ministry of Defence","SEO/HEO","HEO","11475","11130","33410","33300"
