"Status","Year","Disability","Parent_department","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Attorney General's Departments","Bedfordshire and Hertfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Bedfordshire and Hertfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Bedfordshire and Hertfordshire","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Bedfordshire and Hertfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Bedfordshire and Hertfordshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Cheshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Cheshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Cheshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Cheshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Cornwall and Isles of Scilly","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Cornwall and Isles of Scilly","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Cornwall and Isles of Scilly","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Cornwall and Isles of Scilly","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Cumbria","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Cumbria","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Cumbria","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Cumbria","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Derbyshire and Nottinghamshire","AA/AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Derbyshire and Nottinghamshire","EO","10","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Derbyshire and Nottinghamshire","G6/G7","15","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Derbyshire and Nottinghamshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Derbyshire and Nottinghamshire","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Devon","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Devon","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Devon","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Devon","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","East Anglia","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","East Anglia","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","East Anglia","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","East Anglia","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","East Wales","AA/AO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","East Wales","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","East Wales","G6/G7","15","15","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","East Wales","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","East Wales","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","AA/AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Essex","AA/AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Essex","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Essex","G6/G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Essex","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Essex","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","10","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Greater Manchester","AA/AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Greater Manchester","EO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Greater Manchester","G6/G7","20","20","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Greater Manchester","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Greater Manchester","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Hampshire and Isle of Wight","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Hampshire and Isle of Wight","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Hampshire and Isle of Wight","G6/G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Hampshire and Isle of Wight","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Hampshire and Isle of Wight","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Herefordshire, Worcestershire and Warwickshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Inner London - East","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Inner London - East","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Inner London - East","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Inner London - East","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Inner London - West","AA/AO","35","30","23230","23520"
"In post","2021","Declared disabled","Attorney General's Departments","Inner London - West","EO","70","65","29210","29280"
"In post","2021","Declared disabled","Attorney General's Departments","Inner London - West","G6/G7","185","175","61940","62590"
"In post","2021","Declared disabled","Attorney General's Departments","Inner London - West","SCS level","20","20","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Inner London - West","SEO/HEO","45","45","37050","36120"
"In post","2021","Declared disabled","Attorney General's Departments","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Kent","AA/AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Kent","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Kent","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Kent","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Kent","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Lancashire","AA/AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Lancashire","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Lancashire","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Lancashire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Lancashire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","AA/AO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Lincolnshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Lincolnshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Lincolnshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Lincolnshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Merseyside","AA/AO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Merseyside","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Merseyside","G6/G7","20","20","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Merseyside","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Merseyside","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","North Eastern Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","North Yorkshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","North Yorkshire","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","North Yorkshire","G6/G7","25","25","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","North Yorkshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","North Yorkshire","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Northumberland and Tyne and Wear","AA/AO","15","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Northumberland and Tyne and Wear","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Northumberland and Tyne and Wear","G6/G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Northumberland and Tyne and Wear","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Northumberland and Tyne and Wear","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Outer London - East and North East","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Outer London - East and North East","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Outer London - East and North East","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Outer London - East and North East","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Outer London - South","AA/AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Outer London - South","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Outer London - South","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Outer London - South","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Outer London - South","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Outer London - West and North West","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Outer London - West and North West","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Outer London - West and North West","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Outer London - West and North West","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Shropshire and Staffordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Shropshire and Staffordshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Shropshire and Staffordshire","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Shropshire and Staffordshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","South Yorkshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","South Yorkshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","South Yorkshire","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","South Yorkshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Surrey, East and West Sussex","AA/AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Surrey, East and West Sussex","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Surrey, East and West Sussex","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Surrey, East and West Sussex","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Surrey, East and West Sussex","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Tees Valley and Durham","AA/AO","[c]","[c]","[c]","[c]"
