"Status","Year","Age","Profession_of_post","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Commercial","Croydon","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Liverpool","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Milton Keynes","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Nottingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Peterborough","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Westminster","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Wiltshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Cardiff and Vale of Glamorgan","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Greater Manchester South West","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Tower Hamlets","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Westminster","London","5","5","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Berkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Bristol, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Cardiff and Vale of Glamorgan","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Central Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","City of Edinburgh","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Coventry","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Devon CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Milton Keynes","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Monmouthshire and Newport","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Plymouth","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Swansea","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","Monmouthshire and Newport","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","Tower Hamlets","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","Westminster","London","25","25","26130","26250"
"In post","2021","16-19","Finance","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","20","20","19170","19040"
"In post","2021","16-19","Finance","Buckinghamshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","North Lanarkshire","Outside London","10","5","[c]","[c]"
"In post","2021","16-19","Finance","Nottingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Sheffield","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Southend-on-Sea","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Swansea","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Westminster","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Wiltshire","Outside London","[c]","[c]","[c]","[c]"
