"Status","Year","Organisation","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Scottish Government","Outside London","115","105","31670","29190"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","London","200","195","42390","38670"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Outside London","855","795","30910","30950"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","London","110","105","37060","31800"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Outside London","2570","2425","30380","26520"
"In post","2021","Attorney General's Office","Attorney General's Departments","London","45","45","50500","50500"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","London","6500","6410","49780","42260"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Outside London","2355","2270","40750","33300"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","600","595","36250","32000"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Outside London","615","580","34090","29750"
"In post","2021","Charity Commission","Charity Commission","London","75","70","42950","37910"
"In post","2021","Charity Commission","Charity Commission","Outside London","365","345","33200","29160"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","London","5","5","[c]","[c]"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Outside London","1090","1005","30790","25460"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","London","785","760","60810","56630"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Outside London","55","55","56850","55860"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","Outside London","305","280","26120","22640"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","London","70","70","50350","49300"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","Outside London","720","695","36590","34800"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","Outside London","2020","1875","35720","29040"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","London","1690","1595","44520","39750"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Outside London","5050","4665","40270","38000"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Overseas","5","5","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","London","15","15","53250","56160"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","Outside London","10","10","[c]","[c]"
"In post","2021","Debt Management Office","HM Treasury","London","115","110","58680","51550"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","Outside London","440","420","28410","28110"
"In post","2021","Defence Equipment and Support","Ministry of Defence","London","195","190","25910","21960"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Outside London","10455","10100","36560","33800"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Overseas","40","40","43570","42190"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Unknown","5","5","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","London","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Outside London","4380","4220","40430","37410"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","London","4895","4795","49450","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Outside London","420","405","42470","36740"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Unknown","10","10","[c]","[c]"
