"Status","Year","Disability","Region_ITL2","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Outside London","AA/AO","130","120","23430","22390"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Outside London","EO","205","190","29140","29290"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Outside London","G6/G7","25","25","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Outside London","SEO/HEO","95","90","38770","37640"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Outside London","Unknown","55","50","26500","24020"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Outside London","AA/AO","335","320","25160","22920"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Outside London","EO","295","275","29190","27920"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Outside London","G6/G7","60","55","58730","56540"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Outside London","SEO/HEO","230","220","37530","35700"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Unknown","80","75","29760","30210"
"In post","2021","Declared disabled","Cheshire","Outside London","AA/AO","125","110","21950","21010"
"In post","2021","Declared disabled","Cheshire","Outside London","EO","160","145","28140","27570"
"In post","2021","Declared disabled","Cheshire","Outside London","G6/G7","25","25","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","Outside London","SEO/HEO","60","55","36870","36740"
"In post","2021","Declared disabled","Cheshire","Outside London","Unknown","35","30","28540","28200"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","Outside London","AA/AO","90","80","20810","21010"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","Outside London","EO","75","65","27480","27570"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","Outside London","SEO/HEO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","Outside London","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Cumbria","Outside London","AA/AO","100","90","21100","21050"
"In post","2021","Declared disabled","Cumbria","Outside London","EO","65","60","26450","27570"
"In post","2021","Declared disabled","Cumbria","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Cumbria","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cumbria","Outside London","SEO/HEO","45","40","36230","36520"
"In post","2021","Declared disabled","Cumbria","Outside London","Unknown","25","20","[c]","[c]"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","Outside London","AA/AO","455","405","21820","21010"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","Outside London","EO","540","490","26830","27570"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","Outside London","G6/G7","100","90","57290","52590"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","Outside London","SCS level","5","5","[c]","[c]"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","Outside London","SEO/HEO","335","320","35360","33350"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","Outside London","Unknown","115","105","29920","28200"
"In post","2021","Declared disabled","Devon","Outside London","AA/AO","370","315","21830","21010"
"In post","2021","Declared disabled","Devon","Outside London","EO","305","275","27390","27570"
"In post","2021","Declared disabled","Devon","Outside London","G6/G7","35","35","56290","55610"
"In post","2021","Declared disabled","Devon","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Devon","Outside London","SEO/HEO","190","180","37030","35310"
"In post","2021","Declared disabled","Devon","Outside London","Unknown","55","50","32510","32050"
"In post","2021","Declared disabled","Dorset and Somerset","Outside London","AA/AO","200","180","22200","21010"
"In post","2021","Declared disabled","Dorset and Somerset","Outside London","EO","205","185","27490","27570"
"In post","2021","Declared disabled","Dorset and Somerset","Outside London","G6/G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Dorset and Somerset","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Dorset and Somerset","Outside London","SEO/HEO","135","130","37120","35320"
"In post","2021","Declared disabled","Dorset and Somerset","Outside London","Unknown","35","30","29970","28880"
"In post","2021","Declared disabled","East Anglia","Outside London","AA/AO","485","440","22780","21100"
"In post","2021","Declared disabled","East Anglia","Outside London","EO","430","390","27630","27570"
"In post","2021","Declared disabled","East Anglia","Outside London","G6/G7","50","50","57650","54540"
"In post","2021","Declared disabled","East Anglia","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Anglia","Outside London","SEO/HEO","315","300","36310","34190"
"In post","2021","Declared disabled","East Anglia","Outside London","Unknown","75","65","30910","30550"
"In post","2021","Declared disabled","East Wales","Outside London","AA/AO","530","465","21100","21010"
"In post","2021","Declared disabled","East Wales","Outside London","EO","510","470","26910","27570"
"In post","2021","Declared disabled","East Wales","Outside London","G6/G7","170","160","57760","57130"
"In post","2021","Declared disabled","East Wales","Outside London","SCS level","20","20","[c]","[c]"
"In post","2021","Declared disabled","East Wales","Outside London","SEO/HEO","480","455","35520","34490"
"In post","2021","Declared disabled","East Wales","Outside London","Unknown","75","70","31190","30210"
"In post","2021","Declared disabled","East Yorkshire and Northern Lincolnshire","Outside London","AA/AO","190","160","22630","21010"
"In post","2021","Declared disabled","East Yorkshire and Northern Lincolnshire","Outside London","EO","220","195","27460","27570"
"In post","2021","Declared disabled","East Yorkshire and Northern Lincolnshire","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","East Yorkshire and Northern Lincolnshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Yorkshire and Northern Lincolnshire","Outside London","SEO/HEO","45","45","36140","34240"
"In post","2021","Declared disabled","East Yorkshire and Northern Lincolnshire","Outside London","Unknown","40","40","29330","28200"
"In post","2021","Declared disabled","Eastern Scotland","Outside London","AA/AO","590","540","22010","21010"
"In post","2021","Declared disabled","Eastern Scotland","Outside London","EO","635","585","28790","27570"
"In post","2021","Declared disabled","Eastern Scotland","Outside London","G6/G7","190","180","60830","61010"
"In post","2021","Declared disabled","Eastern Scotland","Outside London","SCS level","10","10","[c]","[c]"
"In post","2021","Declared disabled","Eastern Scotland","Outside London","SEO/HEO","500","475","38290","38370"
"In post","2021","Declared disabled","Eastern Scotland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Essex","Outside London","AA/AO","210","185","23710","22980"
"In post","2021","Declared disabled","Essex","Outside London","EO","315","285","29180","29290"
"In post","2021","Declared disabled","Essex","Outside London","G6/G7","35","30","59070","56580"
"In post","2021","Declared disabled","Essex","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Essex","Outside London","SEO/HEO","105","100","37630","36310"
"In post","2021","Declared disabled","Essex","Outside London","Unknown","50","45","27750","24800"
"In post","2021","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","AA/AO","440","400","21630","21010"
"In post","2021","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","EO","705","640","25960","26910"
"In post","2021","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","G6/G7","385","370","55960","54540"
"In post","2021","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","SCS level","20","20","[c]","[c]"
"In post","2021","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","SEO/HEO","1220","1165","36070","35900"
