"Status","Year","Age","Disability","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Declared disabled","Aberdeen City and Aberdeenshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Angus and Dundee City","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Barking & Dagenham and Havering","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Barnet","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Barnsley, Doncaster and Rotherham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Bedford","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Belfast","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Berkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Bexley and Greenwich","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Birmingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Blackburn with Darwen","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Blackpool","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Bradford","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Breckland and South Norfolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Brent","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Bridgend and Neath Port Talbot","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Brighton and Hove","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Bristol, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Buckinghamshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Calderdale and Kirklees","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Cambridgeshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Camden and City of London","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Cardiff and Vale of Glamorgan","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Central Bedfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Central Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Central Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Cheshire East","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Cheshire West and Chester","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Chorley and West Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","City of Edinburgh","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Clackmannanshire and Fife","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Coventry","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Croydon","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Derby","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Devon CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Dudley","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Dumfries and Galloway","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Durham CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Ealing","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East Ayrshire and North Ayrshire mainland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East Riding of Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East Surrey","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East Sussex CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Enfield","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Essex Haven Gateway","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Essex Thames Gateway","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Falkirk","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Flintshire and Wrexham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Glasgow City","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Gloucestershire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Greater Manchester North West","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Greater Manchester South East","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Greater Manchester South West","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Gwent Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Gwynedd","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Hackney and Newham","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Haringey and Islington","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Harrow and Hillingdon","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Heart of Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Hertfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Hounslow and Richmond upon Thames","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Inverclyde, East Renfrewshire and Renfrewshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Inverness and Nairn and Moray, Badenoch and Strathspey","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Kensington & Chelsea and Hammersmith & Fulham","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Kent Thames Gateway","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Kingston upon Hull, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Lambeth","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Lancaster and Wyre","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Leeds","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Leicester","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Leicestershire CC and Rutland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Lewisham and Southwark","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Liverpool","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Medway","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Mid Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Mid Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Milton Keynes","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Monmouthshire and Newport","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Na h-Eileanan Siar","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","North and North East Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","North Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","North Lanarkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","North Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Norwich and East Norfolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Nottingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Orkney Islands","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Oxfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Perth and Kinross and Stirling","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Peterborough","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Plymouth","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Portsmouth","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Redbridge and Waltham Forest","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Scottish Borders","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Sefton","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Sheffield","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Shropshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Solihull","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","South and West Derbyshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","South Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","South Lanarkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","South Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","South Teesside","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","South West Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Southampton","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Southend-on-Sea","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Staffordshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Stoke-on-Trent","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Suffolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Sunderland","Outside London","[c]","[c]","[c]","[c]"
