"Status","Year","Ethnicity","Region_ITL1","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","East Midlands (England)","Derbyshire and Nottinghamshire","Derby","105","95","25500","22570"
"In post","2021","Asian","East Midlands (England)","Derbyshire and Nottinghamshire","East Derbyshire","5","5","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Derbyshire and Nottinghamshire","North Nottinghamshire","10","10","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Derbyshire and Nottinghamshire","Nottingham","485","450","30720","27570"
"In post","2021","Asian","East Midlands (England)","Derbyshire and Nottinghamshire","South and West Derbyshire","20","20","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Derbyshire and Nottinghamshire","South Nottinghamshire","20","15","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Leicester","820","730","24850","21440"
"In post","2021","Asian","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Leicestershire CC and Rutland","125","110","26330","24890"
"In post","2021","Asian","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","North Northamptonshire","20","20","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","West Northamptonshire","65","60","26570","24440"
"In post","2021","Asian","East Midlands (England)","Lincolnshire","Lincolnshire","20","20","[c]","[c]"
"In post","2021","Asian","East of England","Bedfordshire and Hertfordshire","Bedford","80","70","27780","27570"
"In post","2021","Asian","East of England","Bedfordshire and Hertfordshire","Central Bedfordshire","10","10","[c]","[c]"
"In post","2021","Asian","East of England","Bedfordshire and Hertfordshire","Hertfordshire","340","315","33550","30090"
"In post","2021","Asian","East of England","Bedfordshire and Hertfordshire","Luton","115","105","25330","25260"
"In post","2021","Asian","East of England","East Anglia","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","East Anglia","Cambridgeshire CC","80","80","35750","29510"
"In post","2021","Asian","East of England","East Anglia","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","East Anglia","Norwich and East Norfolk","5","5","[c]","[c]"
"In post","2021","Asian","East of England","East Anglia","Peterborough","225","185","23580","21430"
