"Status","Year","Function_of_post","Parent_department","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Attorney General's Departments","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","EO","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","G6/G7","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","AA/AO","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","EO","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","EO","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","G6/G7","Female","40","35","81710","72830"
"In post","2021","Analysis","Chancellor's other departments","G6/G7","Male","65","60","91230","89720"
"In post","2021","Analysis","Chancellor's other departments","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","SEO/HEO","Female","15","15","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","SEO/HEO","Male","40","40","41400","41210"
"In post","2021","Analysis","Charity Commission","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Charity Commission","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","G6/G7","Female","30","25","63410","60920"
"In post","2021","Analysis","Competition and Markets Authority","G6/G7","Male","50","45","66800","65220"
"In post","2021","Analysis","Competition and Markets Authority","SCS level","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","SCS level","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","SEO/HEO","Female","20","20","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","SEO/HEO","Male","25","25","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","AA/AO","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","EO","Female","15","15","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","EO","Male","20","20","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","G6/G7","Female","30","30","62650","58750"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","G6/G7","Male","55","55","61470","57850"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","SCS level","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","SEO/HEO","Female","60","60","36320","35640"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","SEO/HEO","Male","130","130","37870","35840"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","G6/G7","Female","25","25","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","G6/G7","Male","35","35","63080","60130"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","SEO/HEO","Female","20","20","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","SEO/HEO","Male","45","45","42100","42020"
"In post","2021","Analysis","Department for Education","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","EO","Female","15","15","[c]","[c]"
"In post","2021","Analysis","Department for Education","EO","Male","15","15","[c]","[c]"
"In post","2021","Analysis","Department for Education","G6/G7","Female","65","55","55390","54080"
"In post","2021","Analysis","Department for Education","G6/G7","Male","70","70","55590","53760"
"In post","2021","Analysis","Department for Education","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","SEO/HEO","Female","135","125","40430","41990"
"In post","2021","Analysis","Department for Education","SEO/HEO","Male","105","105","39580","39780"
"In post","2021","Analysis","Department for Education","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","AA/AO","Female","30","25","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","AA/AO","Male","20","20","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","EO","Female","60","55","25190","24920"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","EO","Male","60","55","25230","24920"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","G6/G7","Female","35","30","51340","48080"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","G6/G7","Male","80","75","52730","48080"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","SEO/HEO","Female","135","125","33040","31070"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","SEO/HEO","Male","175","170","32780","30220"
"In post","2021","Analysis","Department for International Trade","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","AA/AO","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","EO","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","EO","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","G6/G7","Female","35","35","54620","51970"
