"Status","Year","Function_of_post","Region_ITL2","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Bedfordshire and Hertfordshire","Bedford","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Outside London","20","20","47910","51970"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","Outside London","10","10","35540","33180"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cheshire","Cheshire East","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Outside London","10","5","[c]","[c]"
"In post","2021","Analysis","Cumbria","East Cumbria","Outside London","10","10","31460","30040"
"In post","2021","Analysis","Cumbria","West Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","East Derbyshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","North Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","Nottingham","Outside London","35","35","36020","33350"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","South and West Derbyshire","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","South Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon","Devon CC","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Devon","Plymouth","Outside London","10","10","[c]","[c]"
"In post","2021","Analysis","Dorset and Somerset","Dorset CC","Outside London","115","110","33040","29270"
"In post","2021","Analysis","Dorset and Somerset","Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Anglia","Cambridgeshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Anglia","Norwich and East Norfolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Anglia","Peterborough","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Anglia","Suffolk","Outside London","350","330","34350","30220"
