"Status","Year","Parent_department","Profession_of_post","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Commercial","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","G6/G7","Heterosexual / straight","10","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","SEO/HEO","Heterosexual / straight","15","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","G6/G7","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","SEO/HEO","Heterosexual / straight","40","40","37650","39710"
"In post","2021","Attorney General's Departments","Communications","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","EO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","EO","Unknown","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","G6/G7","Heterosexual / straight","55","55","64900","66200"
"In post","2021","Attorney General's Departments","Counter Fraud","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","G6/G7","Unknown","25","25","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","SEO/HEO","Heterosexual / straight","95","95","37770","40000"
"In post","2021","Attorney General's Departments","Counter Fraud","SEO/HEO","LGBO","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","SEO/HEO","Undeclared","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","SEO/HEO","Unknown","40","35","37620","40000"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","EO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","G6/G7","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","SEO/HEO","Heterosexual / straight","75","75","36690","38180"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","SEO/HEO","Unknown","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
