"Status","Year","Region_ITL2","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Female","Heterosexual / straight","1830","1685","31390","29290"
"In post","2021","Bedfordshire and Hertfordshire","Female","LGBO","95","90","30600","29290"
"In post","2021","Bedfordshire and Hertfordshire","Female","Undeclared","215","195","32070","29290"
"In post","2021","Bedfordshire and Hertfordshire","Female","Unknown","440","390","31580","29290"
"In post","2021","Bedfordshire and Hertfordshire","Male","Heterosexual / straight","1375","1335","33950","30830"
"In post","2021","Bedfordshire and Hertfordshire","Male","LGBO","65","65","31960","29290"
"In post","2021","Bedfordshire and Hertfordshire","Male","Undeclared","200","195","34300","31810"
"In post","2021","Bedfordshire and Hertfordshire","Male","Unknown","315","305","33330","30400"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Heterosexual / straight","3355","3110","31520","28350"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","LGBO","195","190","29260","27850"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Undeclared","435","405","31840","28670"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Female","Unknown","795","710","31950","28990"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Heterosexual / straight","3270","3210","34260","31800"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","LGBO","160","160","33330","29970"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Undeclared","455","445","35010","33670"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Male","Unknown","920","895","34100","31280"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Female","Heterosexual / straight","1540","1425","30450","27570"
"In post","2021","Cheshire","Female","LGBO","115","115","30580","27570"
"In post","2021","Cheshire","Female","Undeclared","170","160","29920","28840"
"In post","2021","Cheshire","Female","Unknown","360","320","27840","27470"
"In post","2021","Cheshire","Male","Heterosexual / straight","1165","1140","33530","31650"
"In post","2021","Cheshire","Male","LGBO","70","70","30780","28200"
"In post","2021","Cheshire","Male","Undeclared","150","140","32940","31650"
"In post","2021","Cheshire","Male","Unknown","330","315","31370","31650"
"In post","2021","Cheshire","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Female","Heterosexual / straight","625","545","26450","26670"
"In post","2021","Cornwall and Isles of Scilly","Female","LGBO","25","20","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Female","Undeclared","85","75","26350","26400"
"In post","2021","Cornwall and Isles of Scilly","Female","Unknown","185","155","25400","21010"
"In post","2021","Cornwall and Isles of Scilly","Male","Heterosexual / straight","500","480","27060","26670"
"In post","2021","Cornwall and Isles of Scilly","Male","LGBO","25","20","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Male","Undeclared","70","70","28530","26850"
"In post","2021","Cornwall and Isles of Scilly","Male","Unknown","135","125","26680","26590"
"In post","2021","Cornwall and Isles of Scilly","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Female","Heterosexual / straight","755","655","27090","25150"
"In post","2021","Cumbria","Female","LGBO","30","30","28320","25790"
"In post","2021","Cumbria","Female","Undeclared","75","70","27870","25190"
"In post","2021","Cumbria","Female","Unknown","380","320","25140","21050"
"In post","2021","Cumbria","Male","Heterosexual / straight","545","530","30980","27570"
"In post","2021","Cumbria","Male","LGBO","35","35","27960","25550"
"In post","2021","Cumbria","Male","Undeclared","95","90","32350","27570"
"In post","2021","Cumbria","Male","Unknown","225","225","26750","21550"
"In post","2021","Cumbria","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Female","Heterosexual / straight","4545","4085","30700","27570"
"In post","2021","Derbyshire and Nottinghamshire","Female","LGBO","265","255","30270","27570"
"In post","2021","Derbyshire and Nottinghamshire","Female","Undeclared","625","550","30330","27570"
"In post","2021","Derbyshire and Nottinghamshire","Female","Unknown","1490","1325","28320","26700"
"In post","2021","Derbyshire and Nottinghamshire","Male","Heterosexual / straight","3335","3225","32890","28130"
"In post","2021","Derbyshire and Nottinghamshire","Male","LGBO","210","205","30980","27570"
"In post","2021","Derbyshire and Nottinghamshire","Male","Undeclared","500","470","33180","30950"
"In post","2021","Derbyshire and Nottinghamshire","Male","Unknown","1320","1265","29610","27150"
"In post","2021","Derbyshire and Nottinghamshire","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Female","Heterosexual / straight","2480","2160","28270","27000"
"In post","2021","Devon","Female","LGBO","140","135","26920","25930"
"In post","2021","Devon","Female","Undeclared","325","275","28810","26930"
"In post","2021","Devon","Female","Unknown","1410","1230","31510","27570"
"In post","2021","Devon","Male","Heterosexual / straight","2410","2320","30890","27570"
"In post","2021","Devon","Male","LGBO","120","115","27520","27130"
"In post","2021","Devon","Male","Undeclared","360","340","32430","29730"
"In post","2021","Devon","Male","Unknown","1775","1710","36690","35030"
"In post","2021","Devon","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Female","Heterosexual / straight","1740","1555","28260","27130"
"In post","2021","Dorset and Somerset","Female","LGBO","90","85","28400","27470"
"In post","2021","Dorset and Somerset","Female","Undeclared","250","220","29110","27570"
"In post","2021","Dorset and Somerset","Female","Unknown","425","360","28290","27540"
"In post","2021","Dorset and Somerset","Male","Heterosexual / straight","1855","1800","30790","28400"
"In post","2021","Dorset and Somerset","Male","LGBO","80","75","28230","27570"
"In post","2021","Dorset and Somerset","Male","Undeclared","310","300","31280","31430"
"In post","2021","Dorset and Somerset","Male","Unknown","460","440","31200","27620"
"In post","2021","Dorset and Somerset","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Female","Heterosexual / straight","4520","4075","28940","27140"
"In post","2021","East Anglia","Female","LGBO","200","190","27890","25880"
"In post","2021","East Anglia","Female","Undeclared","575","520","29300","27130"
"In post","2021","East Anglia","Female","Unknown","1070","930","28980","27500"
"In post","2021","East Anglia","Male","Heterosexual / straight","4125","3995","31500","28400"
"In post","2021","East Anglia","Male","LGBO","185","185","28650","27570"
"In post","2021","East Anglia","Male","Undeclared","650","620","31820","31170"
"In post","2021","East Anglia","Male","Unknown","1135","1085","31100","28920"
"In post","2021","East Anglia","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Wales","Female","Heterosexual / straight","7475","6810","32560","28130"
"In post","2021","East Wales","Female","LGBO","390","380","30340","27570"
"In post","2021","East Wales","Female","Undeclared","790","715","32660","27570"
"In post","2021","East Wales","Female","Unknown","2335","2060","27700","25560"
"In post","2021","East Wales","Male","Heterosexual / straight","5760","5600","34750","29890"
"In post","2021","East Wales","Male","LGBO","470","460","32940","28430"
"In post","2021","East Wales","Male","Undeclared","965","920","34140","30020"
"In post","2021","East Wales","Male","Unknown","2175","2095","31310","27570"
"In post","2021","East Wales","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","East Wales","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Wales","Unknown","Unknown","10","10","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Female","Heterosexual / straight","1595","1385","26890","26670"
"In post","2021","East Yorkshire and Northern Lincolnshire","Female","LGBO","85","85","26670","25790"
"In post","2021","East Yorkshire and Northern Lincolnshire","Female","Undeclared","235","205","26900","27130"
"In post","2021","East Yorkshire and Northern Lincolnshire","Female","Unknown","405","350","25860","26120"
