"Status","Year","Profession_of_post","Region_london","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","London","AA/AO","Female","30","30","[c]","[c]"
"In post","2021","Commercial","London","AA/AO","Male","20","20","[c]","[c]"
"In post","2021","Commercial","London","EO","Female","65","60","28970","29970"
"In post","2021","Commercial","London","EO","Male","40","40","29190","28870"
"In post","2021","Commercial","London","G6/G7","Female","115","110","62660","60780"
"In post","2021","Commercial","London","G6/G7","Male","125","120","64530","65440"
"In post","2021","Commercial","London","SCS level","Female","25","25","[c]","[c]"
"In post","2021","Commercial","London","SCS level","Male","25","25","[c]","[c]"
"In post","2021","Commercial","London","SEO/HEO","Female","225","220","40400","40650"
"In post","2021","Commercial","London","SEO/HEO","Male","200","200","42460","41300"
"In post","2021","Commercial","London","Unknown","Female","10","10","[c]","[c]"
"In post","2021","Commercial","London","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Outside London","AA/AO","Female","130","120","21950","21590"
"In post","2021","Commercial","Outside London","AA/AO","Male","85","80","22690","21590"
"In post","2021","Commercial","Outside London","EO","Female","355","330","25320","26130"
"In post","2021","Commercial","Outside London","EO","Male","245","240","25560","26130"
"In post","2021","Commercial","Outside London","G6/G7","Female","355","340","56410","54430"
"In post","2021","Commercial","Outside London","G6/G7","Male","420","410","58380","55300"
"In post","2021","Commercial","Outside London","SCS level","Female","20","20","[c]","[c]"
"In post","2021","Commercial","Outside London","SCS level","Male","25","25","[c]","[c]"
"In post","2021","Commercial","Outside London","SEO/HEO","Female","1415","1340","36340","36110"
"In post","2021","Commercial","Outside London","SEO/HEO","Male","1170","1155","37770","37320"
"In post","2021","Commercial","Outside London","Unknown","Female","100","95","36570","33000"
"In post","2021","Commercial","Outside London","Unknown","Male","110","110","39770","37770"
"In post","2021","Commercial","Overseas","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","G6/G7","Male","10","10","[c]","[c]"
"In post","2021","Commercial","Overseas","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2021","Commercial","Overseas","SEO/HEO","Male","20","20","[c]","[c]"
"In post","2021","Commercial","Unknown","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2021","Commercial","Unknown","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","AA/AO","Female","35","35","24240","24270"
"In post","2021","Communications","London","AA/AO","Male","30","30","[c]","[c]"
"In post","2021","Communications","London","EO","Female","150","150","28610","27960"
"In post","2021","Communications","London","EO","Male","85","85","28470","27850"
"In post","2021","Communications","London","G6/G7","Female","380","360","59150","57620"
"In post","2021","Communications","London","G6/G7","Male","270","265","59360","57460"
"In post","2021","Communications","London","SCS level","Female","55","55","84820","80310"
"In post","2021","Communications","London","SCS level","Male","45","45","92480","86900"
"In post","2021","Communications","London","SEO/HEO","Female","610","600","39460","39440"
"In post","2021","Communications","London","SEO/HEO","Male","430","430","39680","39600"
"In post","2021","Communications","Outside London","AA/AO","Female","100","90","21400","21490"
"In post","2021","Communications","Outside London","AA/AO","Male","75","75","21350","21130"
"In post","2021","Communications","Outside London","EO","Female","215","200","26550","26670"
"In post","2021","Communications","Outside London","EO","Male","180","175","27110","26780"
"In post","2021","Communications","Outside London","G6/G7","Female","180","170","55490","53520"
"In post","2021","Communications","Outside London","G6/G7","Male","115","115","55580","52650"
"In post","2021","Communications","Outside London","SCS level","Female","10","10","[c]","[c]"
"In post","2021","Communications","Outside London","SCS level","Male","5","5","[c]","[c]"
"In post","2021","Communications","Outside London","SEO/HEO","Female","580","545","36190","36460"
"In post","2021","Communications","Outside London","SEO/HEO","Male","395","390","36350","36330"
"In post","2021","Communications","Outside London","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Outside London","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","London","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","London","EO","Male","5","5","[c]","[c]"
"In post","2021","Corporate Finance","London","G6/G7","Female","20","15","[c]","[c]"
"In post","2021","Corporate Finance","London","G6/G7","Male","20","20","[c]","[c]"
"In post","2021","Corporate Finance","London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","London","SCS level","Male","5","5","[c]","[c]"
"In post","2021","Corporate Finance","London","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2021","Corporate Finance","London","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2021","Corporate Finance","Outside London","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Outside London","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Outside London","EO","Female","10","10","[c]","[c]"
"In post","2021","Corporate Finance","Outside London","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Outside London","G6/G7","Female","15","15","[c]","[c]"
"In post","2021","Corporate Finance","Outside London","G6/G7","Male","15","15","[c]","[c]"
"In post","2021","Corporate Finance","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Outside London","SEO/HEO","Female","30","30","35090","36160"
"In post","2021","Corporate Finance","Outside London","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2021","Counter Fraud","London","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","London","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","London","EO","Female","40","35","28070","28650"
"In post","2021","Counter Fraud","London","EO","Male","25","25","[c]","[c]"
"In post","2021","Counter Fraud","London","G6/G7","Female","25","25","[c]","[c]"
"In post","2021","Counter Fraud","London","G6/G7","Male","65","65","63240","60380"
"In post","2021","Counter Fraud","London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","London","SEO/HEO","Female","85","85","37470","37510"
"In post","2021","Counter Fraud","London","SEO/HEO","Male","145","140","38930","40000"
"In post","2021","Counter Fraud","Outside London","AA/AO","Female","35","30","20770","21430"
"In post","2021","Counter Fraud","Outside London","AA/AO","Male","15","15","[c]","[c]"
"In post","2021","Counter Fraud","Outside London","EO","Female","80","70","25610","25310"
"In post","2021","Counter Fraud","Outside London","EO","Male","45","40","26030","25580"
"In post","2021","Counter Fraud","Outside London","G6/G7","Female","10","10","[c]","[c]"
"In post","2021","Counter Fraud","Outside London","G6/G7","Male","20","20","[c]","[c]"
"In post","2021","Counter Fraud","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Outside London","SEO/HEO","Female","125","120","37080","37970"
"In post","2021","Counter Fraud","Outside London","SEO/HEO","Male","170","165","36770","36060"
"In post","2021","Digital, Data and Technology","London","AA/AO","Female","20","20","[c]","[c]"
"In post","2021","Digital, Data and Technology","London","AA/AO","Male","30","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","London","EO","Female","125","120","29190","29500"
"In post","2021","Digital, Data and Technology","London","EO","Male","170","170","29740","29500"
"In post","2021","Digital, Data and Technology","London","G6/G7","Female","470","460","60320","59160"
"In post","2021","Digital, Data and Technology","London","G6/G7","Male","810","805","63500","61950"
"In post","2021","Digital, Data and Technology","London","SCS level","Female","40","40","89510","87900"
"In post","2021","Digital, Data and Technology","London","SCS level","Male","75","75","97930","92770"
"In post","2021","Digital, Data and Technology","London","SEO/HEO","Female","590","570","39640","40070"
"In post","2021","Digital, Data and Technology","London","SEO/HEO","Male","960","950","40450","40590"
"In post","2021","Digital, Data and Technology","London","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","London","Unknown","Male","10","10","[c]","[c]"
"In post","2021","Digital, Data and Technology","Outside London","AA/AO","Female","170","160","21490","21130"
"In post","2021","Digital, Data and Technology","Outside London","AA/AO","Male","225","225","21670","21540"
"In post","2021","Digital, Data and Technology","Outside London","EO","Female","680","630","26880","26670"
