"Status","Year","Ethnicity","Region_ITL1","Region_ITL3","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","East Midlands (England)","Derby","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Derby","AO","50","45","21030","21010"
"In post","2021","Asian","East Midlands (England)","Derby","EO","40","35","27420","27570"
"In post","2021","Asian","East Midlands (England)","Derby","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Derby","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Derby","HEO","5","5","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Derby","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Derby","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Derby","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","East Derbyshire","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","East Derbyshire","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","East Derbyshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","East Derbyshire","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","East Derbyshire","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","East Derbyshire","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","East Derbyshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Leicester","AA","25","20","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Leicester","AO","425","365","20690","21010"
"In post","2021","Asian","East Midlands (England)","Leicester","EO","245","225","26940","27570"
"In post","2021","Asian","East Midlands (England)","Leicester","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Leicester","G7","20","20","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Leicester","HEO","45","40","32500","31990"
"In post","2021","Asian","East Midlands (England)","Leicester","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Leicester","SEO","25","25","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Leicester","Unknown","35","35","28630","28200"
"In post","2021","Asian","East Midlands (England)","Leicestershire CC and Rutland","AA","10","5","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Leicestershire CC and Rutland","AO","50","40","21050","20100"
"In post","2021","Asian","East Midlands (England)","Leicestershire CC and Rutland","EO","45","40","26300","27310"
"In post","2021","Asian","East Midlands (England)","Leicestershire CC and Rutland","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Leicestershire CC and Rutland","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Leicestershire CC and Rutland","HEO","10","10","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Leicestershire CC and Rutland","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Leicestershire CC and Rutland","SEO","5","5","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Leicestershire CC and Rutland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Lincolnshire","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Lincolnshire","AO","5","5","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Lincolnshire","EO","5","5","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Lincolnshire","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Lincolnshire","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Lincolnshire","HEO","5","5","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Lincolnshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Lincolnshire","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Lincolnshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","North Northamptonshire","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","North Northamptonshire","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","North Northamptonshire","EO","15","15","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","North Northamptonshire","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","North Northamptonshire","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","North Northamptonshire","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","North Northamptonshire","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","North Northamptonshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","North Nottinghamshire","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","North Nottinghamshire","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","North Nottinghamshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","North Nottinghamshire","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","North Nottinghamshire","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","North Nottinghamshire","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","North Nottinghamshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","North Nottinghamshire","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","North Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Nottingham","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Nottingham","AO","115","100","20670","20140"
"In post","2021","Asian","East Midlands (England)","Nottingham","EO","130","120","25900","25560"
"In post","2021","Asian","East Midlands (England)","Nottingham","G6","5","5","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Nottingham","G7","40","40","51940","52580"
"In post","2021","Asian","East Midlands (England)","Nottingham","HEO","130","125","31420","31810"
"In post","2021","Asian","East Midlands (England)","Nottingham","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Nottingham","SEO","45","45","39120","38630"
"In post","2021","Asian","East Midlands (England)","Nottingham","Unknown","10","10","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","South and West Derbyshire","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","South and West Derbyshire","AO","5","5","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","South and West Derbyshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","South and West Derbyshire","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","South and West Derbyshire","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","South and West Derbyshire","HEO","5","5","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","South and West Derbyshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","South and West Derbyshire","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","South and West Derbyshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","South Nottinghamshire","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","South Nottinghamshire","AO","5","5","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","South Nottinghamshire","EO","5","5","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","South Nottinghamshire","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","South Nottinghamshire","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","South Nottinghamshire","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","South Nottinghamshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","South Nottinghamshire","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","South Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","West Northamptonshire","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","West Northamptonshire","AO","30","30","21440","19830"
"In post","2021","Asian","East Midlands (England)","West Northamptonshire","EO","15","15","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","West Northamptonshire","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","West Northamptonshire","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","West Northamptonshire","HEO","5","5","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","West Northamptonshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","West Northamptonshire","SEO","5","5","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","West Northamptonshire","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","East of England","Bedford","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Bedford","AO","20","20","[c]","[c]"
"In post","2021","Asian","East of England","Bedford","EO","40","35","26900","27570"
"In post","2021","Asian","East of England","Bedford","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Bedford","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Bedford","HEO","5","5","[c]","[c]"
"In post","2021","Asian","East of England","Bedford","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Bedford","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Bedford","Unknown","5","5","[c]","[c]"
