"Status","Year","Parent_department","Profession_of_post","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Commercial","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Outside London","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","London","EO","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","London","G6/G7","15","15","58820","54760"
"In post","2021","Attorney General's Departments","Communications","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","London","SEO/HEO","30","30","36570","38290"
"In post","2021","Attorney General's Departments","Communications","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Outside London","SEO/HEO","15","15","39800","40620"
"In post","2021","Attorney General's Departments","Corporate Finance","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","London","EO","35","35","27270","26380"
"In post","2021","Attorney General's Departments","Counter Fraud","London","G6/G7","80","80","64080","63000"
"In post","2021","Attorney General's Departments","Counter Fraud","London","SCS level","5","5","[c]","[c]"
