"Status","Year","Age","Region_ITL3","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Aberdeen City and Aberdeenshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Aberdeen City and Aberdeenshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Angus and Dundee City","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Angus and Dundee City","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barking & Dagenham and Havering","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barking & Dagenham and Havering","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnet","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnet","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnsley, Doncaster and Rotherham","Outside London","Female","5","5","[c]","[c]"
"In post","2021","16-19","Barnsley, Doncaster and Rotherham","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Female","30","30","[c]","[c]"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Male","75","75","17940","17780"
"In post","2021","16-19","Bedford","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bedford","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Belfast","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Belfast","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire","Outside London","Male","5","5","[c]","[c]"
"In post","2021","16-19","Bexley and Greenwich","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bexley and Greenwich","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Birmingham","Outside London","Female","15","15","[c]","[c]"
"In post","2021","16-19","Birmingham","Outside London","Male","10","10","[c]","[c]"
"In post","2021","16-19","Blackburn with Darwen","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Blackburn with Darwen","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Blackpool","Outside London","Female","10","10","[c]","[c]"
"In post","2021","16-19","Blackpool","Outside London","Male","5","5","[c]","[c]"
"In post","2021","16-19","Bradford","Outside London","Female","5","5","[c]","[c]"
"In post","2021","16-19","Bradford","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Breckland and South Norfolk","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Breckland and South Norfolk","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Brent","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Brent","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bridgend and Neath Port Talbot","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bridgend and Neath Port Talbot","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Brighton and Hove","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Brighton and Hove","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bristol, City of","Outside London","Female","10","10","[c]","[c]"
"In post","2021","16-19","Bristol, City of","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Buckinghamshire CC","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Buckinghamshire CC","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Calderdale and Kirklees","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Calderdale and Kirklees","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cambridgeshire CC","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cambridgeshire CC","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Camden and City of London","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Camden and City of London","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cardiff and Vale of Glamorgan","Outside London","Female","15","15","[c]","[c]"
"In post","2021","16-19","Cardiff and Vale of Glamorgan","Outside London","Male","20","20","[c]","[c]"
"In post","2021","16-19","Central Bedfordshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Central Bedfordshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Central Hampshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Central Hampshire","Outside London","Male","5","5","[c]","[c]"
"In post","2021","16-19","Central Valleys","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Central Valleys","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cheshire East","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cheshire East","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cheshire West and Chester","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cheshire West and Chester","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chorley and West Lancashire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chorley and West Lancashire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","City of Edinburgh","Outside London","Female","45","45","21280","21150"
"In post","2021","16-19","City of Edinburgh","Outside London","Male","35","35","21070","20850"
"In post","2021","16-19","Clackmannanshire and Fife","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Clackmannanshire and Fife","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cornwall and Isles of Scilly","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cornwall and Isles of Scilly","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Coventry","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Coventry","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Croydon","London","Female","5","5","[c]","[c]"
"In post","2021","16-19","Croydon","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derby","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derby","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon CC","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon CC","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dudley","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dudley","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dumfries and Galloway","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dumfries and Galloway","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Durham CC","Outside London","Female","5","5","[c]","[c]"
"In post","2021","16-19","Durham CC","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ealing","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ealing","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Ayrshire and North Ayrshire mainland","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Ayrshire and North Ayrshire mainland","Outside London","Male","10","10","[c]","[c]"
"In post","2021","16-19","East Cumbria","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Cumbria","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Kent","Outside London","Female","15","15","[c]","[c]"
"In post","2021","16-19","East Kent","Outside London","Male","15","15","[c]","[c]"
"In post","2021","16-19","East Riding of Yorkshire","Outside London","Female","[c]","[c]","[c]","[c]"
