"Status","Year","Age","Responsibility_level_grouped","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","AA/AO","AA","Heterosexual / straight","115","110","19430","20060"
"In post","2021","16-19","AA/AO","AA","LGBO","10","10","[c]","[c]"
"In post","2021","16-19","AA/AO","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","AA","Unknown","80","75","18970","19130"
"In post","2021","16-19","AA/AO","AO","Heterosexual / straight","380","365","21430","21010"
"In post","2021","16-19","AA/AO","AO","LGBO","35","30","20940","21010"
"In post","2021","16-19","AA/AO","AO","Undeclared","35","35","21430","21010"
"In post","2021","16-19","AA/AO","AO","Unknown","285","275","21000","20140"
"In post","2021","16-19","EO","EO","Heterosexual / straight","200","195","23450","24300"
"In post","2021","16-19","EO","EO","LGBO","10","10","[c]","[c]"
"In post","2021","16-19","EO","EO","Undeclared","10","10","[c]","[c]"
"In post","2021","16-19","EO","EO","Unknown","85","85","21380","20900"
"In post","2021","16-19","SEO/HEO","HEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","SEO/HEO","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","SEO/HEO","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","Unknown","50","50","18300","16780"
"In post","2021","20-29","AA/AO","AA","Heterosexual / straight","1575","1515","20130","20600"
"In post","2021","20-29","AA/AO","AA","LGBO","180","175","19990","20600"
"In post","2021","20-29","AA/AO","AA","Undeclared","140","135","20060","20070"
"In post","2021","20-29","AA/AO","AA","Unknown","910","885","19980","20350"
"In post","2021","20-29","AA/AO","AO","Heterosexual / straight","13795","13420","22930","21430"
"In post","2021","20-29","AA/AO","AO","LGBO","1540","1510","22830","21140"
"In post","2021","20-29","AA/AO","AO","Undeclared","1065","1025","22990","21430"
"In post","2021","20-29","AA/AO","AO","Unknown","7260","7075","22410","21010"
"In post","2021","20-29","EO","EO","Heterosexual / straight","14160","14000","27090","27540"
"In post","2021","20-29","EO","EO","LGBO","1480","1470","27120","27570"
"In post","2021","20-29","EO","EO","Undeclared","1120","1105","27340","27570"
"In post","2021","20-29","EO","EO","Unknown","4845","4790","26720","26410"
"In post","2021","20-29","G6/G7","G6","Heterosexual / straight","165","165","64700","64670"
"In post","2021","20-29","G6/G7","G6","LGBO","30","30","64430","64500"
"In post","2021","20-29","G6/G7","G6","Undeclared","15","15","[c]","[c]"
"In post","2021","20-29","G6/G7","G6","Unknown","85","85","64790","64590"
"In post","2021","20-29","G6/G7","G7","Heterosexual / straight","2465","2460","53650","53380"
"In post","2021","20-29","G6/G7","G7","LGBO","390","390","53890","53380"
"In post","2021","20-29","G6/G7","G7","Undeclared","270","265","54610","53420"
"In post","2021","20-29","G6/G7","G7","Unknown","935","930","53630","53380"
