"Status","Year","Function_of_post","Parent_department","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Attorney General's Departments","East Wales","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Inner London - West","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Inner London - West","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Merseyside","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","North Yorkshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","North Yorkshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Northumberland and Tyne and Wear","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","West Yorkshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","West Yorkshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","West Yorkshire","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Inner London - West","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Inner London - West","G6/G7","10","10","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Inner London - West","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Eastern Scotland","G6/G7","5","5","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Inner London - West","AA/AO","10","10","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Inner London - West","EO","10","10","28660","28230"
"In post","2021","Analysis","Chancellor's other departments","Inner London - West","G6/G7","100","90","87710","82910"
"In post","2021","Analysis","Chancellor's other departments","Inner London - West","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Inner London - West","SEO/HEO","55","55","41480","41210"
"In post","2021","Analysis","Charity Commission","Dorset and Somerset","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Inner London - West","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Inner London - West","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Inner London - West","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Merseyside","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Eastern Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Eastern Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Inner London - East","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Inner London - East","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Inner London - East","G6/G7","75","75","65410","61530"
"In post","2021","Analysis","Competition and Markets Authority","Inner London - East","SCS level","10","10","109610","101590"
"In post","2021","Analysis","Competition and Markets Authority","Inner London - East","SEO/HEO","40","40","37870","34720"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Derbyshire and Nottinghamshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Devon","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","East Wales","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","East Wales","G6/G7","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","East Wales","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","East Wales","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Eastern Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","[c]","[c]","[c]","[c]"
