"Status","Year","Function_of_post","Organisation","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Digital, Data and Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Intelligence Analysis","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Intelligence Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Knowledge and Information Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Operational Delivery","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Operational Research","Heterosexual / straight","190","185","42170","46080"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Operational Research","LGBO","15","15","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Operational Research","Undeclared","25","20","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Operational Research","Unknown","25","25","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Science and Engineering","Heterosexual / straight","105","100","36160","37320"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Science and Engineering","LGBO","10","10","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Science and Engineering","Undeclared","15","15","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Science and Engineering","Unknown","30","30","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Statistics","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Statistics","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data and Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","Heterosexual / straight","125","125","41630","34090"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","LGBO","20","20","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","Undeclared","20","15","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","Unknown","35","35","35930","35640"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Research","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Economics","Heterosexual / straight","55","55","53530","59730"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Economics","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Economics","Unknown","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Operational Research","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Science and Engineering","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Science and Engineering","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Social Research","Heterosexual / straight","25","20","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Social Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Statistics","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Statistics","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Digital, Data and Technology","Heterosexual / straight","110","105","43150","42220"
"In post","2021","Analysis","Department for Education (excl. agencies)","Digital, Data and Technology","LGBO","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Digital, Data and Technology","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Digital, Data and Technology","Unknown","20","20","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Policy","Heterosexual / straight","180","170","44280","44050"
"In post","2021","Analysis","Department for Education (excl. agencies)","Policy","LGBO","20","20","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Policy","Undeclared","15","15","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Policy","Unknown","45","40","47730","47600"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Statistics","Heterosexual / straight","60","55","38470","32560"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Statistics","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Statistics","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Statistics","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Economics","Heterosexual / straight","95","95","44400","51710"
"In post","2021","Analysis","Department for International Trade","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Economics","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Economics","Unknown","45","45","39500","31800"
"In post","2021","Analysis","Department for International Trade","Operational Research","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Other","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Policy","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Social Research","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Social Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Statistics","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Statistics","LGBO","10","10","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Statistics","Unknown","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Commercial","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Corporate Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Digital, Data and Technology","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Economics","Heterosexual / straight","110","105","48250","54110"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Economics","LGBO","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Economics","Undeclared","15","15","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Economics","Unknown","40","35","45600","54110"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Operational Research","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Other","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Policy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Science and Engineering","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Science and Engineering","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Social Research","Heterosexual / straight","30","30","50410","49620"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Social Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Social Research","Unknown","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Statistics","Heterosexual / straight","80","75","46240","42890"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Statistics","LGBO","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Statistics","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Statistics","Unknown","20","20","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Intelligence Analysis","Heterosexual / straight","90","85","51590","53360"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Intelligence Analysis","LGBO","10","10","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Intelligence Analysis","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Intelligence Analysis","Unknown","130","125","54310","53360"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Knowledge and Information Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Statistics","Heterosexual / straight","35","30","52000","53010"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Statistics","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Statistics","Unknown","15","15","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","Digital, Data and Technology","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","Digital, Data and Technology","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Knowledge and Information Management","Heterosexual / straight","15","10","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Operational Research","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Operational Research","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Operational Research","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Education and Skills Funding Agency","Digital, Data and Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Education and Skills Funding Agency","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Education and Skills Funding Agency","Policy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Education and Skills Funding Agency","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Education and Skills Funding Agency","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Knowledge and Information Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Social Research","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Social Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Statistics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Statistics","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Economics","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Intelligence Analysis","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Intelligence Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Operational Research","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Social Research","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Social Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Statistics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Statistics","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Operational Research","Heterosexual / straight","50","45","58310","58370"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Operational Research","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Operational Research","Undeclared","10","5","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Operational Research","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Forestry and Land Scotland","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Forestry and Land Scotland","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Forestry and Land Scotland","Unknown","Unknown","[c]","[c]","[c]","[c]"
