"Status","Year","Function_of_post","Parent_department","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Attorney General's Departments","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Outside London","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Outside London","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","London","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","London","Male","15","15","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","London","Female","65","55","64180","65470"
"In post","2021","Analysis","Chancellor's other departments","London","Male","115","110","69210","58450"
"In post","2021","Analysis","Chancellor's other departments","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Outside London","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","London","Female","50","50","58250","56360"
"In post","2021","Analysis","Competition and Markets Authority","London","Male","80","75","62430","57880"
"In post","2021","Analysis","Competition and Markets Authority","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","London","Female","105","105","43130","35640"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","London","Male","190","190","44120","37890"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Outside London","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Outside London","Male","20","20","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","London","Female","55","50","53780","59730"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","London","Male","90","85","51690","43280"
"In post","2021","Analysis","Department for Education","London","Female","100","95","45880","45540"
"In post","2021","Analysis","Department for Education","London","Male","80","75","47910","45540"
"In post","2021","Analysis","Department for Education","Outside London","Female","120","110","42090","42220"
"In post","2021","Analysis","Department for Education","Outside London","Male","115","110","42930","42420"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","London","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","London","Male","15","15","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Outside London","Female","250","230","31860","29270"
