"Status","Year","Ethnicity","Organisation","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Accountant in Bankruptcy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","London","20","15","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","Outside London","20","20","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","London","5","5","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","Outside London","50","50","27500","25100"
"In post","2021","Asian","Attorney General's Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","London","415","410","47350","41820"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Outside London","35","35","33300","32000"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Unknown","20","20","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Charity Commission","London","5","5","[c]","[c]"
"In post","2021","Asian","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","Outside London","20","20","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","London","105","100","45900","37660"
"In post","2021","Asian","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Criminal Injuries Compensation Authority","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","London","10","10","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","Outside London","20","20","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","Outside London","40","40","36980","33550"
"In post","2021","Asian","Crown Prosecution Service","London","295","270","40060","31560"
"In post","2021","Asian","Crown Prosecution Service","Outside London","305","280","38700","38180"
"In post","2021","Asian","Crown Prosecution Service","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service Inspectorate","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service Inspectorate","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt Management Office","London","25","20","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","London","50","45","23000","20090"
"In post","2021","Asian","Defence Equipment and Support","Outside London","280","270","35730","33000"
"In post","2021","Asian","Defence Equipment and Support","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Outside London","60","60","41920","37530"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","415","410","44650","40050"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","35","35","35920","30360"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","London","115","115","47120","42280"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Outside London","10","10","[c]","[c]"
"In post","2021","Asian","Department for Education (excl. agencies)","London","210","205","44230","40510"
"In post","2021","Asian","Department for Education (excl. agencies)","Outside London","245","245","36600","33740"
"In post","2021","Asian","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","London","180","175","39590","33510"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","70","70","37910","36520"
"In post","2021","Asian","Department for International Trade","London","185","185","42550","38540"
"In post","2021","Asian","Department for International Trade","Outside London","15","15","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Overseas","10","10","[c]","[c]"
"In post","2021","Asian","Department for Transport (excl. agencies)","London","275","275","45070","42470"
"In post","2021","Asian","Department for Transport (excl. agencies)","Outside London","15","15","[c]","[c]"
"In post","2021","Asian","Department for Transport (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions (excl. agencies)","London","2445","2215","31080","31060"
"In post","2021","Asian","Department for Work and Pensions (excl. agencies)","Outside London","4765","4280","26050","27570"
"In post","2021","Asian","Department for Work and Pensions (excl. agencies)","Unknown","135","120","27810","27570"
"In post","2021","Asian","Department of Health and Social Care (excl. agencies)","London","115","110","43910","40650"
"In post","2021","Asian","Department of Health and Social Care (excl. agencies)","Outside London","50","50","38140","35400"
"In post","2021","Asian","Disclosure Scotland","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Driver and Vehicle Licensing Agency","Outside London","50","45","29040","21590"
"In post","2021","Asian","Driver and Vehicle Standards Agency","London","25","25","[c]","[c]"
"In post","2021","Asian","Driver and Vehicle Standards Agency","Outside London","85","80","29040","26780"
"In post","2021","Asian","Education and Skills Funding Agency","London","45","45","44560","40940"
"In post","2021","Asian","Education and Skills Funding Agency","Outside London","160","155","37950","36780"
"In post","2021","Asian","Education and Skills Funding Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Education Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","FCDO Services","London","10","10","[c]","[c]"
"In post","2021","Asian","FCDO Services","Outside London","45","45","34270","28700"
"In post","2021","Asian","FCDO Services","Overseas","5","5","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","London","45","45","39850","32830"
"In post","2021","Asian","Food Standards Agency","Outside London","10","10","[c]","[c]"
