"Status","Year","Ethnicity","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Aberdeen City and Aberdeenshire","Female","10","10","[c]","[c]"
"In post","2021","Asian","Aberdeen City and Aberdeenshire","Male","15","15","[c]","[c]"
"In post","2021","Asian","Aberdeen City and Aberdeenshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Angus and Dundee City","Female","20","20","[c]","[c]"
"In post","2021","Asian","Angus and Dundee City","Male","15","15","[c]","[c]"
"In post","2021","Asian","Angus and Dundee City","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Antrim and Newtownabbey","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Antrim and Newtownabbey","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Antrim and Newtownabbey","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ards and North Down","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ards and North Down","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ards and North Down","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Armagh City, Banbridge and Craigavon","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Armagh City, Banbridge and Craigavon","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Armagh City, Banbridge and Craigavon","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Barking & Dagenham and Havering","Female","80","70","30450","31060"
"In post","2021","Asian","Barking & Dagenham and Havering","Male","60","60","31080","31060"
"In post","2021","Asian","Barking & Dagenham and Havering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Barnet","Female","260","235","35920","31880"
"In post","2021","Asian","Barnet","Male","140","140","41070","38520"
"In post","2021","Asian","Barnet","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Barnsley, Doncaster and Rotherham","Female","10","10","[c]","[c]"
"In post","2021","Asian","Barnsley, Doncaster and Rotherham","Male","15","15","[c]","[c]"
"In post","2021","Asian","Barnsley, Doncaster and Rotherham","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","140","130","33650","30420"
"In post","2021","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","220","220","37130","33900"
"In post","2021","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedford","Female","55","45","26280","26570"
"In post","2021","Asian","Bedford","Male","25","25","[c]","[c]"
"In post","2021","Asian","Bedford","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Belfast","Female","5","5","[c]","[c]"
"In post","2021","Asian","Belfast","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Belfast","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Berkshire","Female","200","180","29910","29290"
"In post","2021","Asian","Berkshire","Male","100","95","31220","29290"
"In post","2021","Asian","Berkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bexley and Greenwich","Female","65","60","30190","31060"
"In post","2021","Asian","Bexley and Greenwich","Male","40","40","30980","31060"
"In post","2021","Asian","Bexley and Greenwich","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Birmingham","Female","1335","1190","26720","24320"
"In post","2021","Asian","Birmingham","Male","1100","1075","27520","25560"
"In post","2021","Asian","Birmingham","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Blackburn with Darwen","Female","65","50","24870","27570"
"In post","2021","Asian","Blackburn with Darwen","Male","65","60","26170","27570"
"In post","2021","Asian","Blackburn with Darwen","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Blackpool","Female","25","20","[c]","[c]"
"In post","2021","Asian","Blackpool","Male","60","60","29820","27570"
"In post","2021","Asian","Blackpool","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bournemouth and Poole","Female","5","5","[c]","[c]"
"In post","2021","Asian","Bournemouth and Poole","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bournemouth and Poole","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bradford","Female","350","290","24850","21440"
"In post","2021","Asian","Bradford","Male","335","320","25420","24000"
"In post","2021","Asian","Bradford","Unknown","[c]","[c]","[c]","[c]"
