"Status","Year","Parent_department","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Aberdeen City and Aberdeenshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Aberdeen City and Aberdeenshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","20","15","[c]","[c]"
"In post","2021","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire","Heterosexual / straight","90","85","42390","38120"
"In post","2021","Attorney General's Departments","Berkshire","LGBO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire","Unknown","35","30","47410","52330"
"In post","2021","Attorney General's Departments","Bexley and Greenwich","Heterosexual / straight","10","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Bexley and Greenwich","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bexley and Greenwich","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bexley and Greenwich","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Birmingham","Heterosexual / straight","340","320","38910","38000"
"In post","2021","Attorney General's Departments","Birmingham","LGBO","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Birmingham","Undeclared","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Birmingham","Unknown","130","120","41500","38760"
"In post","2021","Attorney General's Departments","Bridgend and Neath Port Talbot","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bridgend and Neath Port Talbot","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bridgend and Neath Port Talbot","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bridgend and Neath Port Talbot","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Brighton and Hove","Heterosexual / straight","75","70","44500","40000"
"In post","2021","Attorney General's Departments","Brighton and Hove","LGBO","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Brighton and Hove","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Brighton and Hove","Unknown","25","25","[c]","[c]"
"In post","2021","Attorney General's Departments","Bristol, City of","Heterosexual / straight","100","95","39580","33310"
"In post","2021","Attorney General's Departments","Bristol, City of","LGBO","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Bristol, City of","Undeclared","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Bristol, City of","Unknown","35","30","48010","55610"
"In post","2021","Attorney General's Departments","Cambridgeshire CC","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Cambridgeshire CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Camden and City of London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Camden and City of London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Camden and City of London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cardiff and Vale of Glamorgan","Heterosexual / straight","155","145","41350","40420"
"In post","2021","Attorney General's Departments","Cardiff and Vale of Glamorgan","LGBO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Cardiff and Vale of Glamorgan","Undeclared","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Cardiff and Vale of Glamorgan","Unknown","45","40","41490","40040"
"In post","2021","Attorney General's Departments","Central Valleys","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Central Valleys","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Central Valleys","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","Heterosexual / straight","25","20","[c]","[c]"
