"Status","Year","Parent_department","Region_ITL2","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","East Wales","Cardiff and Vale of Glamorgan","LGBO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","East Wales","Cardiff and Vale of Glamorgan","Undeclared","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","East Wales","Cardiff and Vale of Glamorgan","Unknown","45","40","41490","40040"
"In post","2021","Attorney General's Departments","East Wales","Flintshire and Wrexham","Heterosexual / straight","50","45","39190","37780"
"In post","2021","Attorney General's Departments","East Wales","Flintshire and Wrexham","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Wales","Flintshire and Wrexham","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Wales","Flintshire and Wrexham","Unknown","20","15","[c]","[c]"
"In post","2021","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","Heterosexual / straight","50","45","38910","31720"
"In post","2021","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","Unknown","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","Essex","Heart of Essex","Heterosexual / straight","135","125","40910","35630"
"In post","2021","Attorney General's Departments","Essex","Heart of Essex","LGBO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Essex","Heart of Essex","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Essex","Heart of Essex","Unknown","40","35","42490","31690"
"In post","2021","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","20","15","[c]","[c]"
"In post","2021","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","Heterosexual / straight","100","95","39580","33310"
"In post","2021","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","LGBO","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","Undeclared","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","Unknown","35","30","48010","55610"
"In post","2021","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Greater Manchester","Manchester","Heterosexual / straight","285","265","40710","38000"
"In post","2021","Attorney General's Departments","Greater Manchester","Manchester","LGBO","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","Greater Manchester","Manchester","Undeclared","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Greater Manchester","Manchester","Unknown","55","45","41980","34480"
"In post","2021","Attorney General's Departments","Hampshire and Isle of Wight","Portsmouth","Heterosexual / straight","80","75","38400","30110"
"In post","2021","Attorney General's Departments","Hampshire and Isle of Wight","Portsmouth","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Hampshire and Isle of Wight","Portsmouth","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Hampshire and Isle of Wight","Portsmouth","Unknown","25","20","[c]","[c]"
"In post","2021","Attorney General's Departments","Hampshire and Isle of Wight","South Hampshire","Heterosexual / straight","115","105","44770","42460"
"In post","2021","Attorney General's Departments","Hampshire and Isle of Wight","South Hampshire","LGBO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Hampshire and Isle of Wight","South Hampshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Hampshire and Isle of Wight","South Hampshire","Unknown","30","25","48060","50820"
"In post","2021","Attorney General's Departments","Herefordshire, Worcestershire and Warwickshire","Warwickshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Herefordshire, Worcestershire and Warwickshire","Warwickshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Herefordshire, Worcestershire and Warwickshire","Warwickshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Herefordshire, Worcestershire and Warwickshire","Worcestershire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Herefordshire, Worcestershire and Warwickshire","Worcestershire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Herefordshire, Worcestershire and Warwickshire","Worcestershire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Inner London - East","Haringey and Islington","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Inner London - East","Haringey and Islington","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Inner London - East","Haringey and Islington","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Inner London - East","Haringey and Islington","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Inner London - East","Lewisham and Southwark","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","Inner London - East","Lewisham and Southwark","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Inner London - East","Lewisham and Southwark","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Inner London - East","Lewisham and Southwark","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Inner London - West","Camden and City of London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Inner London - West","Camden and City of London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Inner London - West","Camden and City of London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Inner London - West","Westminster","Heterosexual / straight","2995","2835","49640","51250"
"In post","2021","Attorney General's Departments","Inner London - West","Westminster","LGBO","255","245","50310","51250"
"In post","2021","Attorney General's Departments","Inner London - West","Westminster","Undeclared","240","230","52270","52040"
"In post","2021","Attorney General's Departments","Inner London - West","Westminster","Unknown","1010","930","52870","55530"
"In post","2021","Attorney General's Departments","Kent","East Kent","Heterosexual / straight","80","75","37650","30110"
"In post","2021","Attorney General's Departments","Kent","East Kent","LGBO","[c]","[c]","[c]","[c]"
