"Status","Year","Age","Function_of_post","Organisation","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Analysis","Defence Science and Technology Laboratory","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Defence Science and Technology Laboratory","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Defence Science and Technology Laboratory","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Department for Education (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Department for Education (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Department for International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Department for International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Department for Transport (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Department for Transport (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Department for Transport (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","HM Revenue and Customs (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","HM Revenue and Customs (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Ministry of Defence (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Ministry of Defence (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
