"Status","Year","Function_of_post","Region_ITL2","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Bedfordshire and Hertfordshire","Bedford","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","G6/G7","10","10","55890","51970"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cheshire","Cheshire East","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cumbria","East Cumbria","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cumbria","East Cumbria","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cumbria","East Cumbria","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Analysis","Cumbria","West Cumbria","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cumbria","West Cumbria","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","East Derbyshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","North Nottinghamshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","Nottingham","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","Nottingham","EO","10","10","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","Nottingham","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","Nottingham","SEO/HEO","25","20","38080","39850"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","South and West Derbyshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","South and West Derbyshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","South and West Derbyshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","South Nottinghamshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon","Devon CC","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon","Devon CC","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon","Plymouth","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Devon","Plymouth","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon","Plymouth","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Dorset and Somerset","Dorset CC","AA/AO","10","10","20740","21050"
"In post","2021","Analysis","Dorset and Somerset","Dorset CC","EO","30","25","25050","24920"
"In post","2021","Analysis","Dorset and Somerset","Dorset CC","G6/G7","20","20","53690","49030"
"In post","2021","Analysis","Dorset and Somerset","Dorset CC","SEO/HEO","55","55","32360","30220"
"In post","2021","Analysis","Dorset and Somerset","Somerset","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Dorset and Somerset","Somerset","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Anglia","Cambridgeshire CC","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Anglia","Cambridgeshire CC","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Anglia","Cambridgeshire CC","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Anglia","Norwich and East Norfolk","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Anglia","Norwich and East Norfolk","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Anglia","Norwich and East Norfolk","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Anglia","Peterborough","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Anglia","Suffolk","AA/AO","30","30","20750","21050"
"In post","2021","Analysis","East Anglia","Suffolk","EO","55","50","25050","24920"
"In post","2021","Analysis","East Anglia","Suffolk","G6/G7","70","65","51320","48080"
"In post","2021","Analysis","East Anglia","Suffolk","SEO/HEO","200","185","33050","30660"
"In post","2021","Analysis","East Wales","Cardiff and Vale of Glamorgan","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Wales","Cardiff and Vale of Glamorgan","G6/G7","[c]","[c]","[c]","[c]"
