"Status","Year","Disability","Profession_of_post","Region_ITL1","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Commercial","East Midlands (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East Midlands (England)","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East Midlands (England)","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East Midlands (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East Midlands (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East of England","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East of England","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East of England","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East of England","HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East of England","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East of England","SEO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","London","AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","London","EO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","London","G6","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","London","G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","London","HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","London","SEO","30","30","44320","43180"
"In post","2021","Declared disabled","Commercial","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","North East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","North East (England)","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","North East (England)","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","North East (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","North East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","North East (England)","SEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","North West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","North West (England)","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","North West (England)","G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","North West (England)","HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","North West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","North West (England)","SEO","20","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","North West (England)","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Northern Ireland","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Northern Ireland","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Scotland","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Scotland","AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Scotland","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Scotland","HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Scotland","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","South East (England)","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","South East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","South East (England)","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","South East (England)","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","South East (England)","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","South East (England)","HEO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","South East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","South East (England)","SEO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","South West (England)","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","South West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","South West (England)","EO","20","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","South West (England)","G6","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","South West (England)","G7","20","20","[c]","[c]"
"In post","2021","Declared disabled","Commercial","South West (England)","HEO","50","45","31680","32680"
"In post","2021","Declared disabled","Commercial","South West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","South West (England)","SEO","55","50","41550","41930"
"In post","2021","Declared disabled","Commercial","South West (England)","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Wales","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Wales","AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Wales","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Wales","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Wales","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Wales","HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Wales","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Wales","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Midlands (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Midlands (England)","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Midlands (England)","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Midlands (England)","HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Midlands (England)","SEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Yorkshire and The Humber","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Yorkshire and The Humber","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Yorkshire and The Humber","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Yorkshire and The Humber","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Yorkshire and The Humber","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Yorkshire and The Humber","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Yorkshire and The Humber","SEO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","East Midlands (England)","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","East Midlands (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","East Midlands (England)","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","East Midlands (England)","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","East Midlands (England)","HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","East Midlands (England)","SEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","East of England","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","East of England","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","East of England","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","East of England","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","East of England","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","East of England","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","London","EO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","London","G6","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","London","G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","London","HEO","30","30","35560","34890"
"In post","2021","Declared disabled","Communications","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","London","SEO","30","30","[c]","[c]"
"In post","2021","Declared disabled","Communications","North East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","North East (England)","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","North East (England)","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","North East (England)","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","North East (England)","HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","North East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","North East (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","North West (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","North West (England)","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","North West (England)","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","North West (England)","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","North West (England)","HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","North West (England)","SEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","Northern Ireland","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Northern Ireland","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Northern Ireland","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Northern Ireland","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Northern Ireland","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Northern Ireland","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Scotland","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Scotland","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Scotland","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","South East (England)","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","South East (England)","AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","South East (England)","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","South East (England)","G6","[c]","[c]","[c]","[c]"
