"Status","Year","Age","Disability","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Declared disabled","Bedfordshire and Hertfordshire","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Bedfordshire and Hertfordshire","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Bedfordshire and Hertfordshire","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Cheshire","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Cheshire","Cheshire West and Chester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Cumbria","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Cumbria","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Derbyshire and Nottinghamshire","Derby","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Derbyshire and Nottinghamshire","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Derbyshire and Nottinghamshire","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Derbyshire and Nottinghamshire","South and West Derbyshire","[c]","[c]","[c]","[c]"
