"Status","Year","Organisation","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Outside London","Heterosexual / straight","80","70","32700","29190"
"In post","2021","Accountant in Bankruptcy","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Outside London","Unknown","30","25","27060","22230"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","Heterosexual / straight","130","125","42740","38670"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","LGBO","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","Undeclared","30","30","42960","40890"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","Unknown","35","35","41580","43750"
"In post","2021","Advisory, Conciliation and Arbitration Service","Outside London","Heterosexual / straight","500","455","32700","31040"
"In post","2021","Advisory, Conciliation and Arbitration Service","Outside London","LGBO","40","40","28750","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Outside London","Undeclared","100","85","32830","31320"
"In post","2021","Advisory, Conciliation and Arbitration Service","Outside London","Unknown","220","210","26380","24250"
"In post","2021","Animal and Plant Health Agency","London","Heterosexual / straight","70","70","35820","31800"
"In post","2021","Animal and Plant Health Agency","London","LGBO","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","Undeclared","20","20","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","Unknown","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Outside London","Heterosexual / straight","1810","1715","30250","26520"
"In post","2021","Animal and Plant Health Agency","Outside London","LGBO","125","120","27030","24920"
"In post","2021","Animal and Plant Health Agency","Outside London","Undeclared","315","300","32710","29750"
"In post","2021","Animal and Plant Health Agency","Outside London","Unknown","320","295","30150","26520"
"In post","2021","Attorney General's Office","London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Attorney General's Office","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","London","Unknown","30","25","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","London","Heterosexual / straight","3220","3165","51980","54700"
"In post","2021","Cabinet Office (excl. agencies)","London","LGBO","365","360","47280","41820"
"In post","2021","Cabinet Office (excl. agencies)","London","Undeclared","405","400","50850","54700"
"In post","2021","Cabinet Office (excl. agencies)","London","Unknown","2505","2485","47150","34550"
"In post","2021","Cabinet Office (excl. agencies)","Outside London","Heterosexual / straight","1055","1000","36560","33060"
