"Status","Year","Ethnicity","Responsibility_level_grouped","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","AA/AO","AA","Female","300","250","20440","20230"
"In post","2021","Asian","AA/AO","AA","Male","355","335","20940","20600"
"In post","2021","Asian","AA/AO","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","AA/AO","AO","Female","4300","3565","22240","21430"
"In post","2021","Asian","AA/AO","AO","Male","3050","2890","22540","21010"
"In post","2021","Asian","AA/AO","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","EO","EO","Female","5625","5070","28380","28120"
"In post","2021","Asian","EO","EO","Male","4185","4090","28080","27570"
"In post","2021","Asian","EO","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","G6","Female","335","325","68280","66740"
"In post","2021","Asian","G6/G7","G6","Male","280","275","69680","68320"
"In post","2021","Asian","G6/G7","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","G6/G7","G7","Female","1285","1230","55490","54540"
"In post","2021","Asian","G6/G7","G7","Male","1105","1090","56370","54760"
"In post","2021","Asian","G6/G7","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SCS level","SCS level","Female","160","150","93150","89740"
"In post","2021","Asian","SCS level","SCS level","Male","145","145","92470","89810"
"In post","2021","Asian","SCS level","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","HEO","Female","2475","2370","34000","33930"
"In post","2021","Asian","SEO/HEO","HEO","Male","2210","2155","34090","33550"
"In post","2021","Asian","SEO/HEO","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","SEO/HEO","SEO","Female","1420","1375","41310","40960"
"In post","2021","Asian","SEO/HEO","SEO","Male","1310","1295","42500","41700"
"In post","2021","Asian","SEO/HEO","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Unknown","Female","415","385","29430","28200"
"In post","2021","Asian","Unknown","Unknown","Male","200","190","31070","30210"
"In post","2021","Asian","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","AA/AO","AA","Female","250","225","21880","21880"
"In post","2021","Black","AA/AO","AA","Male","270","265","22050","21550"
"In post","2021","Black","AA/AO","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","AA/AO","AO","Female","2225","2010","23570","23430"
"In post","2021","Black","AA/AO","AO","Male","1350","1315","25990","24920"
"In post","2021","Black","AA/AO","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","EO","EO","Female","3695","3495","29190","29290"
"In post","2021","Black","EO","EO","Male","1730","1695","29160","29080"
"In post","2021","Black","EO","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","G6/G7","G6","Female","110","110","69590","68700"
"In post","2021","Black","G6/G7","G6","Male","80","80","69980","68950"
"In post","2021","Black","G6/G7","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","G6/G7","G7","Female","680","670","55550","54410"
"In post","2021","Black","G6/G7","G7","Male","395","395","56640","55380"
"In post","2021","Black","G6/G7","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","SCS level","SCS level","Female","55","50","90660","86320"
"In post","2021","Black","SCS level","SCS level","Male","40","40","100880","93760"
"In post","2021","Black","SCS level","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","SEO/HEO","HEO","Female","1550","1510","34350","34510"
"In post","2021","Black","SEO/HEO","HEO","Male","895","880","34590","34640"
"In post","2021","Black","SEO/HEO","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","SEO/HEO","SEO","Female","895","875","41830","41760"
"In post","2021","Black","SEO/HEO","SEO","Male","560","560","42780","41760"
