"Status","Year","Region_ITL3","Responsibility_level_grouped","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","AA","Female","65","55","20700","20810"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","AA","Male","25","20","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","AO","Female","220","200","23360","22220"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","AO","Male","235","225","28950","26530"
"In post","2021","Aberdeen City and Aberdeenshire","EO","EO","Female","315","285","28410","27570"
"In post","2021","Aberdeen City and Aberdeenshire","EO","EO","Male","280","275","30280","29190"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","G6","Female","15","15","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","G6","Male","25","20","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","G7","Female","40","40","60210","55510"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","G7","Male","50","50","66190","61010"
"In post","2021","Aberdeen City and Aberdeenshire","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","HEO","Female","145","135","34050","33620"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","HEO","Male","150","145","37360","35110"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","SEO","Female","120","110","48960","46600"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","SEO","Male","175","170","61090","46600"
"In post","2021","Angus and Dundee City","AA/AO","AA","Female","85","75","21050","21150"
"In post","2021","Angus and Dundee City","AA/AO","AA","Male","70","65","21020","21150"
"In post","2021","Angus and Dundee City","AA/AO","AO","Female","550","480","21180","21010"
"In post","2021","Angus and Dundee City","AA/AO","AO","Male","400","390","21060","21010"
