"Status","Year","Ethnicity","Region_ITL2","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Bedfordshire and Hertfordshire","AA","10","10","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","AO","135","120","23730","23350"
"In post","2021","Asian","Bedfordshire and Hertfordshire","EO","235","215","28550","28550"
"In post","2021","Asian","Bedfordshire and Hertfordshire","G6","5","5","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","G7","20","20","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","HEO","70","65","35000","35120"
"In post","2021","Asian","Bedfordshire and Hertfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","SEO","40","40","43170","42090"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Unknown","30","25","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","AA","25","25","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","AO","175","155","23900","22510"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","EO","230","215","28710","29290"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","G7","25","25","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","HEO","70","65","34650","34840"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","SCS level","5","5","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","SEO","45","45","41920","41830"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Unknown","25","20","[c]","[c]"
"In post","2021","Asian","Cheshire","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire","AO","15","15","[c]","[c]"
"In post","2021","Asian","Cheshire","EO","25","25","[c]","[c]"
"In post","2021","Asian","Cheshire","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire","HEO","5","5","[c]","[c]"
"In post","2021","Asian","Cheshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Derbyshire and Nottinghamshire","AA","5","5","[c]","[c]"
"In post","2021","Asian","Derbyshire and Nottinghamshire","AO","180","155","21080","21010"
"In post","2021","Asian","Derbyshire and Nottinghamshire","EO","185","175","26370","26700"
"In post","2021","Asian","Derbyshire and Nottinghamshire","G6","5","5","[c]","[c]"
"In post","2021","Asian","Derbyshire and Nottinghamshire","G7","45","40","52690","52580"
"In post","2021","Asian","Derbyshire and Nottinghamshire","HEO","145","140","31560","31810"
"In post","2021","Asian","Derbyshire and Nottinghamshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Derbyshire and Nottinghamshire","SEO","50","50","39470","38630"
"In post","2021","Asian","Derbyshire and Nottinghamshire","Unknown","25","20","[c]","[c]"
"In post","2021","Asian","Devon","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Devon","AO","10","5","[c]","[c]"
"In post","2021","Asian","Devon","EO","15","15","[c]","[c]"
"In post","2021","Asian","Devon","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Devon","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Devon","HEO","10","10","[c]","[c]"
"In post","2021","Asian","Devon","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Devon","SEO","10","10","[c]","[c]"
"In post","2021","Asian","Devon","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dorset and Somerset","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dorset and Somerset","AO","10","10","[c]","[c]"
"In post","2021","Asian","Dorset and Somerset","EO","15","15","[c]","[c]"
"In post","2021","Asian","Dorset and Somerset","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dorset and Somerset","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dorset and Somerset","HEO","5","5","[c]","[c]"
"In post","2021","Asian","Dorset and Somerset","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dorset and Somerset","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dorset and Somerset","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Anglia","AA","20","15","[c]","[c]"
"In post","2021","Asian","East Anglia","AO","170","130","21770","21430"
"In post","2021","Asian","East Anglia","EO","105","95","26560","27130"
"In post","2021","Asian","East Anglia","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Anglia","G7","15","15","[c]","[c]"
"In post","2021","Asian","East Anglia","HEO","35","30","33400","33200"
"In post","2021","Asian","East Anglia","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Anglia","SEO","15","15","[c]","[c]"
"In post","2021","Asian","East Anglia","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","East Wales","AA","5","5","[c]","[c]"
"In post","2021","Asian","East Wales","AO","110","100","20770","20140"
"In post","2021","Asian","East Wales","EO","100","95","26390","25560"
"In post","2021","Asian","East Wales","G6","10","10","[c]","[c]"
"In post","2021","Asian","East Wales","G7","25","25","[c]","[c]"
"In post","2021","Asian","East Wales","HEO","50","50","32340","31810"
"In post","2021","Asian","East Wales","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Wales","SEO","30","30","[c]","[c]"
"In post","2021","Asian","East Wales","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","East Yorkshire and Northern Lincolnshire","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Yorkshire and Northern Lincolnshire","AO","10","10","[c]","[c]"
"In post","2021","Asian","East Yorkshire and Northern Lincolnshire","EO","10","5","[c]","[c]"
"In post","2021","Asian","East Yorkshire and Northern Lincolnshire","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Yorkshire and Northern Lincolnshire","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Yorkshire and Northern Lincolnshire","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Yorkshire and Northern Lincolnshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Yorkshire and Northern Lincolnshire","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Yorkshire and Northern Lincolnshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Eastern Scotland","AA","5","5","[c]","[c]"
