"Status","Year","Age","Function_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Analysis","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","16-19","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Commercial","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Communications","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","16-19","Debt","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Unknown","35","35","20140","20140"
"In post","2021","16-19","Digital, Data & Technology","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Undeclared","5","5","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Finance","Heterosexual / straight","30","30","20900","19500"
"In post","2021","16-19","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Unknown","10","5","[c]","[c]"
"In post","2021","16-19","Grants Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Grants Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","16-19","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Undeclared","5","5","[c]","[c]"
"In post","2021","16-19","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Heterosexual / straight","240","225","21430","20600"
"In post","2021","16-19","No function","LGBO","20","15","[c]","[c]"
"In post","2021","16-19","No function","Undeclared","20","15","[c]","[c]"
"In post","2021","16-19","No function","Unknown","220","205","20650","20140"
"In post","2021","16-19","Project Delivery","Heterosexual / straight","70","70","18940","17780"
"In post","2021","16-19","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Unknown","60","60","17480","16780"
"In post","2021","16-19","Property","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","16-19","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Unknown","20","20","[c]","[c]"
"In post","2021","16-19","Security","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Unknown","15","15","[c]","[c]"
"In post","2021","16-19","Unknown","Heterosexual / straight","255","245","22470","21010"
"In post","2021","16-19","Unknown","LGBO","30","30","22080","21010"
"In post","2021","16-19","Unknown","Undeclared","15","15","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","110","105","20680","21150"
"In post","2021","20-29","Analysis","Heterosexual / straight","1560","1555","36660","34090"
"In post","2021","20-29","Analysis","LGBO","230","225","35600","33610"
"In post","2021","20-29","Analysis","Undeclared","135","135","35730","33880"
"In post","2021","20-29","Analysis","Unknown","555","550","34350","32320"
"In post","2021","20-29","Commercial","Heterosexual / straight","570","565","31390","29720"
"In post","2021","20-29","Commercial","LGBO","55","55","32250","29000"
"In post","2021","20-29","Commercial","Undeclared","50","50","31080","32260"
"In post","2021","20-29","Commercial","Unknown","245","245","37570","33930"
"In post","2021","20-29","Communications","Heterosexual / straight","1010","1000","30650","27500"
"In post","2021","20-29","Communications","LGBO","130","125","31290","28840"
"In post","2021","20-29","Communications","Undeclared","80","80","31690","31810"
"In post","2021","20-29","Communications","Unknown","855","850","29080","25560"
"In post","2021","20-29","Counter Fraud","Heterosexual / straight","570","570","30190","27910"
"In post","2021","20-29","Counter Fraud","LGBO","55","55","31060","27850"
"In post","2021","20-29","Counter Fraud","Undeclared","45","45","32720","29570"
"In post","2021","20-29","Counter Fraud","Unknown","430","425","28420","25560"
"In post","2021","20-29","Debt","Heterosexual / straight","350","340","21580","20140"
"In post","2021","20-29","Debt","LGBO","60","55","21470","20140"
