"Status","Year","Organisation","Region_ITL3","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","Outside London","AA/AO","35","30","22070","22230"
"In post","2021","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","Outside London","EO","45","40","28950","29190"
"In post","2021","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","Outside London","SEO/HEO","30","30","38770","35110"
"In post","2021","Accountant in Bankruptcy","Glasgow City","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Glasgow City","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Birmingham","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Birmingham","Outside London","EO","35","30","24700","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Birmingham","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Birmingham","Outside London","SEO/HEO","50","45","34480","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Bristol, City of","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Bristol, City of","Outside London","EO","15","10","26000","26380"
"In post","2021","Advisory, Conciliation and Arbitration Service","Bristol, City of","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Bristol, City of","Outside London","SEO/HEO","35","35","34630","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","Outside London","EO","35","35","24630","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","Outside London","SEO/HEO","50","50","34220","32260"
"In post","2021","Advisory, Conciliation and Arbitration Service","Glasgow City","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Glasgow City","Outside London","EO","45","40","24610","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Glasgow City","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Glasgow City","Outside London","SEO/HEO","50","45","34050","31640"
"In post","2021","Advisory, Conciliation and Arbitration Service","Leeds","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Leeds","Outside London","EO","20","20","24710","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Leeds","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Leeds","Outside London","SEO/HEO","40","40","34430","32260"
"In post","2021","Advisory, Conciliation and Arbitration Service","Manchester","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Manchester","Outside London","EO","65","60","24600","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Manchester","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Manchester","Outside London","SEO/HEO","75","65","34230","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","North Hampshire","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North Hampshire","Outside London","EO","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North Hampshire","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North Hampshire","Outside London","SEO/HEO","20","20","37090","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Nottingham","Outside London","AA/AO","15","10","19970","19790"
"In post","2021","Advisory, Conciliation and Arbitration Service","Nottingham","Outside London","EO","30","30","24460","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Nottingham","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Nottingham","Outside London","SEO/HEO","45","45","34050","31220"
"In post","2021","Advisory, Conciliation and Arbitration Service","Suffolk","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Suffolk","Outside London","EO","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Suffolk","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Suffolk","Outside London","SEO/HEO","25","25","34910","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Tyneside","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Tyneside","Outside London","EO","65","60","24580","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Tyneside","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Tyneside","Outside London","SEO/HEO","70","60","33810","31130"
"In post","2021","Advisory, Conciliation and Arbitration Service","Westminster","London","AA/AO","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Westminster","London","EO","35","35","28570","28750"
"In post","2021","Advisory, Conciliation and Arbitration Service","Westminster","London","G6/G7","25","25","61340","59470"
"In post","2021","Advisory, Conciliation and Arbitration Service","Westminster","London","SCS level","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Westminster","London","SEO/HEO","125","125","41470","39120"
"In post","2021","Animal and Plant Health Agency","Aberdeen City and Aberdeenshire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Aberdeen City and Aberdeenshire","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Aberdeen City and Aberdeenshire","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Berkshire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Berkshire","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Bristol, City of","Outside London","AA/AO","35","35","21200","21050"
"In post","2021","Animal and Plant Health Agency","Bristol, City of","Outside London","EO","10","10","[c]","[c]"
