"Status","Year","Function_of_post","Region_ITL2","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Bedfordshire and Hertfordshire","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Outside London","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Outside London","G6/G7","15","15","56170","51970"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Outside London","SEO/HEO","10","10","33450","33300"
"In post","2021","Analysis","Cheshire","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","Outside London","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cumbria","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cumbria","Outside London","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Cumbria","Outside London","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","Outside London","EO","10","10","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","Outside London","SEO/HEO","25","25","37610","39390"
"In post","2021","Analysis","Devon","Outside London","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Devon","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Dorset and Somerset","Outside London","AA/AO","10","10","20750","21050"
"In post","2021","Analysis","Dorset and Somerset","Outside London","EO","30","25","25050","24920"
"In post","2021","Analysis","Dorset and Somerset","Outside London","G6/G7","20","20","53690","49030"
"In post","2021","Analysis","Dorset and Somerset","Outside London","SEO/HEO","60","55","32400","30220"
"In post","2021","Analysis","East Anglia","Outside London","AA/AO","30","30","20750","21050"
"In post","2021","Analysis","East Anglia","Outside London","EO","55","50","25040","24920"
"In post","2021","Analysis","East Anglia","Outside London","G6/G7","70","70","51530","48080"
"In post","2021","Analysis","East Anglia","Outside London","SEO/HEO","200","190","33090","30660"
"In post","2021","Analysis","East Wales","Outside London","AA/AO","50","50","19210","19130"
"In post","2021","Analysis","East Wales","Outside London","EO","140","125","24150","23190"
"In post","2021","Analysis","East Wales","Outside London","G6/G7","215","210","52400","50090"
"In post","2021","Analysis","East Wales","Outside London","SCS level","20","20","82180","72320"
"In post","2021","Analysis","East Wales","Outside London","SEO/HEO","625","600","33580","33330"
"In post","2021","Analysis","East Yorkshire and Northern Lincolnshire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Eastern Scotland","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Eastern Scotland","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Eastern Scotland","Outside London","G6/G7","15","15","68640","57490"
"In post","2021","Analysis","Eastern Scotland","Outside London","SEO/HEO","25","25","39380","36820"
"In post","2021","Analysis","Essex","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Essex","Outside London","G6/G7","10","10","[c]","[c]"
"In post","2021","Analysis","Essex","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Essex","Outside London","SEO/HEO","15","15","34750","31960"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","EO","35","30","26670","26350"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","G6/G7","70","70","54690","56350"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","SEO/HEO","210","200","35540","36680"
"In post","2021","Analysis","Greater Manchester","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester","Outside London","EO","20","20","25980","25560"
"In post","2021","Analysis","Greater Manchester","Outside London","G6/G7","50","50","53050","52580"
"In post","2021","Analysis","Greater Manchester","Outside London","SEO/HEO","155","150","35000","32010"
"In post","2021","Analysis","Hampshire and Isle of Wight","Outside London","AA/AO","10","10","19200","19130"
"In post","2021","Analysis","Hampshire and Isle of Wight","Outside London","EO","60","55","24750","23520"
"In post","2021","Analysis","Hampshire and Isle of Wight","Outside London","G6/G7","270","255","50560","49100"
"In post","2021","Analysis","Hampshire and Isle of Wight","Outside London","SCS level","10","10","[c]","[c]"
"In post","2021","Analysis","Hampshire and Isle of Wight","Outside London","SEO/HEO","470","450","33600","34460"
"In post","2021","Analysis","Herefordshire, Worcestershire and Warwickshire","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Highlands and Islands","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Inner London - East","London","AA/AO","5","5","[c]","[c]"
"In post","2021","Analysis","Inner London - East","London","EO","50","50","27990","28100"
"In post","2021","Analysis","Inner London - East","London","G6/G7","300","285","62100","59160"
"In post","2021","Analysis","Inner London - East","London","SCS level","35","30","96630","93190"
"In post","2021","Analysis","Inner London - East","London","SEO/HEO","300","295","38360","37530"
"In post","2021","Analysis","Inner London - West","London","AA/AO","55","55","24360","24510"
"In post","2021","Analysis","Inner London - West","London","EO","210","205","28980","28880"
"In post","2021","Analysis","Inner London - West","London","G6/G7","1125","1075","62150","59160"
