"Status","Year","Profession_of_post","Region_ITL1","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","East Midlands (England)","Outside London","Heterosexual / straight","100","100","43010","41500"
"In post","2021","Commercial","East Midlands (England)","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Outside London","Unknown","15","15","[c]","[c]"
"In post","2021","Commercial","East of England","Outside London","Heterosexual / straight","180","175","39290","35760"
"In post","2021","Commercial","East of England","Outside London","LGBO","5","5","[c]","[c]"
"In post","2021","Commercial","East of England","Outside London","Undeclared","25","25","[c]","[c]"
"In post","2021","Commercial","East of England","Outside London","Unknown","40","35","37630","35450"
"In post","2021","Commercial","London","London","Heterosexual / straight","585","570","47980","43800"
"In post","2021","Commercial","London","London","LGBO","35","35","46320","41300"
"In post","2021","Commercial","London","London","Undeclared","65","65","48150","44870"
"In post","2021","Commercial","London","London","Unknown","195","195","46890","40650"
"In post","2021","Commercial","North East (England)","Outside London","Heterosexual / straight","95","95","43210","39640"
"In post","2021","Commercial","North East (England)","Outside London","LGBO","5","5","[c]","[c]"
"In post","2021","Commercial","North East (England)","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2021","Commercial","North East (England)","Outside London","Unknown","10","10","[c]","[c]"
"In post","2021","Commercial","North West (England)","Outside London","Heterosexual / straight","375","360","39810","36500"
"In post","2021","Commercial","North West (England)","Outside London","LGBO","20","20","[c]","[c]"
"In post","2021","Commercial","North West (England)","Outside London","Undeclared","25","25","[c]","[c]"
"In post","2021","Commercial","North West (England)","Outside London","Unknown","95","90","34430","34800"
"In post","2021","Commercial","Northern Ireland","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","Overseas","Heterosexual / straight","30","30","49730","42820"
"In post","2021","Commercial","Overseas","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scotland","Outside London","Heterosexual / straight","165","165","38100","34850"
"In post","2021","Commercial","Scotland","Outside London","LGBO","10","10","[c]","[c]"
"In post","2021","Commercial","Scotland","Outside London","Undeclared","20","20","[c]","[c]"
"In post","2021","Commercial","Scotland","Outside London","Unknown","85","80","31510","26120"
"In post","2021","Commercial","South East (England)","Outside London","Heterosexual / straight","375","365","38260","36390"
"In post","2021","Commercial","South East (England)","Outside London","LGBO","10","10","[c]","[c]"
"In post","2021","Commercial","South East (England)","Outside London","Undeclared","45","45","36860","35300"
"In post","2021","Commercial","South East (England)","Outside London","Unknown","30","30","43040","40580"
"In post","2021","Commercial","South West (England)","Outside London","Heterosexual / straight","1185","1135","39150","36050"
"In post","2021","Commercial","South West (England)","Outside London","LGBO","45","45","33930","32710"
"In post","2021","Commercial","South West (England)","Outside London","Undeclared","180","170","41180","38240"
"In post","2021","Commercial","South West (England)","Outside London","Unknown","315","305","40750","38300"
"In post","2021","Commercial","Unknown","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wales","Outside London","Heterosexual / straight","235","225","35860","32090"
"In post","2021","Commercial","Wales","Outside London","LGBO","10","10","[c]","[c]"
"In post","2021","Commercial","Wales","Outside London","Undeclared","65","55","31900","28750"
"In post","2021","Commercial","Wales","Outside London","Unknown","25","25","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","Outside London","Heterosexual / straight","180","175","39730","38000"
"In post","2021","Commercial","West Midlands (England)","Outside London","LGBO","5","5","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","Outside London","Undeclared","20","20","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","Outside London","Unknown","40","40","36760","34570"
"In post","2021","Commercial","Yorkshire and The Humber","Outside London","Heterosexual / straight","255","250","40830","37240"
