"Status","Year","Disability","Parent_department","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Attorney General's Departments","East Midlands (England)","Heterosexual / straight","45","40","35490","28430"
"In post","2021","Declared disabled","Attorney General's Departments","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","East Midlands (England)","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","East Midlands (England)","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","East of England","Heterosexual / straight","35","35","43130","38120"
"In post","2021","Declared disabled","Attorney General's Departments","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","East of England","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","London","Heterosexual / straight","280","260","49730","51250"
"In post","2021","Declared disabled","Attorney General's Departments","London","LGBO","45","40","50420","51670"
"In post","2021","Declared disabled","Attorney General's Departments","London","Undeclared","30","25","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","London","Unknown","30","25","47380","51120"
"In post","2021","Declared disabled","Attorney General's Departments","North East (England)","Heterosexual / straight","40","35","34690","28430"
"In post","2021","Declared disabled","Attorney General's Departments","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","North West (England)","Heterosexual / straight","85","80","40650","32050"
"In post","2021","Declared disabled","Attorney General's Departments","North West (England)","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","North West (England)","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","North West (England)","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Overseas","Undeclared","[c]","[c]","[c]","[c]"
