"Status","Year","Age","Function_of_post","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Analysis","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Economics","EO","20","20","26410","26510"
"In post","2021","16-19","Analysis","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Operational Research","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Commercial","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Commercial","EO","5","5","[c]","[c]"
"In post","2021","16-19","Commercial","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Knowledge and Information Management","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Tax","EO","5","5","[c]","[c]"
"In post","2021","16-19","Communications","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Operational Delivery","AO","5","5","[c]","[c]"
"In post","2021","16-19","Debt","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Tax","AO","45","40","20140","20140"
"In post","2021","16-19","Debt","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Digital, Data and Technology","AA","10","10","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Digital, Data and Technology","AO","5","5","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Digital, Data and Technology","EO","5","5","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Other","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Finance","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Finance","AO","15","10","20600","20140"
"In post","2021","16-19","Finance","Finance","EO","20","20","20210","19040"
"In post","2021","16-19","Finance","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Other","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Grants Management","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Human Resources","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Human Resources","AO","10","10","[c]","[c]"
"In post","2021","16-19","Human Resources","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Operational Delivery","AO","30","30","21620","21950"
"In post","2021","16-19","Legal","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Other","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Economics","EO","5","5","[c]","[c]"
"In post","2021","16-19","No function","Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Knowledge and Information Management","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Operational Delivery","AA","90","80","19140","18850"
"In post","2021","16-19","No function","Operational Delivery","AO","180","175","21810","21050"
"In post","2021","16-19","No function","Operational Delivery","EO","15","10","24470","24620"
"In post","2021","16-19","No function","Operational Delivery","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","No function","Other","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Other","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Other","EO","5","5","[c]","[c]"
"In post","2021","16-19","No function","Policy","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Policy","EO","30","30","24290","24300"
"In post","2021","16-19","No function","Policy","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Science and Engineering","AA","10","10","16290","16990"
"In post","2021","16-19","No function","Science and Engineering","AO","10","10","19380","19310"
"In post","2021","16-19","No function","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Tax","AO","100","95","20140","20140"
"In post","2021","16-19","No function","Unknown","AO","30","30","20570","20140"
"In post","2021","16-19","Project Delivery","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Other","EO","20","20","17810","17780"
"In post","2021","16-19","Project Delivery","Other","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Project Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Project Delivery","EO","5","5","[c]","[c]"
"In post","2021","16-19","Project Delivery","Project Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Science and Engineering","AA","15","15","15880","14850"
"In post","2021","16-19","Project Delivery","Science and Engineering","EO","65","65","17960","17780"
"In post","2021","16-19","Project Delivery","Science and Engineering","Unknown","15","15","16840","16780"
"In post","2021","16-19","Project Delivery","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Operational Delivery","AO","10","10","[c]","[c]"
"In post","2021","16-19","Property","Other","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Property","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Property","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Property","EO","10","10","24850","24500"
"In post","2021","16-19","Property","Property","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Property","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Security","AA","10","10","19560","19560"
"In post","2021","16-19","Security","Security","AO","5","5","[c]","[c]"
"In post","2021","16-19","Security","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Unknown","EO","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Digital, Data and Technology","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Finance","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Operational Delivery","AO","70","60","21500","21430"
"In post","2021","16-19","Unknown","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Other","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Other","AO","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Other","EO","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Other","Unknown","40","40","18710","15940"
"In post","2021","16-19","Unknown","Policy","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Science and Engineering","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Security","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","AA","55","55","20860","21150"
"In post","2021","16-19","Unknown","Unknown","AO","165","165","21340","21010"
"In post","2021","16-19","Unknown","Unknown","EO","45","45","28150","27570"
"In post","2021","20-29","Analysis","Commercial","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Communications","AA","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Digital, Data and Technology","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Digital, Data and Technology","EO","10","10","26280","25460"
"In post","2021","20-29","Analysis","Digital, Data and Technology","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Digital, Data and Technology","G7","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","Digital, Data and Technology","HEO","15","15","35050","33510"
"In post","2021","20-29","Analysis","Digital, Data and Technology","SEO","15","15","42990","42470"
"In post","2021","20-29","Analysis","Economics","AA","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Economics","AO","45","45","21770","19130"
"In post","2021","20-29","Analysis","Economics","EO","55","55","27580","27680"
"In post","2021","20-29","Analysis","Economics","G6","10","10","[c]","[c]"
"In post","2021","20-29","Analysis","Economics","G7","145","145","54300","54760"
"In post","2021","20-29","Analysis","Economics","HEO","465","465","33840","33880"
"In post","2021","20-29","Analysis","Economics","SEO","35","35","40590","42470"
"In post","2021","20-29","Analysis","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Finance","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Human Resources","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Human Resources","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Human Resources","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Intelligence Analysis","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Intelligence Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Intelligence Analysis","G6","10","10","65080","66230"
"In post","2021","20-29","Analysis","Intelligence Analysis","G7","35","35","53260","53360"
"In post","2021","20-29","Analysis","Intelligence Analysis","HEO","20","20","32060","32790"
"In post","2021","20-29","Analysis","Intelligence Analysis","SEO","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Knowledge and Information Management","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Operational Delivery","AO","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","Operational Delivery","EO","30","30","24480","23050"
"In post","2021","20-29","Analysis","Operational Delivery","G7","10","10","[c]","[c]"
"In post","2021","20-29","Analysis","Operational Delivery","HEO","40","40","30740","29540"
"In post","2021","20-29","Analysis","Operational Delivery","SEO","25","25","36740","36030"
"In post","2021","20-29","Analysis","Operational Research","AO","10","10","[c]","[c]"
"In post","2021","20-29","Analysis","Operational Research","EO","15","15","26530","26510"
"In post","2021","20-29","Analysis","Operational Research","G7","15","15","54260","57850"
"In post","2021","20-29","Analysis","Operational Research","HEO","105","105","32460","31810"
"In post","2021","20-29","Analysis","Operational Research","SEO","40","40","39370","37320"
"In post","2021","20-29","Analysis","Other","AO","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","Other","EO","15","15","28030","28230"
"In post","2021","20-29","Analysis","Other","G7","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","Other","HEO","20","20","35410","36230"
"In post","2021","20-29","Analysis","Other","SEO","10","10","46510","47540"
"In post","2021","20-29","Analysis","Policy","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Policy","EO","10","10","[c]","[c]"
"In post","2021","20-29","Analysis","Policy","G7","35","35","53860","53420"
"In post","2021","20-29","Analysis","Policy","HEO","55","55","35680","36660"
"In post","2021","20-29","Analysis","Policy","SEO","35","35","43090","42250"
"In post","2021","20-29","Analysis","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Project Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Science and Engineering","AA","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Science and Engineering","AO","15","15","21320","21050"
"In post","2021","20-29","Analysis","Science and Engineering","EO","25","25","25000","24920"
"In post","2021","20-29","Analysis","Science and Engineering","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Science and Engineering","HEO","55","55","27950","28650"
"In post","2021","20-29","Analysis","Science and Engineering","SEO","10","10","36740","37320"
"In post","2021","20-29","Analysis","Social Research","AO","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","Social Research","EO","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","Social Research","G7","25","25","52400","52100"
"In post","2021","20-29","Analysis","Social Research","HEO","205","205","31630","29730"
"In post","2021","20-29","Analysis","Social Research","SEO","105","105","38370","37020"
"In post","2021","20-29","Analysis","Statistics","AA","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Statistics","AO","20","20","22180","22130"
"In post","2021","20-29","Analysis","Statistics","EO","105","105","26740","26670"
"In post","2021","20-29","Analysis","Statistics","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Statistics","G7","55","55","51510","52100"
"In post","2021","20-29","Analysis","Statistics","HEO","250","250","33030","32540"
"In post","2021","20-29","Analysis","Statistics","SEO","135","135","39220","38630"
"In post","2021","20-29","Analysis","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Tax","HEO","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","Tax","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Unknown","EO","10","10","27570","27500"
"In post","2021","20-29","Analysis","Unknown","G7","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","Unknown","HEO","10","10","34200","34550"
"In post","2021","20-29","Analysis","Unknown","SEO","5","5","[c]","[c]"
"In post","2021","20-29","Commercial","Commercial","AA","10","10","20060","20350"
"In post","2021","20-29","Commercial","Commercial","AO","45","40","21330","20920"
"In post","2021","20-29","Commercial","Commercial","EO","150","150","25580","26350"
"In post","2021","20-29","Commercial","Commercial","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Commercial","G7","25","25","52320","53360"
"In post","2021","20-29","Commercial","Commercial","HEO","185","185","31790","32560"
"In post","2021","20-29","Commercial","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Commercial","SEO","130","130","38910","38630"
"In post","2021","20-29","Commercial","Commercial","Unknown","55","55","28200","26670"
"In post","2021","20-29","Commercial","Corporate Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Knowledge and Information Management","AO","40","40","21030","20920"
"In post","2021","20-29","Commercial","Knowledge and Information Management","EO","30","30","27390","26670"
"In post","2021","20-29","Commercial","Knowledge and Information Management","HEO","15","15","35160","35000"
"In post","2021","20-29","Commercial","Knowledge and Information Management","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Operational Delivery","AO","10","10","22100","21320"
"In post","2021","20-29","Commercial","Operational Delivery","EO","20","20","26830","26690"
"In post","2021","20-29","Commercial","Operational Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Operational Delivery","HEO","20","20","32700","33000"
"In post","2021","20-29","Commercial","Operational Delivery","SEO","15","15","40730","41000"
"In post","2021","20-29","Commercial","Other","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Other","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Other","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Other","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Other","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Policy","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Policy","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Project Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Project Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Science and Engineering","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Science and Engineering","HEO","15","15","31530","31950"
"In post","2021","20-29","Commercial","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Tax","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Unknown","EO","20","20","27060","27500"
"In post","2021","20-29","Commercial","Unknown","G6","5","5","[c]","[c]"
"In post","2021","20-29","Commercial","Unknown","G7","40","40","54150","54700"
"In post","2021","20-29","Commercial","Unknown","HEO","25","25","33870","34550"
"In post","2021","20-29","Commercial","Unknown","SCS level","20","20","64500","62010"
"In post","2021","20-29","Commercial","Unknown","SEO","20","20","40060","40600"
"In post","2021","20-29","Communications","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Communications","AA","5","5","[c]","[c]"
"In post","2021","20-29","Communications","Communications","AO","65","65","22920","22680"
"In post","2021","20-29","Communications","Communications","EO","195","190","27210","27270"
"In post","2021","20-29","Communications","Communications","G6","[c]","[c]","[c]","[c]"
