"Status","Year","Organisation","Region_ITL1","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Scotland","Outside London","AA","35","30","22070","22230"
"In post","2021","Accountant in Bankruptcy","Scotland","Outside London","EO","45","40","28890","29190"
"In post","2021","Accountant in Bankruptcy","Scotland","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scotland","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scotland","Outside London","HEO","20","20","34960","35110"
"In post","2021","Accountant in Bankruptcy","Scotland","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scotland","Outside London","SEO","10","10","46490","46600"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Outside London","AO","15","10","19970","19790"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Outside London","EO","30","30","24460","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Outside London","HEO","35","35","32030","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Outside London","SEO","10","10","40670","39580"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","Outside London","EO","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","Outside London","HEO","20","20","33010","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","Outside London","SEO","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","London","AO","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","London","EO","35","35","28570","28750"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","London","G7","20","20","59220","58850"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","London","HEO","75","70","37750","38670"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","London","SCS level","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","London","SEO","55","55","46490","47250"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","Outside London","EO","65","60","24580","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","Outside London","HEO","55","50","32080","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","Outside London","SEO","15","10","41120","39880"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","Outside London","AO","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","Outside London","EO","65","60","24600","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","Outside London","HEO","60","55","32900","34290"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","Outside London","SEO","10","10","40980","39890"
